Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745061838164,424.4140930175781,2200,2,0.85,27271.00537109375,2200,2,0.85,9891.77114868164,2200,2,0.85,31236.995498657227,2200,2,0.84375,47876.774963378906,2200,2,0.84375,34195.57043457031,2200,2,0.84375,16116.938552856445,2200,2,0.84375,58402.08233642578,2200,2,0.84375,53189.66050720215,2126,3189,2155,2119,2150,2192,2420,2057,2128,2117,2190,2058,2192,2195,2089,3193,3.3333334922790527,0,3.4482758045196533,10,3.4482758045196533,0,3.4482758045196533,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.3333334922790527,6.6666669845581055,3.4482758045196533,3.3333334922790527,6.45161247253418,16665841664,4294963200,864739328,294387712
999,1745061838164,424.41432189941406,2200,2,0.85,27271.005477905273,2200,2,0.85,9891.771240234375,2200,2,0.85,31236.998779296875,2200,2,0.85,47876.775131225586,2200,2,0.84375,34195.5705871582,2200,2,0.84375,16116.942016601563,2200,2,0.84375,58402.08248901367,2200,2,0.84375,53189.68441772461,2126,3189,2155,2119,2150,2192,2420,2057,2128,2117,2190,2058,2192,2195,2089,3193,3.3333334922790527,0,3.4482758045196533,10,3.4482758045196533,0,3.4482758045196533,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.3333334922790527,6.6666669845581055,3.4482758045196533,3.3333334922790527,6.45161247253418,16665841664,4294963200,864739328,294387712
999,1745061839164,433.4325866699219,4075,0,1.35625,27276.8448638916,4075,0,1.35625,9898.474029541016,4075,0,1.35625,31245.825729370117,4075,0,1.35625,47882.080139160156,2037.5,2,1.35625,34202.73471069336,4075,0,1.35625,16122.461624145508,4075,0,1.35625,58407.71105957031,4075,0,1.35625,53255.598083496094,2126,3189,2155,2119,2150,2192,2420,2057,2128,2117,2190,2058,2192,2195,2089,3193,21.428571701049805,62.626258850097656,35,43.43434143066406,25,50,3,14,46,43.43434143066406,36,56.56565475463867,57,52.999996185302734,70.29703521728516,6.060606002807617,16665841664,4294963200,1271230464,294387712
989,1745061840174,445.37860107421875,4275,0,1.4375,27280.8358001709,2137.5,2,1.4375,9900.964004516602,2137.5,2,1.4375,31249.79164123535,2137.5,2,1.4375,47885.8171081543,2200,2,1.4375,34206.136657714844,2200,2,1.4375,16126.080825805664,2200,2,1.4312500000000001,58410.45741271973,2200,2,1.4312500000000001,53304.76350402832,2126,3189,2155,2119,2150,2192,2420,2057,2128,2117,2190,2058,2192,2195,2089,3193,2,10.891088485717773,0,34.653465270996094,1.9801980257034302,11.88118839263916,21.359222412109375,3.9603960514068604,24,0,36.633663177490234,29.702970504760742,19.80198097229004,23.76237678527832,97.02970123291016,28.712871551513672,16665841664,4294963200,1537331200,294387712
999,1745061841164,459.27662658691406,4350,0,1.45,27281.053909301758,2900,2,1.45,9901.180603027344,2162.5,2,1.45,31249.999221801758,2162.5,2,1.45,47886.08010864258,2200,2,1.45,34206.485610961914,2200,2,1.45,16126.662002563477,2200,2,1.45,58411.142837524414,2200,2,1.45,53334.21894836426,2126,3189,2155,2119,2150,2192,2420,2057,2128,2117,2190,2058,2192,2195,2089,3193,3,1.0101009607315063,0,0,2.0202019214630127,0,2.040816307067871,2.0202019214630127,3,3,2.0202019214630127,3,2.0202019214630127,2.040816307067871,96.96969604492188,2.0202019214630127,16665841664,4294963200,1678741504,294387712
999,1745061842164,473.1358642578125,4275,0,1.4312500000000001,27281.269470214844,2137.5,2,1.4312500000000001,9901.369033813477,2137.5,2,1.4312500000000001,31250.15657043457,2137.5,2,1.4312500000000001,47886.25028991699,2200,2,1.4312500000000001,34206.68843078613,2200,2,1.4312500000000001,16126.844055175781,2200,2,1.4312500000000001,58411.33888244629,2200,2,1.4312500000000001,53362.22311401367,2126,3189,2155,2119,2150,2192,2420,2057,2128,2117,2190,2058,2192,2195,2089,3193,2.0202019214630127,1.0101009607315063,1.9801980257034302,0,2,0.9900990128517151,2,2,1.0101009607315063,1.0101009607315063,2,2,2,1.9801980257034302,97.97979736328125,2,16665841664,4294963200,1804668928,294387712
999,1745061843164,487.1934356689453,4350,0,1.44375,27281.462692260742,2137.5,2,1.44375,9901.532577514648,2137.5,2,1.44375,31250.287475585938,2137.5,2,1.44375,47886.446044921875,2200,2,1.44375,34206.85626220703,2200,2,1.44375,16127.009643554688,2200,2,1.44375,58411.52035522461,2200,2,1.44375,53390.21044921875,2126,3189,2155,2119,2150,2192,2420,2057,2128,2117,2190,2058,2192,2195,2089,3193,1,2,2,0,1.0101009607315063,0,1,1.0101009607315063,2,1.9801980257034302,1.9801980257034302,1.0101009607315063,1.9801980257034302,1.0101009607315063,98.01980590820313,2,16665841664,4294963200,1812926464,294387712
999,1745061844165,501.241455078125,4350,0,1.4312500000000001,27281.7423248291,2137.5,2,1.4312500000000001,9901.71044921875,2137.5,2,1.4312500000000001,31250.350799560547,2137.5,2,1.4312500000000001,47886.63455200195,2200,2,1.4312500000000001,34207.07440185547,2200,2,1.4312500000000001,16127.201782226563,2200,2,1.4312500000000001,58411.69123840332,2200,2,1.4312500000000001,53418.39611816406,2126,3189,2155,2119,2150,2192,2420,2057,2128,2117,2190,2058,2192,2195,2089,3193,2,2.97029709815979,1.0101009607315063,0.9900990128517151,2,1,2,2,1,0,1.0101009607315063,2,1.0101009607315063,2,100,1.0101009607315063,16665841664,4294963200,1799876608,294387712
999,1745061845165,515.4050903320313,4300,0,1.45,27281.945587158203,2150,2,1.45,9901.886367797852,2150,2,1.45,31250.526397705078,2150,2,1.45,47886.8381652832,2200,2,1.45,34207.2619934082,2200,2,1.45,16127.401596069336,2200,2,1.45,58411.87071228027,2200,2,1.45,53446.506088256836,2126,3189,2155,2119,2150,2192,2420,2057,2128,2117,2190,2058,2192,2195,2089,3193,2,1.0101009607315063,2,2,2,0.9900990128517151,2,1.9801980257034302,0,0,2.0202019214630127,2,2,2,100,2,16665841664,4294963200,1797701632,294387712
999,1745061846165,529.5164794921875,4350,0,1.4375,27282.157287597656,2137.5,2,1.4375,9902.044342041016,2137.5,2,1.4375,31250.684677124023,2137.5,2,1.4375,47887.03205871582,2200,2,1.4375,34207.44177246094,2200,2,1.4375,16127.591766357422,2200,2,1.4312500000000001,58412.04281616211,2200,2,1.4312500000000001,53474.6877746582,2126,3189,2155,2119,2150,2192,2420,2057,2128,2117,2190,2058,2192,2195,2089,3193,2,3,1.9801980257034302,1.0101009607315063,1,0,2,1.0101009607315063,0,0,1.9801980257034302,1,2,1,99.00990295410156,1.9801980257034302,16665841664,4294963200,1796591616,294387712
