Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744849648848,33780.82061767578,2200,2,0.84375,55020.236755371094,2200,2,0.84375,44959.46717834473,2200,2,0.84375,55553.42221069336,2200,2,0.84375,25403.177124023438,2200,2,0.84375,59805.55194091797,2200,2,0.84375,48236.655014038086,2200,2,0.84375,60906.31579589844,2200,2,0.84375,56296.77459716797,2092,3158,2130,1938,2187,2192,2064,2196,2130,2185,2195,2194,2194,2183,2128,3191,3.846153974533081,7.407407283782959,0,0,0,3.846153974533081,3.846153974533081,0,3.846153974533081,3.846153974533081,3.7037036418914795,3.846153974533081,7.692307949066162,3.7037036418914795,3.7037036418914795,3.846153974533081,16665841664,4294963200,909484032,242221056
999,1744849648848,33780.82083129883,2200,2,0.85,55020.236907958984,2200,2,0.85,44959.46887207031,2200,2,0.85,55553.42236328125,2200,2,0.85,25403.177322387695,2200,2,0.85,59805.55207824707,2200,2,0.85,48236.658294677734,2200,2,0.85,60906.31590270996,2200,2,0.85,56296.79542541504,2092,3158,2130,1938,2187,2192,2064,2196,2130,2185,2195,2194,2194,2183,2128,3191,3.846153974533081,7.407407283782959,0,0,0,3.846153974533081,3.846153974533081,0,3.846153974533081,3.846153974533081,3.7037036418914795,3.846153974533081,7.692307949066162,3.7037036418914795,3.7037036418914795,3.846153974533081,16665841664,4294963200,909484032,242221056
999,1744849649848,33786.32928466797,3975,0,1.29375,55025.25469970703,3975,0,1.29375,44965.14337158203,3975,0,1.29375,55560.83023071289,3975,0,1.29375,25414.199752807617,3975,0,1.29375,59811.99594116211,3975,0,1.29375,48243.0538482666,3975,0,1.29375,60912.11317443848,3975,0,1.29375,56360.54251098633,2092,3158,2130,1938,2187,2192,2064,2196,2130,2185,2195,2194,2194,2183,2128,3191,7,7,45.5445556640625,41.41414260864258,8.08080768585205,34,33.333335876464844,10.1010103225708,14.285715103149414,66.33663177490234,95,39.60396194458008,48,56.56565475463867,58,55.88235092163086,16665841664,4294963200,1289506816,242221056
999,1744849650848,33791.07051086426,4125,0,1.41875,55029.10185241699,2062.5,2,1.41875,44970.33483886719,2750,2,1.41875,55565.08093261719,2062.5,2,1.41875,25425.745162963867,4125,0,1.41875,59817.18544006348,2062.5,2,1.425,48246.46060180664,2062.5,2,1.425,60913.749771118164,2062.5,2,1.425,56412.43721008301,2092,3158,2130,1938,2187,2192,2064,2196,2130,2185,2195,2194,2194,2183,2128,3191,0,30.000001907348633,31.313129425048828,42,39,48.51485061645508,35,1.0101009607315063,34.653465270996094,4.040403842926025,64,4.040403842926025,4,8,47,25.25252342224121,16665841664,4294963200,1537748992,242221056
999,1744849651848,33791.2957611084,2200,2,1.4125,55029.33435058594,2200,2,1.4125,44970.501541137695,2200,2,1.41875,55565.288833618164,2200,2,1.41875,25429.41893005371,2100,2,1.41875,59828.0061340332,4200,0,1.41875,48247.06221008301,2100,2,1.41875,60914.995834350586,2100,2,1.41875,56442.8761138916,2092,3158,2130,1938,2187,2192,2064,2196,2130,2185,2195,2194,2194,2183,2128,3191,1.0101009607315063,2.0202019214630127,1.0101009607315063,2.0202019214630127,24,77,2,3.9215688705444336,0,0,1,2,2.0202019214630127,2.0202019214630127,0,2,16665841664,4294963200,1694384128,242221056
999,1744849652848,33791.510513305664,2200,2,1.425,55029.52243041992,2200,2,1.425,44970.71076965332,2200,2,1.425,55565.45820617676,2200,2,1.425,25429.61312866211,2112.5,2,1.425,59841.50898742676,4225,0,1.425,48247.251373291016,2112.5,2,1.425,60916.20674133301,2112.5,2,1.425,56471.42842102051,2092,3158,2130,1938,2187,2192,2064,2196,2130,2185,2195,2194,2194,2183,2128,3191,2,2,2,2,2,100,2,2,3,0,0,2,2,2,0,2,16665841664,4294963200,1818247168,242221056
999,1744849653848,33791.72399902344,2200,2,1.4312500000000001,55029.735595703125,2200,2,1.4312500000000001,44971.14241027832,2200,2,1.4312500000000001,55565.635833740234,2200,2,1.4312500000000001,25429.794143676758,2112.5,2,1.4312500000000001,59855.45004272461,4225,0,1.4312500000000001,48247.47085571289,2112.5,2,1.4375,60917.44941711426,2112.5,2,1.4375,56500.84118652344,2092,3158,2130,1938,2187,2192,2064,2196,2130,2185,2195,2194,2194,2183,2128,3191,2.0202019214630127,2,2.97029709815979,2,2,100,2,2.0202019214630127,3,0,0.9900990128517151,2,2.97029709815979,2,0,2,16665841664,4294963200,1817485312,242221056
999,1744849654848,33791.95880126953,2200,2,1.4312500000000001,55029.94857788086,2200,2,1.4312500000000001,44971.332595825195,2200,2,1.4312500000000001,55565.8260345459,2200,2,1.4312500000000001,25429.970809936523,2125,2,1.4312500000000001,59869.282974243164,4250,0,1.4312500000000001,48247.65840148926,2125,2,1.4312500000000001,60918.707107543945,2125,2,1.4375,56529.64292907715,2092,3158,2130,1938,2187,2192,2064,2196,2130,2185,2195,2194,2194,2183,2128,3191,2,2,1.0101009607315063,2,2.0202019214630127,99,2,2,2.97029709815979,0,0,2,1.0101009607315063,3,0,2,16665841664,4294963200,1793396736,242221056
999,1744849655848,33792.17317199707,2200,2,1.44375,55030.15663146973,2200,2,1.44375,44971.53706359863,2200,2,1.44375,55566.00506591797,2200,2,1.44375,25430.157348632813,2112.5,2,1.44375,59883.16410827637,4225,0,1.44375,48247.86798095703,2112.5,2,1.4375,60919.931869506836,2112.5,2,1.4375,56558.64030456543,2092,3158,2130,1938,2187,2192,2064,2196,2130,2185,2195,2194,2194,2183,2128,3191,0,2,2,2,1.9801980257034302,100,2,2,2.0202019214630127,0,0,2.0202019214630127,2,1.0101009607315063,2,2.0202019214630127,16665841664,4294963200,1792737280,242221056
999,1744849656849,33792.37519836426,2200,2,1.46875,55030.35025024414,2200,2,1.46875,44971.731185913086,2200,2,1.46875,55566.17202758789,2200,2,1.46875,25430.32827758789,2125,2,1.46875,59896.976333618164,4250,0,1.46875,48248.06970214844,2125,2,1.46875,60921.13636779785,2125,2,1.46875,56587.17672729492,2092,3158,2130,1938,2187,2192,2064,2196,2130,2185,2195,2194,2194,2183,2128,3191,0,2,2,2,0,99.01960754394531,2,2.0202019214630127,2,0,2,2,2.97029709815979,2.97029709815979,2,2,16665841664,4294963200,1792221184,242221056
