Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744990925382,55435.767990112305,2200,2,0.85,14154.685287475586,2200,2,0.85,55002.50842285156,2200,2,0.85,14438.376419067383,2200,2,0.85,39556.75254821777,2200,2,0.85,17232.939971923828,2200,2,0.85,3599.301528930664,2200,2,0.85,36187.79081726074,2200,2,0.85,31258.313049316406,2106,2185,2125,2128,2194,2163,2197,2193,2116,2123,2193,2193,2195,2190,2125,3191,3.7037036418914795,3.7037036418914795,3.7037036418914795,3.5714287757873535,3.5714287757873535,0,3.5714287757873535,3.7037036418914795,3.7037036418914795,3.7037036418914795,0,3.5714287757873535,0,3.5714287757873535,10.714285850524902,0,16665841664,4294963200,857411584,292552704
999,1744990925382,55435.771240234375,2200,2,0.84375,14154.685440063477,2200,2,0.84375,55002.508560180664,2200,2,0.84375,14438.376556396484,2200,2,0.84375,39556.75605773926,2200,2,0.84375,17232.94010925293,2200,2,0.84375,3599.3016204833984,2200,2,0.84375,36187.79090881348,2200,2,0.84375,31258.324783325195,2106,2185,2125,2128,2194,2163,2197,2193,2116,2123,2193,2193,2195,2190,2125,3191,3.7037036418914795,3.7037036418914795,3.7037036418914795,3.5714287757873535,3.5714287757873535,0,3.5714287757873535,3.7037036418914795,3.7037036418914795,3.7037036418914795,0,3.5714287757873535,0,3.5714287757873535,10.714285850524902,0,16665841664,4294963200,857411584,292552704
999,1744990926382,55447.367752075195,4300,0,1.45,14154.96516418457,2150,2,1.45,55002.66427612305,2150,2,1.45,14439.686569213867,2150,2,1.45,39559.06596374512,3200,1,1.45,17235.1319732666,2560,2,1.45,3600.317428588867,2133.333333333333,2,1.44375,36189.10482788086,2133.333333333333,2,1.44375,31291.557067871094,2106,2185,2125,2128,2194,2163,2197,2193,2116,2123,2193,2193,2195,2190,2125,3191,0,0,0.9900990128517151,0,16,8.91089153289795,4,7,0,9,5.94059419631958,5.94059419631958,2.97029709815979,2,100,1.9801980257034302,16665841664,4294963200,958582784,292552704
999,1744990927382,55457.94026184082,4300,0,1.4375,14155.0595703125,2150,2,1.4375,55003.54379272461,4300,0,1.4375,14439.724334716797,2150,2,1.4375,39559.60514831543,2200,2,1.4375,17235.268646240234,2200,2,1.4375,3600.408248901367,2200,2,1.4375,36189.24630737305,2200,2,1.4375,31317.32209777832,2106,2185,2125,2128,2194,2163,2197,2193,2116,2123,2193,2193,2195,2190,2125,3191,26,0,0,0,4,0,0,0,8,0,0,0,0,0,66,1,16665841664,4294963200,955351040,292552704
999,1744990928383,55460.7479095459,2087.5,2,1.3875,14158.265228271484,4175,0,1.4,55011.80268859863,4175,0,1.4,14441.63037109375,2087.5,2,1.4,39564.187271118164,2087.5,2,1.4,17237.500274658203,2087.5,2,1.4,3601.7882080078125,4175,0,1.4,36190.607666015625,2087.5,2,1.4,31355.713180541992,2106,2185,2125,2128,2194,2163,2197,2193,2116,2123,2193,2193,2195,2190,2125,3191,19.387754440307617,19.387754440307617,5.0505051612854,3.0303030014038086,18,18.18181800842285,1,3.9603960514068604,60.000003814697266,18,17.171716690063477,0,11.111111640930176,3.0303030014038086,9.090909004211426,11,16665841664,4294963200,993550336,292552704
999,1744990929383,55462.4035949707,2075,2,1.41875,14161.800033569336,2075,2,1.41875,55024.21813964844,4150,0,1.41875,14443.472702026367,2075,2,1.41875,39566.165603637695,4150,0,1.41875,17241.896240234375,2075,2,1.41875,3605.1292114257813,2075,2,1.41875,36192.26792907715,2075,2,1.41875,31399.61393737793,2106,2185,2125,2128,2194,2163,2197,2193,2116,2123,2193,2193,2195,2190,2125,3191,5.0505051612854,1,0.9900990128517151,3.0303030014038086,0,41,0,0,86.86868286132813,10.1010103225708,13.8613862991333,0,29.702970504760742,9.090909004211426,9.090909004211426,31,16665841664,4294963200,1112944640,292552704
999,1744990930383,55462.73971557617,2200,2,1.425,14164.476577758789,2200,2,1.425,55024.95170593262,2200,2,1.425,14443.998489379883,2200,2,1.425,39580.19418334961,4150,0,1.425,17243.999481201172,2075,2,1.425,3607.2975311279297,2075,2,1.425,36193.58403015137,2075,2,1.425,31436.229049682617,2106,2185,2125,2128,2194,2163,2197,2193,2116,2123,2193,2193,2195,2190,2125,3191,0,2.040816307067871,3.0303030014038086,2.0202019214630127,11,16.1616153717041,0,0,0,2.0202019214630127,90,0,16.1616153717041,4,0,21,16665841664,4294963200,1115987968,292552704
999,1744990931383,55473.53283691406,4300,0,1.4312500000000001,14167.768936157227,2150,2,1.4312500000000001,55025.2332611084,2150,2,1.4312500000000001,14444.384902954102,2150,2,1.4312500000000001,39583.843826293945,2200,2,1.4312500000000001,17249.990280151367,2200,2,1.4312500000000001,3610.6046142578125,2200,2,1.4312500000000001,36194.79084777832,2200,2,1.4312500000000001,31477.965698242188,2106,2185,2125,2128,2194,2163,2197,2193,2116,2123,2193,2193,2195,2190,2125,3191,76,3.0303030014038086,2.97029709815979,2,23.232322692871094,52.999996185302734,0,0,0,2,0,0,31.683168411254883,2.0202019214630127,0,25.74257469177246,16665841664,4294963200,1139441664,292552704
999,1744990932383,55488.21322631836,4250,0,1.44375,14170.596099853516,2833.333333333333,2,1.44375,55025.54373168945,2125,2,1.44375,14444.558670043945,2125,2,1.44375,39583.89971923828,2125,2,1.44375,17251.3048248291,2125,2,1.44375,3613.719696044922,4250,0,1.44375,36195.52569580078,4250,0,1.44375,31513.889114379883,2106,2185,2125,2128,2194,2163,2197,2193,2116,2123,2193,2193,2195,2190,2125,3191,100,7.070706844329834,0,0,0.9900990128517151,8,0,0,1,0,0,0,26,5.94059419631958,0,15.000000953674316,16665841664,4294963200,1146298368,292552704
999,1744990933383,55502.90574645996,4275,0,1.4375,14172.186416625977,2850,2,1.4375,55025.835372924805,2137.5,2,1.4375,14445.980880737305,2137.5,2,1.4375,39583.984375,2200,2,1.4375,17251.399490356445,2200,2,1.4375,3615.442108154297,2200,2,1.4375,36196.86080932617,2200,2,1.4375,31548.07209777832,2106,2185,2125,2128,2194,2163,2197,2193,2116,2123,2193,2193,2195,2190,2125,3191,99,10.891088485717773,0,2.040816307067871,0,1,0.9900990128517151,1,1.9607844352722168,0,1,0,12.121212005615234,6.060606002807617,0.9900990128517151,0,16665841664,4294963200,1146699776,292552704
