Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744920774241,43636.921646118164,2200,2,0.85,2769.033950805664,2200,2,0.85,48113.46226501465,2200,2,0.85,63636.492446899414,2200,2,0.85,30318.36003112793,2200,2,0.85,2861.5550231933594,2200,2,0.85,51974.998474121094,2200,2,0.85,14679.563186645508,2200,2,0.85,29947.15853881836,2128,3182,2121,2128,2195,2192,2185,2194,2129,2142,2179,1945,2193,2195,2125,3193,0,3.4482758045196533,0,3.3333334922790527,6.896551609039307,3.4482758045196533,6.6666669845581055,3.4482758045196533,0,0,6.6666669845581055,6.6666669845581055,0,6.6666669845581055,3.3333334922790527,3.3333334922790527,16665841664,4294963200,886222848,264765440
999,1744920774242,43636.92192077637,2200,2,0.85,2769.0341033935547,2200,2,0.85,48113.46240234375,2200,2,0.85,63636.49594116211,2200,2,0.85,30318.361709594727,2200,2,0.85,2861.555130004883,2200,2,0.85,51974.99858093262,2200,2,0.85,14679.563339233398,2200,2,0.85,29947.183883666992,2128,3182,2121,2128,2195,2192,2185,2194,2129,2142,2179,1945,2193,2195,2125,3193,0,3.4482758045196533,0,3.3333334922790527,6.896551609039307,3.4482758045196533,6.6666669845581055,3.4482758045196533,0,0,6.6666669845581055,6.6666669845581055,0,6.6666669845581055,3.3333334922790527,3.3333334922790527,16665841664,4294963200,886222848,264765440
999,1744920775242,43640.15042114258,2087.5,2,1.46875,2770.3595123291016,2087.5,2,1.46875,48114.67663574219,4175,0,1.46875,63637.18217468262,2087.5,2,1.46875,30328.0848236084,4175,0,1.46875,2862.6085357666016,2783.333333333333,2,1.46875,51975.61784362793,2087.5,2,1.46875,14682.049453735352,2087.5,2,1.46875,29980.967681884766,2128,3182,2121,2128,2195,2192,2185,2194,2129,2142,2179,1945,2193,2195,2125,3193,21.782176971435547,6.86274528503418,9,5,45.5445556640625,7,2.97029709815979,0,0.9900990128517151,1,39,0,0,17,8,6,16665841664,4294963200,999669760,264765440
999,1744920776242,43640.25860595703,2200,2,1.44375,2770.420196533203,2200,2,1.44375,48115.10792541504,2200,2,1.44375,63637.24349975586,2200,2,1.44375,30331.958587646484,4175,0,1.44375,2862.6429595947266,2087.5,2,1.44375,51975.66290283203,2087.5,2,1.44375,14689.84196472168,4175,0,1.44375,30006.62921142578,2128,3182,2121,2128,2195,2192,2185,2194,2129,2142,2179,1945,2193,2195,2125,3193,0,0,2,0.9900990128517151,0,0,0,28,0,0.9900990128517151,30.693069458007813,0,0,42,1,0,16665841664,4294963200,1006239744,264765440
999,1744920777242,43644.88653564453,2100,2,1.40625,2776.37451171875,4200,0,1.40625,48117.94873046875,2100,2,1.40625,63638.06707763672,2100,2,1.40625,30335.03645324707,2200,2,1.40625,2863.839141845703,2200,2,1.40625,51976.79301452637,2200,2,1.40625,14693.439102172852,2200,2,1.40625,30043.089416503906,2128,3182,2121,2128,2195,2192,2185,2194,2129,2142,2179,1945,2193,2195,2125,3193,27.835050582885742,40,4.95049524307251,0,13,0,6,22.22222328186035,21,3.0303030014038086,9.090909004211426,5,1,10,15.15151596069336,17,16665841664,4294963200,994734080,264765440
999,1744920778242,43645.618911743164,2200,2,1.425,2788.2254943847656,2200,2,1.425,48120.847717285156,2200,2,1.425,63639.73420715332,2200,2,1.425,30338.164932250977,4150,0,1.425,2868.6289825439453,2075,2,1.425,51979.961685180664,2075,2,1.425,14696.149688720703,2075,2,1.425,30087.809616088867,2128,3182,2121,2128,2195,2192,2185,2194,2129,2142,2179,1945,2193,2195,2125,3193,0,89,0,0,3,0,1.0101009607315063,18,30.000001907348633,10.1010103225708,21,42,26,7.070706844329834,0,9.183673858642578,16665841664,4294963200,1101758464,264765440
999,1744920779242,43646.37397766113,2200,2,1.425,2788.580841064453,2200,2,1.425,48123.2282409668,2200,2,1.425,63640.088287353516,2200,2,1.425,30350.859970092773,4150,0,1.425,2869.946578979492,2075,2,1.425,51982.20036315918,2075,2,1.425,14697.864303588867,2075,2,1.425,30123.142807006836,2128,3182,2121,2128,2195,2192,2185,2194,2129,2142,2179,1945,2193,2195,2125,3193,0,0,0,0,2.0202019214630127,0,1,7.070706844329834,22,1.0101009607315063,100,4,19.191919326782227,3.0303030014038086,2,0,16665841664,4294963200,1125978112,264765440
999,1744920780242,43658.32925415039,4200,0,1.4375,2789.563720703125,2100,2,1.4312500000000001,48125.93930053711,2100,2,1.4312500000000001,63640.51856994629,2100,2,1.4312500000000001,30353.76397705078,4200,0,1.4312500000000001,2870.5866088867188,2100,2,1.4312500000000001,51984.67445373535,2100,2,1.4312500000000001,14702.510360717773,2100,2,1.4312500000000001,30163.345275878906,2128,3182,2121,2128,2195,2192,2185,2194,2129,2142,2179,1945,2193,2195,2125,3193,89,0,0,1,1.0101009607315063,0,0.9900990128517151,39,25.510204315185547,3,12,2.0202019214630127,19.80198097229004,2.97029709815979,1.0101009607315063,9.90099048614502,16665841664,4294963200,1169592320,264765440
999,1744920781242,43659.6247253418,2087.5,2,1.45,2792.1529693603516,2783.333333333333,2,1.45,48130.1483001709,4175,0,1.45,63640.60191345215,2087.5,2,1.45,30363.916290283203,4175,0,1.45,2871.3042755126953,2087.5,2,1.45,51986.87129211426,2087.5,2,1.45,14704.37077331543,2087.5,2,1.45,30199.984802246094,2128,3182,2121,2128,2195,2192,2185,2194,2129,2142,2179,1945,2193,2195,2125,3193,5.0505051612854,0,0,0,2.0202019214630127,0,0,11,30.693069458007813,0,75,1.9801980257034302,16.1616153717041,0,0,21.212121963500977,16665841664,4294963200,1171894272,264765440
999,1744920782242,43659.99868774414,2075,2,1.45,2792.2630920410156,2075,2,1.45,48132.629943847656,4150,0,1.45,63643.08058166504,2075,2,1.45,30377.538146972656,4150,0,1.45,2874.4539947509766,4150,0,1.45,51987.44094848633,2075,2,1.45,14705.457214355469,2075,2,1.45,30237.212951660156,2128,3182,2121,2128,2195,2192,2185,2194,2129,2142,2179,1945,2193,2195,2125,3193,1,0.9900990128517151,0.9900990128517151,0,46,0,0,0,23,19.191919326782227,56,23,1.0101009607315063,0,0,0,16665841664,4294963200,1174286336,264765440
