Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744906641308,16007.259368896484,2200,2,0.85,53526.0213470459,2200,2,0.85,34452.058670043945,2200,2,0.85,49995.586334228516,2200,2,0.85,2329.4308013916016,2200,2,0.85,55036.751724243164,2200,2,0.85,37627.25115966797,2200,2,0.85,2370.4098510742188,2200,2,0.85,17060.29150390625,2128,3142,2076,2126,2188,2168,1995,2180,2125,2116,2195,2194,2004,2174,2175,3192,0,0,4,3.7037036418914795,0,0,7.407407283782959,0,0,0,3.846153974533081,3.7037036418914795,7.142857551574707,3.7037036418914795,3.7037036418914795,0,16665841664,4294963200,891084800,255328256
999,1744906641308,16007.259521484375,2200,2,0.85,53526.02160644531,2200,2,0.85,34452.06201171875,2200,2,0.85,49995.586486816406,2200,2,0.85,2329.430953979492,2200,2,0.85,55036.751861572266,2200,2,0.85,37627.25476074219,2200,2,0.85,2370.409957885742,2200,2,0.85,17060.303924560547,2128,3142,2076,2126,2188,2168,1995,2180,2125,2116,2195,2194,2004,2174,2175,3192,0,0,4,3.7037036418914795,0,0,7.407407283782959,0,0,0,3.846153974533081,3.7037036418914795,7.142857551574707,3.7037036418914795,3.7037036418914795,0,16665841664,4294963200,891572224,255328256
1000,1744906642309,16008.081802368164,2000,2,1.44375,53533.55310058594,3000,2,1.44375,34453.144287109375,2000,2,1.44375,49996.33853149414,2000,2,1.44375,2334.0696868896484,4175,0,1.44375,55037.17723083496,2087.5,2,1.44375,37629.2239074707,2087.5,2,1.44375,2372.1146545410156,2087.5,2,1.44375,17092.18130493164,2128,3142,2076,2126,2188,2168,1995,2180,2125,2116,2195,2194,2004,2174,2175,3192,6.93069314956665,58,8.91089153289795,5,23,3,7.070706844329834,4.95049524307251,0,0,18,0,4.040403842926025,8.08080768585205,0,5.94059419631958,16665841664,4294963200,965955584,255328256
999,1744906643309,16008.22135925293,2200,2,1.44375,53533.745040893555,2200,2,1.44375,34453.80065917969,2200,2,1.44375,49996.37565612793,2200,2,1.44375,2344.965301513672,4175,0,1.44375,55037.238220214844,2087.5,2,1.44375,37629.47462463379,2087.5,2,1.44375,2372.51806640625,2087.5,2,1.44375,17117.7890625,2128,3142,2076,2126,2188,2168,1995,2180,2125,2116,2195,2194,2004,2174,2175,3192,0,2,5.0505051612854,0,74,0,0,0,0,0,24.24242401123047,0,0,0,0,0,16665841664,4294963200,967626752,255328256
999,1744906644309,16014.068115234375,2062.5,2,1.4312500000000001,53535.53373718262,4125,0,1.4312500000000001,34455.679946899414,4125,0,1.4312500000000001,49998.24656677246,4125,0,1.4312500000000001,2352.314727783203,4125,0,1.4312500000000001,55037.43421936035,2062.5,2,1.4312500000000001,37630.099700927734,2750,2,1.4312500000000001,2374.135940551758,2062.5,2,1.4312500000000001,17152.1290435791,2128,3142,2076,2126,2188,2168,1995,2180,2125,2116,2195,2194,2004,2174,2175,3192,28.282827377319336,12.87128734588623,1,0,16.1616153717041,1,0.9900990128517151,12,18.18181800842285,20,46,0.9900990128517151,5,2,22.448978424072266,0,16665841664,4294963200,981606400,255328256
999,1744906645309,16015.521255493164,2200,2,1.4312500000000001,53537.42616271973,2200,2,1.4312500000000001,34459.56327819824,2200,2,1.4312500000000001,50003.2880859375,2200,2,1.4312500000000001,2365.7267150878906,4150,0,1.4312500000000001,55038.88497924805,2075,2,1.4312500000000001,37634.53193664551,2075,2,1.4312500000000001,2375.928237915039,2075,2,1.4312500000000001,17198.829177856445,2128,3142,2076,2126,2188,2168,1995,2180,2125,2116,2195,2194,2004,2174,2175,3192,0,9.090909004211426,0.9900990128517151,0,4.040403842926025,4,0,9.090909004211426,36,44.4444465637207,100,1.0101009607315063,43.13725662231445,1,8.08080768585205,0,16665841664,4294963200,1142890496,255328256
999,1744906646309,16016.36782836914,2133.333333333333,2,1.40625,53537.83067321777,3200,1,1.40625,34461.45733642578,2133.333333333333,2,1.40625,50005.92631530762,2133.333333333333,2,1.40625,2379.8490447998047,4125,0,1.40625,55040.302993774414,2062.5,2,1.40625,37636.588928222656,2062.5,2,1.40625,2377.3336029052734,2062.5,2,1.4125,17236.67645263672,2128,3142,2076,2126,2188,2168,1995,2180,2125,2116,2195,2194,2004,2174,2175,3192,6.6666669845581055,2.0202019214630127,0.9900990128517151,0,5,0.9900990128517151,0,5.94059419631958,15.15151596069336,25,100,3,16.1616153717041,0,3,0,16665841664,4294963200,1149681664,255328256
999,1744906647309,16017.734298706055,2062.5,2,1.40625,53538.9501953125,2062.5,2,1.40625,34465.54364013672,2062.5,2,1.40625,50008.98358154297,4125,0,1.40625,2393.531768798828,4125,0,1.40625,55041.77462768555,2062.5,2,1.40625,37639.127349853516,2062.5,2,1.40625,2378.4926147460938,2062.5,2,1.4,17277.881958007813,2128,3142,2076,2126,2188,2168,1995,2180,2125,2116,2195,2194,2004,2174,2175,3192,13.461539268493652,11.111111640930176,0,0,100,1.0101009607315063,0.9900990128517151,1.0101009607315063,34,29.411766052246094,0,3.0303030014038086,21,0,1,0,16665841664,4294963200,1165271040,255328256
999,1744906648309,16018.370834350586,2050,2,1.39375,53541.46325683594,4100,0,1.39375,34466.161544799805,2050,2,1.39375,50011.915100097656,4100,0,1.39375,2407.724899291992,4100,0,1.39375,55043.51527404785,4100,0,1.39375,37639.32377624512,2050,2,1.39375,2379.621063232422,2050,2,1.39375,17314.466552734375,2128,3142,2076,2126,2188,2168,1995,2180,2125,2116,2195,2194,2004,2174,2175,3192,3.0303030014038086,5.94059419631958,4.040403842926025,0,99.00990295410156,0,0,0,0,25.25252342224121,0,7,0.9900990128517151,1.9801980257034302,0,16.831682205200195,16665841664,4294963200,1169924096,255328256
999,1744906649309,16018.549179077148,2200,2,1.4312500000000001,53542.3684387207,2200,2,1.4312500000000001,34466.38005065918,2200,2,1.4312500000000001,50013.58155822754,2200,2,1.4312500000000001,2408.3797607421875,2112.5,2,1.4312500000000001,55045.341857910156,2112.5,2,1.4312500000000001,37653.8948059082,4225,0,1.4312500000000001,2381.184783935547,2112.5,2,1.4312500000000001,17348.694915771484,2128,3142,2076,2126,2188,2168,1995,2180,2125,2116,2195,2194,2004,2174,2175,3192,0,0,0,0,1,0.9900990128517151,0,1,1,13,0.9900990128517151,11.111111640930176,100,4,0,6,16665841664,4294963200,1165598720,255328256
