Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744984606366,42328.17677307129,2200,2,0.8375,9403.258773803711,2200,2,0.8375,48892.97010803223,2200,2,0.8375,8042.687835693359,2200,2,0.8375,27478.76448059082,2200,2,0.8375,11181.127395629883,2200,2,0.8375,62941.2166595459,2200,2,0.8375,28139.792083740234,2200,2,0.8375,37765.11277770996,2128,3191,2127,2126,2021,2194,2190,2195,2173,2128,2199,2172,2187,2195,2123,3193,0,3.7037036418914795,3.5714287757873535,7.142857551574707,0,3.5714287757873535,7.407407283782959,3.5714287757873535,3.5714287757873535,0,3.7037036418914795,3.5714287757873535,0,3.7037036418914795,0,3.5714287757873535,16665841664,4294963200,848687104,292290560
999,1744984606366,42328.17697143555,2200,2,0.8375,9403.262191772461,2200,2,0.8375,48892.97021484375,2200,2,0.8375,8042.687942504883,2200,2,0.8375,27478.764587402344,2200,2,0.8375,11181.127624511719,2200,2,0.8375,62941.2198638916,2200,2,0.8375,28139.792236328125,2200,2,0.8375,37765.138412475586,2128,3191,2127,2126,2021,2194,2190,2195,2173,2128,2199,2172,2187,2195,2123,3193,0,3.7037036418914795,3.5714287757873535,7.142857551574707,0,3.5714287757873535,7.407407283782959,3.5714287757873535,3.5714287757873535,0,3.7037036418914795,3.5714287757873535,0,3.7037036418914795,0,3.5714287757873535,16665841664,4294963200,848687104,292290560
999,1744984607366,42329.046798706055,2112.5,2,1.45,9404.273376464844,2112.5,2,1.45,48894.71272277832,4225,0,1.45,8043.67936706543,2112.5,2,1.45,27479.266571044922,2112.5,2,1.45,11182.336074829102,2112.5,2,1.45,62952.49101257324,4225,0,1.45,28140.62632751465,2112.5,2,1.45,37796.85778808594,2128,3191,2127,2126,2021,2194,2190,2195,2173,2128,2199,2172,2187,2195,2123,3193,4.95049524307251,2.97029709815979,0,7,1.9801980257034302,0,100,0,14,1,0,7,0,5.94059419631958,3.9215688705444336,4,16665841664,4294963200,926482432,292290560
999,1744984608367,42329.12857055664,2200,2,1.41875,9404.35269165039,2200,2,1.41875,48895.0617980957,2200,2,1.41875,8043.7310791015625,2200,2,1.41875,27479.521911621094,2100,2,1.41875,11182.371841430664,2100,2,1.41875,62963.641021728516,4200,0,1.41875,28140.66877746582,2100,2,1.41875,37822.35264587402,2128,3191,2127,2126,2021,2194,2190,2195,2173,2128,2199,2172,2187,2195,2123,3193,0,0,0,0,0,0,94.05941009521484,0,3,0,0,0,5,0,0,0.9900990128517151,16665841664,4294963200,931880960,292290560
999,1744984609367,42330.1736907959,2087.5,2,1.38125,9409.261215209961,4175,0,1.38125,48899.60836791992,2087.5,2,1.38125,8045.977554321289,4175,0,1.38125,27482.506912231445,2087.5,2,1.3875,11182.62582397461,2087.5,2,1.3875,62968.7380065918,4175,0,1.3875,28142.244857788086,2087.5,2,1.3875,37858.79000854492,2128,3191,2127,2126,2021,2194,2190,2195,2173,2128,2199,2172,2187,2195,2123,3193,5.102040767669678,29.29292869567871,15.306122779846191,13.13131332397461,15.15151596069336,0,0,15.000000953674316,33.333335876464844,15.000000953674316,12.121212005615234,1.9801980257034302,42,0,0,17,16665841664,4294963200,970452992,292290560
999,1744984610367,42334.51383972168,2200,2,1.425,9414.29899597168,2200,2,1.425,48903.89109802246,2200,2,1.425,8049.050811767578,2200,2,1.425,27492.490966796875,4150,0,1.425,11184.247772216797,2075,2,1.425,62968.91326904297,2075,2,1.425,28143.969192504883,2075,2,1.425,37902.13819885254,2128,3191,2127,2126,2021,2194,2190,2195,2173,2128,2199,2172,2187,2195,2123,3193,7,2.0202019214630127,39.60396194458008,6.122448921203613,8,0,0,11,4,14,73,14.141413688659668,0,0,27.272727966308594,38.38383865356445,16665841664,4294963200,1068445696,292290560
999,1744984611367,42346.949142456055,4250,0,1.425,9415.640914916992,2125,2,1.425,48906.583572387695,2125,2,1.425,8049.405853271484,2125,2,1.425,27495.074142456055,2112.5,2,1.425,11187.241333007813,4225,0,1.425,62969.11068725586,2112.5,2,1.425,28145.208541870117,2112.5,2,1.425,37939.400390625,2128,3191,2127,2126,2021,2194,2190,2195,2173,2128,2199,2172,2187,2195,2123,3193,89.89899444580078,2.040816307067871,27.272727966308594,1.9801980257034302,2.97029709815979,26,0.9900990128517151,1.0101009607315063,0.9900990128517151,1,14,3,0,1.9801980257034302,2,0,16665841664,4294963200,1098727424,292290560
999,1744984612367,42353.03143310547,4200,0,1.45,9417.917449951172,2800,2,1.45,48912.16191101074,2100,2,1.45,8049.780517578125,2100,2,1.45,27503.944869995117,4200,0,1.45,11191.592102050781,4200,0,1.45625,62969.37258911133,2100,2,1.45625,28146.329040527344,2100,2,1.45625,37981.85354614258,2128,3191,2127,2126,2021,2194,2190,2195,2173,2128,2199,2172,2187,2195,2123,3193,38.38383865356445,2.0202019214630127,27.000001907348633,0,1.0101009607315063,41,0,0,18.18181800842285,3,65,0,0,1.0101009607315063,1.0101009607315063,12.87128734588623,16665841664,4294963200,1130856448,292290560
999,1744984613367,42367.41555786133,4250,0,1.425,9420.265106201172,4250,0,1.425,48913.55854797363,2125,2,1.425,8049.876861572266,2125,2,1.425,27504.132919311523,2133.333333333333,2,1.425,11194.55532836914,3200,1,1.425,62969.612564086914,2133.333333333333,2,1.425,28146.52490234375,2133.333333333333,2,1.425,38016.96701049805,2128,3191,2127,2126,2021,2194,2190,2195,2173,2128,2199,2172,2187,2195,2123,3193,100,7.070706844329834,0,0,1,26.73267364501953,0,0,10,0,0,0,0,1,0,10.1010103225708,16665841664,4294963200,1131294720,292290560
999,1744984614367,42369.63130187988,2133.333333333333,2,1.44375,9422.621658325195,3200,1,1.44375,48914.946029663086,2133.333333333333,2,1.44375,8049.97981262207,2133.333333333333,2,1.44375,27516.33335876465,4150,0,1.44375,11196.477233886719,2075,2,1.44375,62969.83589172363,2075,2,1.44375,28147.488189697266,2075,2,1.44375,38051.519607543945,2128,3191,2127,2126,2021,2194,2190,2195,2173,2128,2199,2172,2187,2195,2123,3193,14,16.831682205200195,0,1,0,14,1.9801980257034302,0,4.040403842926025,0.9900990128517151,86,0,0,3,0,0,16665841664,4294963200,1129512960,292290560
