Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744880513631,25635.594757080078,2133.333333333333,2,0.9625,26277.972427368164,3200,1,0.9625,12618.507263183594,2133.333333333333,2,0.9625,18833.74562072754,2133.333333333333,2,0.9625,22914.636642456055,2200,2,0.9625,28022.42936706543,2200,2,0.95625,11171.458404541016,2200,2,0.95625,37139.4694519043,2200,2,0.95625,19532.302825927734,2128,3101,2176,2123,2194,2196,2166,2195,2128,2127,2195,2194,2193,2194,2188,3189,7.142857551574707,3.7037036418914795,7.142857551574707,7.142857551574707,3.5714287757873535,3.5714287757873535,0,0,7.407407283782959,3.7037036418914795,7.142857551574707,0,3.7037036418914795,0,3.7037036418914795,0,16665841664,4294963200,896671744,248774656
999,1744880513631,25635.59504699707,2133.333333333333,2,0.9625,26277.97265625,3200,1,0.9625,12618.51155090332,2133.333333333333,2,0.9625,18833.74575805664,2133.333333333333,2,0.9625,22914.636795043945,2200,2,0.9625,28022.4315032959,2200,2,0.9625,11171.458541870117,2200,2,0.9625,37139.469665527344,2200,2,0.95625,19532.32859802246,2128,3101,2176,2123,2194,2196,2166,2195,2128,2127,2195,2194,2193,2194,2188,3189,7.142857551574707,3.7037036418914795,7.142857551574707,7.142857551574707,3.5714287757873535,3.5714287757873535,0,0,7.407407283782959,3.7037036418914795,7.142857551574707,0,3.7037036418914795,0,3.7037036418914795,0,16665841664,4294963200,896671744,248774656
1000,1744880514631,25636.080139160156,2137.5,2,1.4625000000000001,26279.036911010742,2850,2,1.4625000000000001,12629.901321411133,4275,0,1.4625000000000001,18834.090240478516,2137.5,2,1.4625000000000001,22915.041748046875,2137.5,2,1.4625000000000001,28024.276443481445,4275,0,1.4625000000000001,11172.044631958008,2137.5,2,1.4625000000000001,37141.77703857422,4275,0,1.4625000000000001,19563.756057739258,2128,3101,2176,2123,2194,2196,2166,2195,2128,2127,2195,2194,2193,2194,2188,3189,1.0101009607315063,0,17,2,2,12.121212005615234,3,11.88118839263916,82.17821502685547,0,1,0,2,6.93069314956665,1,7.920792102813721,16665841664,4294963200,948355072,248774656
999,1744880515632,25636.139724731445,2175,2,1.4875,26279.077713012695,4350,0,1.4875,12641.310043334961,4350,0,1.4875,18834.15379333496,2175,2,1.4875,22915.09275817871,2133.333333333333,2,1.4875,28024.339309692383,3200,1,1.4875,11172.102661132813,2000,2,1.4875,37142.253341674805,2000,2,1.4937500000000001,19588.9647064209,2128,3101,2176,2123,2194,2196,2166,2195,2128,2127,2195,2194,2193,2194,2188,3189,0,0,0,0,0,0,0,2,100,0,0,0,0,0,0,0,16665841664,4294963200,952213504,248774656
999,1744880516632,25637.623641967773,2150,2,1.4375,26280.83837890625,2150,2,1.4375,12649.977813720703,4300,0,1.4375,18836.031814575195,2150,2,1.4375,22918.834381103516,2200,2,1.4375,28026.438247680664,2200,2,1.4375,11173.524841308594,2200,2,1.4375,37143.80326843262,2200,2,1.4375,19624.7724609375,2128,3101,2176,2123,2194,2196,2166,2195,2128,2127,2195,2194,2193,2194,2188,3189,13,6.060606002807617,0,14.141413688659668,24,19.191919326782227,11.111111640930176,10.1010103225708,66,8.08080768585205,5.0505051612854,0,0,0,1,6.060606002807617,16665841664,4294963200,973234176,248774656
999,1744880517632,25644.477294921875,4300,0,1.425,26285.611068725586,4275,0,1.4312500000000001,12652.105453491211,2137.5,2,1.4312500000000001,18841.715301513672,2137.5,2,1.4312500000000001,22922.066650390625,2200,2,1.4312500000000001,28032.064041137695,2200,2,1.4312500000000001,11175.13835144043,2200,2,1.4312500000000001,37146.36161804199,2200,2,1.4312500000000001,19670.86656188965,2128,3101,2176,2123,2194,2196,2166,2195,2128,2127,2195,2194,2193,2194,2188,3189,52.52525329589844,17.171716690063477,6,44,0,50.50504684448242,9.90099048614502,22.77227783203125,7,10,22,0,0,0,1.0101009607315063,16,16665841664,4294963200,1098407936,248774656
999,1744880518632,25657.593231201172,4275,0,1.425,26286.803283691406,2137.5,2,1.425,12652.749130249023,2137.5,2,1.425,18842.62973022461,2137.5,2,1.425,22922.16830444336,2200,2,1.425,28036.162521362305,2200,2,1.425,11176.188980102539,2200,2,1.425,37146.67810058594,2200,2,1.425,19705.532135009766,2128,3101,2176,2123,2194,2196,2166,2195,2128,2127,2195,2194,2193,2194,2188,3189,99,3.0303030014038086,3,0,0,40.594058990478516,2.0202019214630127,0,1,2.0202019214630127,1,0.9900990128517151,0.9900990128517151,0,2.0202019214630127,5.94059419631958,16665841664,4294963200,1123815424,248774656
999,1744880519632,25671.12141418457,4275,0,1.4312500000000001,26287.678253173828,2137.5,2,1.4312500000000001,12653.840606689453,2137.5,2,1.4312500000000001,18843.69563293457,2137.5,2,1.4312500000000001,22922.2266998291,2200,2,1.4312500000000001,28041.585891723633,2200,2,1.4312500000000001,11176.47639465332,2200,2,1.4312500000000001,37148.72007751465,2200,2,1.4312500000000001,19743.498413085938,2128,3101,2176,2123,2194,2196,2166,2195,2128,2127,2195,2194,2193,2194,2188,3189,100,4.040403842926025,2.040816307067871,4.95049524307251,0,47.47474670410156,2.0202019214630127,19,6.060606002807617,3,0,0,0,0,2.0202019214630127,0,16665841664,4294963200,1143656448,248774656
999,1744880520632,25678.406173706055,4250,0,1.40625,26287.972106933594,2125,2,1.40625,12657.629699707031,2125,2,1.40625,18843.787979125977,2125,2,1.40625,22929.657943725586,2560,2,1.40625,28043.129287719727,2133.333333333333,2,1.40625,11179.61457824707,2133.333333333333,2,1.40625,37150.81672668457,3200,1,1.40625,19782.85920715332,2128,3101,2176,2123,2194,2196,2166,2195,2128,2127,2195,2194,2193,2194,2188,3189,49,0.9900990128517151,0.9900990128517151,0,0,9.90099048614502,26,0,31,0,51.48514938354492,0,0,13.13131332397461,2.040816307067871,0,16665841664,4294963200,1153024000,248774656
999,1744880521632,25692.487274169922,4275,0,1.44375,26289.150848388672,2850,2,1.44375,12657.865203857422,2137.5,2,1.44375,18843.820388793945,2137.5,2,1.44375,22929.719940185547,2133.333333333333,2,1.44375,28043.18782043457,2133.333333333333,2,1.44375,11181.77456665039,2133.333333333333,2,1.44375,37154.07264709473,3200,1,1.4375,19816.767318725586,2128,3101,2176,2123,2194,2196,2166,2195,2128,2127,2195,2194,2193,2194,2188,3189,17.171716690063477,1.0204081535339355,0,0,0,0,16.831682205200195,0.9900990128517151,0,0,0,0,0,25,82.17821502685547,0,16665841664,4294963200,1154064384,248774656
