Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744937061379,10472.474899291992,2200,2,0.85,23108.162628173828,2200,2,0.85,1120.464584350586,2200,2,0.85,17839.08087158203,2200,2,0.85,64344.975341796875,2200,2,0.85,24005.753204345703,2200,2,0.85,8180.766311645508,2200,2,0.84375,36015.84053039551,2200,2,0.84375,49341.014404296875,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,3.5714287757873535,3.5714287757873535,3.5714287757873535,0,10.714285850524902,3.5714287757873535,3.5714287757873535,3.5714287757873535,3.7037036418914795,6.896551609039307,6.896551609039307,0,0,3.5714287757873535,0,0,16665841664,4294963200,874561536,270794752
999,1744937061379,10472.475158691406,2200,2,0.84375,23108.16276550293,2200,2,0.84375,1120.4647216796875,2200,2,0.84375,17839.08432006836,2200,2,0.84375,64344.97862243652,2200,2,0.84375,24005.753295898438,2200,2,0.84375,8180.766403198242,2200,2,0.84375,36015.84062194824,2200,2,0.84375,49341.03894042969,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,3.5714287757873535,3.5714287757873535,3.5714287757873535,0,10.714285850524902,3.5714287757873535,3.5714287757873535,3.5714287757873535,3.7037036418914795,6.896551609039307,6.896551609039307,0,0,3.5714287757873535,0,0,16665841664,4294963200,874561536,270794752
999,1744937062379,10477.049301147461,2100,2,1.41875,23116.323211669922,4200,0,1.41875,1125.1842956542969,2100,2,1.41875,17843.569702148438,2100,2,1.41875,64352.685775756836,2200,2,1.41875,24010.68553161621,2200,2,1.41875,8184.255767822266,2200,2,1.41875,36021.83126831055,2200,2,1.41875,49398.72570800781,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,38.38383865356445,42.574256896972656,8.91089153289795,38.613861083984375,61,25,22.77227783203125,43,40,12,12.87128734588623,26.73267364501953,12.87128734588623,30.000001907348633,8.91089153289795,38.613861083984375,16665841664,4294963200,1431822336,270794752
1000,1744937063379,10488.92138671875,4250,0,1.44375,23120.11653137207,2125,2,1.4312500000000001,1126.7113647460938,2125,2,1.4312500000000001,17845.3465423584,2125,2,1.4312500000000001,64354.40393066406,2125,2,1.4312500000000001,24012.307235717773,2125,2,1.4312500000000001,8187.019943237305,4250,0,1.4312500000000001,36023.89057922363,2125,2,1.4312500000000001,49441.02944946289,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,82,19.191919326782227,11,13,12.87128734588623,4,11,13.8613862991333,9,14,10.1010103225708,10.891088485717773,27.000001907348633,12.87128734588623,11,15.000000953674316,16665841664,4294963200,1846763520,270794752
999,1744937064379,10500.668426513672,2112.5,2,1.4312500000000001,23120.813690185547,2112.5,2,1.4312500000000001,1127.4786987304688,2112.5,2,1.4312500000000001,17848.057022094727,4225,0,1.4312500000000001,64355.43711853027,2000,2,1.4312500000000001,24013.348388671875,2000,2,1.4312500000000001,8188.883850097656,3000,2,1.4312500000000001,36025.055419921875,2000,2,1.4312500000000001,49476.64540100098,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,84,6.93069314956665,7,9,7.070706844329834,2.0202019214630127,6,5.0505051612854,6,20.2020206451416,8,6.060606002807617,13.8613862991333,6.060606002807617,7.070706844329834,0,16665841664,4294963200,2279768064,270794752
999,1744937065379,10501.237609863281,2112.5,2,1.44375,23121.303009033203,2112.5,2,1.44375,1127.973373413086,2112.5,2,1.44375,17861.62322998047,4225,0,1.44375,64355.99154663086,2000,2,1.44375,24013.884323120117,2000,2,1.44375,8189.543304443359,3000,2,1.44375,36025.72283935547,2000,2,1.44375,49507.880111694336,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,0,4.040403842926025,4,4.95049524307251,5,2,5.94059419631958,3.9603960514068604,5,100,5,4,5,4,5,2,16665841664,4294963200,2478723072,270794752
999,1744937066379,10501.540069580078,2112.5,2,1.4625000000000001,23121.59130859375,2112.5,2,1.4625000000000001,1128.268325805664,2112.5,2,1.44375,17875.411590576172,4225,0,1.44375,64356.323013305664,2200,2,1.44375,24014.206100463867,2200,2,1.44375,8189.938995361328,2200,2,1.44375,36026.181701660156,2200,2,1.44375,49537.9577331543,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,0,2.97029709815979,3,2.0202019214630127,2,0,2,2,2,99.00990295410156,2.97029709815979,3,2.0202019214630127,3,3,0,16665841664,4294963200,2478723072,270794752
999,1744937067379,10502.302658081055,2112.5,2,1.425,23122.013214111328,2112.5,2,1.425,1128.6864624023438,2112.5,2,1.425,17889.085083007813,4225,0,1.425,64356.787170410156,2200,2,1.425,24014.63998413086,2200,2,1.425,8190.440780639648,2200,2,1.425,36026.758697509766,2200,2,1.425,49569.31706237793,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,0,3.0612244606018066,3,3.9603960514068604,4,0,4,3.0303030014038086,4,100,3.0303030014038086,3,3,3,7.920792102813721,0,16665841664,4294963200,2473574400,270794752
999,1744937068380,10502.519012451172,2112.5,2,1.4375,23122.245361328125,2112.5,2,1.4375,1128.9149017333984,2112.5,2,1.4375,17903.135848999023,4225,0,1.4375,64357.1026763916,2200,2,1.4375,24014.947525024414,2200,2,1.4375,8190.8214111328125,2200,2,1.44375,36027.27275085449,2200,2,1.44375,49599.373596191406,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,0,1.9801980257034302,2,2,2.97029709815979,0,1.0101009607315063,2,2,100,2,2,2,2,2,0,16665841664,4294963200,2473574400,270794752
999,1744937069380,10502.767364501953,2125,2,1.4312500000000001,23122.51661682129,2125,2,1.4312500000000001,1129.1798858642578,2125,2,1.4312500000000001,17916.895401000977,4250,0,1.4312500000000001,64357.41059875488,2200,2,1.48125,24015.253829956055,2200,2,1.48125,8191.179275512695,2200,2,1.48125,36027.7073059082,2200,2,1.48125,49629.19064331055,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,0,2.0202019214630127,2,2.0202019214630127,2,0,2.97029709815979,2.97029709815979,2,100,2,2.0202019214630127,2,2,3,0,16665841664,4294963200,2474594304,270794752
999,1744937070380,10503.005157470703,2112.5,2,1.4312500000000001,23122.776107788086,2112.5,2,1.4312500000000001,1129.4520874023438,2112.5,2,1.4312500000000001,17930.633102416992,4225,0,1.4312500000000001,64357.713638305664,2200,2,1.4312500000000001,24015.5606842041,2200,2,1.4312500000000001,8191.5352783203125,2200,2,1.425,36028.13296508789,2200,2,1.425,49658.85478210449,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,0,2,2.0202019214630127,2,2.0202019214630127,0,2,2,2,100,2,2,3,2.0202019214630127,2,0,16665841664,4294963200,2473955328,270794752
999,1744937071380,10503.399642944336,2125,2,1.4375,23123.185623168945,2125,2,1.4375,1129.8688354492188,2125,2,1.4375,17944.437469482422,4250,0,1.4375,64358.18542480469,2200,2,1.4375,24016.005981445313,2200,2,1.4375,8192.058166503906,2200,2,1.4375,36028.73406982422,2200,2,1.4375,49689.813903808594,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,0,4,4,4.95049524307251,4,0,4.040403842926025,4,4,100,4.95049524307251,4.95049524307251,4,4.95049524307251,4,0,16665841664,4294963200,2472980480,270794752
999,1744937072380,10503.697784423828,2112.5,2,1.44375,23123.52229309082,2112.5,2,1.44375,1130.1967010498047,2112.5,2,1.44375,17958.259811401367,4225,0,1.44375,64358.56280517578,2200,2,1.44375,24016.43943786621,2200,2,1.44375,8192.553024291992,2200,2,1.44375,36029.318298339844,2200,2,1.44375,49720.236083984375,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,0,2.97029709815979,2.97029709815979,2,2,2,2,2.0202019214630127,3,100,2.0202019214630127,2,2,0,2,0,16665841664,4294963200,2472128512,270794752
999,1744937073380,10503.938735961914,2112.5,2,1.4625000000000001,23123.8331451416,2112.5,2,1.4625000000000001,1130.4739837646484,2112.5,2,1.4625000000000001,17972.048294067383,4225,0,1.4625000000000001,64358.8602142334,2200,2,1.4625000000000001,24016.74821472168,2200,2,1.4625000000000001,8192.918395996094,2200,2,1.4625000000000001,36029.797760009766,2200,2,1.4625000000000001,49750.16180419922,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,0,2.0202019214630127,2,2.0202019214630127,2.0202019214630127,0,2.97029709815979,2,1.9801980257034302,100,2,2.0202019214630127,2,2,2.0202019214630127,0,16665841664,4294963200,2471186432,270794752
999,1744937074380,10504.182266235352,2125,2,1.4625000000000001,23124.127212524414,2125,2,1.4625000000000001,1130.7510681152344,2125,2,1.4625000000000001,17985.837783813477,4250,0,1.4625000000000001,64359.15037536621,2200,2,1.4625000000000001,24017.05680847168,2200,2,1.4625000000000001,8193.285934448242,2200,2,1.4625000000000001,36030.22673034668,2200,2,1.4312500000000001,49779.91758728027,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,2,2.97029709815979,2.0202019214630127,2,2.97029709815979,0,2,2,2.0202019214630127,100,2,2,2.0202019214630127,2,0,0.9900990128517151,16665841664,4294963200,2468626432,270794752
999,1744937075380,10504.431365966797,2112.5,2,1.4375,23124.421875,2112.5,2,1.4375,1131.0226745605469,2112.5,2,1.4375,17999.804275512695,4225,0,1.4375,64359.45001220703,2200,2,1.4375,24017.370056152344,2200,2,1.4375,8193.65119934082,2200,2,1.4375,36030.68258666992,2200,2,1.4375,49809.59403991699,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,2.0202019214630127,2.0202019214630127,2,2.97029709815979,2,3,2.0202019214630127,2.97029709815979,2,100,2,0.9900990128517151,2.97029709815979,3,0,0,16665841664,4294963200,2466435072,270794752
999,1744937076380,10504.880310058594,2100,2,1.4125,23124.91603088379,2100,2,1.4125,1131.5247192382813,2100,2,1.4125,18013.347747802734,4200,0,1.41875,64360.0090637207,2200,2,1.41875,24017.947662353516,2200,2,1.41875,8194.294815063477,2200,2,1.41875,36031.40742492676,2200,2,1.41875,49840.95909118652,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,4.95049524307251,4.95049524307251,4.95049524307251,4.040403842926025,4,0,4.95049524307251,4.040403842926025,4.95049524307251,100,5,4,4,4,0,0,16665841664,4294963200,2464985088,270794752
999,1744937077380,10504.946273803711,2112.5,2,1.4375,23125.223388671875,2112.5,2,1.4375,1131.7982177734375,2112.5,2,1.4375,18027.125,4225,0,1.4375,64360.3137512207,2200,2,1.4375,24018.29458618164,2200,2,1.4375,8194.706298828125,2200,2,1.4375,36031.935607910156,2200,2,1.4375,49870.903228759766,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,0,2.0202019214630127,2,2,3,2,2,0,2.0202019214630127,100,2,2.0202019214630127,2.0202019214630127,2.0202019214630127,0,2,16665841664,4294963200,2461233152,270794752
999,1744937078380,10505.018905639648,2112.5,2,1.44375,23125.538482666016,2112.5,2,1.44375,1132.0913848876953,2112.5,2,1.44375,18041.111297607422,4225,0,1.44375,64360.62791442871,2200,2,1.44375,24018.616271972656,2200,2,1.44375,8195.08430480957,2200,2,1.44375,36032.3869934082,2200,2,1.44375,49900.70051574707,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,0,2.97029709815979,2.0202019214630127,2.97029709815979,2,0,2.0202019214630127,2.97029709815979,2,99.00990295410156,2,2.97029709815979,2.97029709815979,2.97029709815979,0,2.97029709815979,16665841664,4294963200,2461233152,270794752
999,1744937079380,10505.096176147461,2112.5,2,1.4312500000000001,23125.856674194336,2112.5,2,1.4312500000000001,1132.3910675048828,2112.5,2,1.4312500000000001,18054.82487487793,4225,0,1.4312500000000001,64360.95095825195,2200,2,1.4312500000000001,24018.94859313965,2200,2,1.4312500000000001,8195.473617553711,2200,2,1.4375,36032.853927612305,2200,2,1.4375,49930.253814697266,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,0,2.0202019214630127,2.97029709815979,2.0202019214630127,2.0202019214630127,0,2.97029709815979,2.0202019214630127,3,100,3,2.0202019214630127,2,2,0,2.0202019214630127,16665841664,4294963200,2460147712,270794752
999,1744937080381,10505.551666259766,2100,2,1.4125,23126.36766052246,2100,2,1.4125,1132.8736419677734,2100,2,1.4125,18068.368392944336,4200,0,1.4125,64361.46775817871,2200,2,1.4125,24019.46156311035,2200,2,1.4125,8196.054901123047,2200,2,1.4125,36033.519119262695,2200,2,1.4125,49961.38813781738,2117,3135,2127,2128,2189,2137,2193,2194,2180,2126,2195,2191,2170,2189,2129,3192,4.040403842926025,4.040403842926025,4.040403842926025,0,4.95049524307251,0,4.040403842926025,4,4,100,4,4,5,5,0,4.95049524307251,16665841664,4294963200,2458808320,270794752
