Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744875011724,15507.910018920898,2200,2,0.85,19048.92903137207,2200,2,0.85,6690.612075805664,2200,2,0.85,12059.534866333008,2200,2,0.85,11438.666091918945,2200,2,0.85,21503.061065673828,2200,2,0.85,5464.273178100586,2200,2,0.85,27935.717407226563,2200,2,0.85,34623.7825012207,2124,3173,2185,2080,2168,2194,2180,2195,2128,2128,2195,2195,2194,2196,2116,3125,3.125,0,6.060606002807617,0,6.060606002807617,3.125,3.125,0,3.125,3.22580623626709,9.375,3.125,3.125,3.125,3.125,6.25,16665841664,4294963200,885714944,248250368
999,1744875011724,15507.910202026367,2200,2,0.84375,19048.932327270508,2200,2,0.84375,6690.612197875977,2200,2,0.84375,12059.534957885742,2200,2,0.84375,11438.666198730469,2200,2,0.84375,21503.061157226563,2200,2,0.84375,5464.276657104492,2200,2,0.85,27935.717559814453,2200,2,0.85,34623.80778503418,2124,3173,2185,2080,2168,2194,2180,2195,2128,2128,2195,2195,2194,2196,2116,3125,3.125,0,6.060606002807617,0,6.060606002807617,3.125,3.125,0,3.125,3.22580623626709,9.375,3.125,3.125,3.125,3.125,6.25,16665841664,4294963200,886231040,248250368
999,1744875012725,15510.958282470703,2200,2,1.40625,19060.986740112305,2200,2,1.40625,6695.130523681641,2200,2,1.40625,12064.327560424805,2200,2,1.4312500000000001,11445.65592956543,4175,0,1.4312500000000001,21507.987686157227,2087.5,2,1.4312500000000001,5467.885299682617,2087.5,2,1.4312500000000001,27940.789459228516,2087.5,2,1.4312500000000001,34682.069915771484,2124,3173,2185,2080,2168,2194,2180,2195,2128,2128,2195,2195,2194,2196,2116,3125,2.0202019214630127,11.88118839263916,17,3,28,6,8,13,35.6435661315918,45,61,48,37.62376403808594,47,27.000001907348633,95.04950714111328,16665841664,4294963200,1451778048,248250368
998,1744875013726,15512.332763671875,2200,2,1.425,19062.221939086914,2200,2,1.425,6697.324432373047,2200,2,1.425,12067.493835449219,2200,2,1.425,11458.3681640625,4125,0,1.425,21509.475326538086,2062.5,2,1.425,5469.419830322266,2062.5,2,1.425,27942.43878173828,2062.5,2,1.425,34721.935806274414,2124,3173,2185,2080,2168,2194,2180,2195,2128,2128,2195,2195,2194,2196,2116,3125,2,9,21.212121963500977,9.90099048614502,10,3.0303030014038086,9,10.891088485717773,9,22.77227783203125,99.00990295410156,9,8.08080768585205,4,10,8,16665841664,4294963200,1774030848,248250368
1000,1744875014725,15512.87435913086,2087.5,2,1.4312500000000001,19062.720596313477,2087.5,2,1.4312500000000001,6698.088470458984,4175,0,1.4312500000000001,12068.056533813477,2087.5,2,1.4312500000000001,11471.328598022461,4175,0,1.4312500000000001,21510.129974365234,2087.5,2,1.4312500000000001,5470.176071166992,2087.5,2,1.4312500000000001,27943.32893371582,2087.5,2,1.4312500000000001,34752.77705383301,2124,3173,2185,2080,2168,2194,2180,2195,2128,2128,2195,2195,2194,2196,2116,3125,0,4,7,4,5,1.9801980257034302,5,4,4.040403842926025,3.0303030014038086,100,5,5,1,6,4.040403842926025,16665841664,4294963200,2380693504,248250368
999,1744875015725,15513.279556274414,2200,2,1.4937500000000001,19063.145965576172,2200,2,1.4937500000000001,6698.651702880859,2200,2,1.4937500000000001,12068.507537841797,2200,2,1.475,11484.554214477539,4175,0,1.475,21510.615676879883,2087.5,2,1.475,5470.699020385742,2087.5,2,1.475,27943.956741333008,2087.5,2,1.475,34782.891860961914,2124,3173,2185,2080,2168,2194,2180,2195,2128,2128,2195,2195,2194,2196,2116,3125,0,4,4,4,5,0.9900990128517151,4,4,4,3.9603960514068604,100,4,0.9900990128517151,4,4,3.9603960514068604,16665841664,4294963200,2578874368,248250368
1000,1744875016725,15513.60302734375,2200,2,1.4312500000000001,19063.418563842773,2200,2,1.4312500000000001,6698.946533203125,2200,2,1.4312500000000001,12068.778945922852,2200,2,1.4312500000000001,11498.320114135742,4125,0,1.4312500000000001,21510.880615234375,2062.5,2,1.4312500000000001,5471.018981933594,2062.5,2,1.4312500000000001,27944.432006835938,2062.5,2,1.425,34812.17785644531,2124,3173,2185,2080,2168,2194,2180,2195,2128,2128,2195,2195,2194,2196,2116,3125,0.9900990128517151,2.0202019214630127,1.0101009607315063,2.0202019214630127,2,0,1.9801980257034302,2.0202019214630127,2.97029709815979,1.0101009607315063,100,2,0,1.0101009607315063,3,2,16665841664,4294963200,2579390464,248250368
999,1744875017726,15513.754760742188,2200,2,1.4375,19063.547134399414,2200,2,1.4375,6699.08854675293,2200,2,1.4375,12068.914459228516,2200,2,1.4375,11508.170043945313,2100,2,1.4375,21511.032302856445,2100,2,1.4375,5475.288040161133,4200,0,1.4375,27944.698318481445,2100,2,1.4375,34840.69607543945,2124,3173,2185,2080,2168,2194,2180,2195,2128,2128,2195,2195,2194,2196,2116,3125,0,1,1.9801980257034302,1.9801980257034302,4,0,1.0101009607315063,1.9801980257034302,1.0101009607315063,1.9801980257034302,69.30693054199219,1,30.30303192138672,1,1,1.0101009607315063,16665841664,4294963200,2579390464,248250368
999,1744875018726,15513.973175048828,2200,2,1.4625000000000001,19063.739959716797,2200,2,1.4625000000000001,6699.320892333984,2200,2,1.4625000000000001,12069.116744995117,2200,2,1.4625000000000001,11508.470474243164,2100,2,1.4625000000000001,21511.254455566406,2100,2,1.4625000000000001,5476.091735839844,2100,2,1.4625000000000001,27958.30989074707,4200,0,1.4625000000000001,34869.96147155762,2124,3173,2185,2080,2168,2194,2180,2195,2128,2128,2195,2195,2194,2196,2116,3125,0,2,2,2,2.97029709815979,0,2,2,2,2,0,2,3,99,2.0202019214630127,2,16665841664,4294963200,2579390464,248250368
999,1744875019726,15514.111389160156,2200,2,1.4312500000000001,19063.89535522461,2200,2,1.4312500000000001,6699.489593505859,2200,2,1.4312500000000001,12069.268508911133,2200,2,1.4312500000000001,11508.623260498047,2100,2,1.4312500000000001,21511.43589782715,2100,2,1.4312500000000001,5476.285461425781,2100,2,1.4625000000000001,27972.048049926758,4200,0,1.4625000000000001,34898.27020263672,2124,3173,2185,2080,2168,2194,2180,2195,2128,2128,2195,2195,2194,2196,2116,3125,0,1.9801980257034302,1,1,1,0,1.9801980257034302,1.0101009607315063,1.0101009607315063,1.0101009607315063,0,1,1.9801980257034302,100,1.9801980257034302,1,16665841664,4294963200,2579390464,248250368
