Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745048381680,37384.41181945801,2200,2,0.84375,14551.612365722656,2200,2,0.84375,58049.522064208984,2200,2,0.84375,18564.921966552734,2200,2,0.84375,24548.93702697754,2200,2,0.84375,18694.684127807617,2200,2,0.85,3437.4463958740234,2200,2,0.85,42446.94004821777,2200,2,0.85,46457.47911071777,3187,2589,2129,2127,2194,2196,2195,2192,2199,2123,2195,1883,2184,2195,3121,2152,0,10.714285850524902,0,0,0,0,0,3.846153974533081,3.846153974533081,0,3.846153974533081,0,0,3.846153974533081,3.7037036418914795,0,16665841664,4294963200,866410496,293863424
999,1745048381681,37384.41195678711,2200,2,0.85,14551.615707397461,2200,2,0.85,58049.52215576172,2200,2,0.85,18564.922073364258,2200,2,0.85,24548.938552856445,3200,1,0.85,18694.68423461914,2133.333333333333,2,0.85,3437.446563720703,2133.333333333333,2,0.85,42446.94059753418,2133.333333333333,2,0.96875,46457.5051574707,3187,2589,2129,2127,2194,2196,2195,2192,2199,2123,2195,1883,2184,2195,3121,2152,0,10.714285850524902,0,0,0,0,0,3.846153974533081,3.846153974533081,0,3.846153974533081,0,0,3.846153974533081,3.7037036418914795,0,16665841664,4294963200,866410496,293863424
999,1745048382681,37387.821380615234,2100,2,1.425,14558.163650512695,2800,2,1.425,58059.11959838867,4200,0,1.425,18570.011627197266,4200,0,1.425,24553.037200927734,2100,2,1.425,18698.613861083984,2100,2,1.425,3441.5528564453125,4200,0,1.425,42452.895416259766,4200,0,1.425,46514.01779174805,3187,2589,2129,2127,2194,2196,2195,2192,2199,2123,2195,1883,2184,2195,3121,2152,14.141413688659668,32,71.2871322631836,4,9.90099048614502,8.91089153289795,7,6.93069314956665,24.75247573852539,42.574256896972656,37.25490188598633,41,32,55,25.74257469177246,34.653465270996094,16665841664,4294963200,1382920192,293863424
999,1745048383681,37389.29904174805,2137.5,2,1.4375,14559.566314697266,2850,2,1.4375,58072.07791137695,4275,0,1.4375,18572.382369995117,2137.5,2,1.4375,24555.417572021484,2200,2,1.4375,18700.591842651367,2200,2,1.4375,3443.8495330810547,2200,2,1.4375,42454.8087310791,2200,2,1.4375,46555.81385803223,3187,2589,2129,2127,2194,2196,2195,2192,2199,2123,2195,1883,2184,2195,3121,2152,11.111111640930176,10.1010103225708,99,4,10.1010103225708,11,15.686275482177734,12.121212005615234,10,15.15151596069336,16.1616153717041,16.831682205200195,14,7.920792102813721,10.1010103225708,10,16665841664,4294963200,1816698880,293863424
999,1745048384681,37389.41751098633,2137.5,2,1.425,14559.624206542969,2850,2,1.45625,58085.51252746582,4275,0,1.45625,18572.4189453125,2137.5,2,1.45625,24556.23110961914,2200,2,1.45625,18700.720428466797,2200,2,1.45625,3444.2527618408203,2200,2,1.45625,42455.047943115234,2200,2,1.45625,46584.49377441406,3187,2589,2129,2127,2194,2196,2195,2192,2199,2123,2195,1883,2184,2195,3121,2152,0,0,10,0,0,0,0,0,90,0,6,0,2,0,0,0,16665841664,4294963200,2320408576,293863424
999,1745048385681,37389.82992553711,2162.5,2,1.5,14560.010757446289,2883.333333333333,2,1.5,58099.22608947754,4325,0,1.5,18572.491775512695,2162.5,2,1.5,24556.597930908203,2200,2,1.5,18701.185256958008,2200,2,1.5,3444.7386322021484,2200,2,1.5,42455.6022644043,2200,2,1.5,46614.69723510742,3187,2589,2129,2127,2194,2196,2195,2192,2199,2123,2195,1883,2184,2195,3121,2152,3,4,2.97029709815979,1,2.0202019214630127,3,3.0303030014038086,3.9603960514068604,100,0,0,3,3,3,3,3,16665841664,4294963200,2608648192,293863424
999,1745048386681,37390.32635498047,2162.5,2,1.50625,14560.52473449707,2162.5,2,1.50625,58112.997146606445,4325,0,1.50625,18572.75601196289,2162.5,2,1.50625,24557.09390258789,2200,2,1.50625,18701.784103393555,2200,2,1.50625,3445.3627166748047,2200,2,1.46875,42456.308990478516,2200,2,1.46875,46646.28918457031,3187,2589,2129,2127,2194,2196,2195,2192,2199,2123,2195,1883,2184,2195,3121,2152,3,4,4,0,4.95049524307251,4,4,4,100,1.9801980257034302,0,4.95049524307251,5,4.040403842926025,4,4,16665841664,4294963200,2639347712,293863424
999,1745048387681,37390.57374572754,2150,2,1.45,14560.792739868164,2866.666666666667,2,1.5,58126.96537780762,4300,0,1.5,18573.001754760742,2150,2,1.5,24557.391891479492,2200,2,1.5,18702.092864990234,2200,2,1.5,3446.2783966064453,2200,2,1.5,42456.74011230469,2200,2,1.5,46677.01104736328,3187,2589,2129,2127,2194,2196,2195,2192,2199,2123,2195,1883,2184,2195,3121,2152,0,2.97029709815979,82.82828521728516,0,2,2,2,1.0101009607315063,19,2,0,1.0101009607315063,6,2,2,1.0101009607315063,16665841664,4294963200,2629820416,293863424
999,1745048388681,37390.646881103516,2137.5,2,1.41875,14560.870315551758,2850,2,1.41875,58140.767486572266,4275,0,1.41875,18573.06312561035,2137.5,2,1.41875,24557.455795288086,2200,2,1.44375,18702.146881103516,2200,2,1.44375,3446.3314208984375,2200,2,1.44375,42456.79774475098,2200,2,1.44375,46704.97119140625,3187,2589,2129,2127,2194,2196,2195,2192,2199,2123,2195,1883,2184,2195,3121,2152,0,0,100,0,0,0.9900990128517151,0,0,0,0,0,1,0,0,0,1,16665841664,4294963200,2628759552,293863424
999,1745048389681,37390.80158996582,2175,2,1.45,14561.035369873047,2900,2,1.45,58154.44874572754,4350,0,1.45,18573.212677001953,2175,2,1.45,24557.615356445313,2200,2,1.45,18702.314331054688,2200,2,1.45,3446.5169525146484,2200,2,1.45,42457.03239440918,2200,2,1.45,46733.70985412598,3187,2589,2129,2127,2194,2196,2195,2192,2199,2123,2195,1883,2184,2195,3121,2152,0,1.9801980257034302,100,0.9900990128517151,1,1.0101009607315063,1.9801980257034302,1,2,1,0,1,1,1.9801980257034302,1,1.9801980257034302,16665841664,4294963200,2627833856,293863424
999,1745048390681,37391.08760070801,2137.5,2,1.40625,14561.31672668457,2850,2,1.40625,58168.39761352539,4275,0,1.40625,18573.495361328125,2137.5,2,1.40625,24557.91325378418,2200,2,1.40625,18702.644332885742,2200,2,1.40625,3446.8770904541016,2200,2,1.40625,42457.45993041992,2200,2,1.40625,46763.6809387207,3187,2589,2129,2127,2194,2196,2195,2192,2199,2123,2195,1883,2184,2195,3121,2152,0,2,100,0,2.97029709815979,2,2.0202019214630127,2.97029709815979,2,2,0,2,2,2,2,2,16665841664,4294963200,2627833856,293863424
999,1745048391682,37391.22770690918,2150,2,1.425,14561.465087890625,2866.666666666667,2,1.425,58182.129623413086,4300,0,1.425,18573.62449645996,2150,2,1.425,24558.047103881836,2200,2,1.425,18702.77960205078,2200,2,1.425,3447.0238647460938,2200,2,1.425,42457.63954162598,2200,2,1.425,46792.29756164551,3187,2589,2129,2127,2194,2196,2195,2192,2199,2123,2195,1883,2184,2195,3121,2152,0,1.0101009607315063,100,0,1.0101009607315063,1,1,1,1,1,0,1,1.9801980257034302,1,1.0101009607315063,1,16665841664,4294963200,2627022848,293863424
999,1745048392682,37391.31922912598,2137.5,2,1.45,14561.561325073242,2850,2,1.45,58195.8133392334,4275,0,1.45,18573.69499206543,2137.5,2,1.45,24558.127059936523,2200,2,1.45,18702.85414123535,2200,2,1.45,3447.0910034179688,2200,2,1.45,42457.71690368652,2200,2,1.44375,46820.29557800293,3187,2589,2129,2127,2194,2196,2195,2192,2199,2123,2195,1883,2184,2195,3121,2152,0.9900990128517151,0,100,0,0,0,0,0,0,1,0,0,0,0,0.9900990128517151,0,16665841664,4294963200,2627018752,293863424
