Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744952667034,41544.45323181152,2200,2,0.85,40216.9959564209,2200,2,0.85,16055.459182739258,2200,2,0.85,36030.354721069336,2200,2,0.85,29446.280334472656,2200,2,0.85,42921.70608520508,2200,2,0.85,28977.253356933594,2200,2,0.84375,56080.14303588867,2200,2,0.84375,43504.482009887695,2128,3198,2129,2115,2195,2195,2086,2175,2125,2119,2194,2181,2192,2194,2084,3192,3.7037036418914795,7.142857551574707,0,3.5714287757873535,0,3.7037036418914795,7.692307949066162,3.7037036418914795,3.7037036418914795,0,0,0,3.5714287757873535,3.5714287757873535,3.7037036418914795,3.7037036418914795,16665841664,4294963200,864698368,277348352
999,1744952667035,41544.45347595215,2200,2,0.85,40216.99621582031,2200,2,0.85,16055.462661743164,2200,2,0.85,36030.35485839844,2200,2,0.85,29446.28044128418,2200,2,0.85,42921.7061920166,2200,2,0.85,28977.25665283203,2200,2,0.85,56080.143478393555,2200,2,0.85,43504.50762939453,2128,3198,2129,2115,2195,2195,2086,2175,2125,2119,2194,2181,2192,2194,2084,3192,3.7037036418914795,7.142857551574707,0,3.5714287757873535,0,3.7037036418914795,7.692307949066162,3.7037036418914795,3.7037036418914795,0,0,0,3.5714287757873535,3.5714287757873535,3.7037036418914795,3.7037036418914795,16665841664,4294963200,864698368,277348352
999,1744952668035,41554.04025268555,4275,0,1.45,40222.749282836914,2137.5,2,1.45,16057.091064453125,2137.5,2,1.45,36035.51663208008,2137.5,2,1.45,29452.14878845215,2200,2,1.45,42925.34912109375,2200,2,1.44375,28982.226333618164,2200,2,1.44375,56084.21662902832,2200,2,1.44375,43558.96041870117,2128,3198,2129,2115,2195,2195,2086,2175,2125,2119,2194,2181,2192,2194,2084,3192,16,31,9,7,34,25.74257469177246,28,37.62376403808594,9,44,28.712871551513672,16,20.79207992553711,2.0202019214630127,75,33.66336441040039,16665841664,4294963200,1422209024,277348352
999,1744952669035,41567.13150024414,4250,0,1.4312500000000001,40224.26762390137,2125,2,1.4312500000000001,16059.430526733398,2125,2,1.4312500000000001,36037.6770324707,2125,2,1.4312500000000001,29455.166931152344,2200,2,1.4312500000000001,42927.22985839844,2200,2,1.4312500000000001,28984.66340637207,2200,2,1.4312500000000001,56085.76573181152,2200,2,1.4312500000000001,43602.12901306152,2128,3198,2129,2115,2195,2195,2086,2175,2125,2119,2194,2181,2192,2194,2084,3192,10.1010103225708,9.090909004211426,12,10,21,1,20.40816307067871,1.0101009607315063,16.1616153717041,13,10,13,7.070706844329834,10.891088485717773,99.00990295410156,13,16665841664,4294963200,1816764416,277348352
999,1744952670035,41579.96324157715,4350,0,1.41875,40224.739486694336,2150,2,1.41875,16060.029190063477,2150,2,1.41875,36038.1794128418,2150,2,1.41875,29455.668869018555,2200,2,1.41875,42927.739166259766,2200,2,1.41875,28985.40476989746,2200,2,1.41875,56086.49220275879,2200,2,1.44375,43632.496353149414,2128,3198,2129,2115,2195,2195,2086,2175,2125,2119,2194,2181,2192,2194,2084,3192,4.95049524307251,4,5,4,3,1.0101009607315063,4.95049524307251,1,4,1,3,3,4.95049524307251,3.0303030014038086,100,3.0303030014038086,16665841664,4294963200,2525880320,277348352
999,1744952671035,41593.80812072754,4325,0,1.4312500000000001,40225.14491271973,2125,2,1.4312500000000001,16060.515899658203,2125,2,1.4312500000000001,36038.564453125,2125,2,1.4312500000000001,29456.08967590332,2200,2,1.4312500000000001,42928.175201416016,2200,2,1.4312500000000001,28985.94319152832,2200,2,1.4312500000000001,56087.03974914551,2200,2,1.4375,43663.4591217041,2128,3198,2129,2115,2195,2195,2086,2175,2125,2119,2194,2181,2192,2194,2084,3192,3.0303030014038086,3,5,3,2,1.9801980257034302,4,3.9603960514068604,3,1.9801980257034302,4,2.97029709815979,3.0303030014038086,1.9801980257034302,100,4,16665841664,4294963200,2575417344,277348352
999,1744952672035,41607.41441345215,4325,0,1.475,40225.535415649414,2162.5,2,1.475,16060.95556640625,2162.5,2,1.475,36038.95149230957,2162.5,2,1.475,29456.53273010254,2200,2,1.475,42928.63008117676,2200,2,1.475,28986.495407104492,2200,2,1.475,56087.6593170166,2200,2,1.475,43694.50273132324,2128,3198,2129,2115,2195,2195,2086,2175,2125,2119,2194,2181,2192,2194,2084,3192,4,4,4,4,3.0303030014038086,0,3.0303030014038086,3.0303030014038086,4,0,3.0303030014038086,3.0303030014038086,3.9603960514068604,0,99.00990295410156,3.0303030014038086,16665841664,4294963200,2575417344,277348352
999,1744952673035,41615.20341491699,2200,2,1.44375,40225.70600891113,2200,2,1.44375,16061.562301635742,2200,2,1.44375,36039.12031555176,2200,2,1.48125,29462.985122680664,4150,0,1.48125,42928.85713195801,2075,2,1.48125,28986.76011657715,2075,2,1.48125,56087.9619140625,2075,2,1.48125,43724.346435546875,2128,3198,2129,2115,2195,2195,2086,2175,2125,2119,2194,2181,2192,2194,2084,3192,1,1,5,1,1.9801980257034302,0,1.9801980257034302,1.9801980257034302,1,0,46.53465270996094,1,1.0101009607315063,0,55,1.9801980257034302,16665841664,4294963200,2557341696,277348352
999,1744952674035,41615.401275634766,2200,2,1.4312500000000001,40225.88328552246,2200,2,1.45625,16061.748275756836,2200,2,1.45625,36039.30714416504,2200,2,1.45625,29476.304229736328,4150,0,1.45625,42929.083587646484,2075,2,1.45625,28987.051559448242,2075,2,1.45625,56088.26713562012,2075,2,1.45625,43752.81414794922,2128,3198,2129,2115,2195,2195,2086,2175,2125,2119,2194,2181,2192,2194,2084,3192,2,2,1,2,1.0101009607315063,0,1.0101009607315063,1.0101009607315063,2,0,100,2,2,0,1.0101009607315063,1.0101009607315063,16665841664,4294963200,2557341696,277348352
999,1744952675035,41615.632080078125,2200,2,1.4375,40226.09719848633,2200,2,1.4375,16061.965744018555,2200,2,1.425,36039.52752685547,2200,2,1.425,29489.893829345703,4125,0,1.425,42929.34928894043,2062.5,2,1.425,28987.36538696289,2062.5,2,1.425,56088.607650756836,2062.5,2,1.425,43781.608154296875,2128,3198,2129,2115,2195,2195,2086,2175,2125,2119,2194,2181,2192,2194,2084,3192,1.0101009607315063,1,2,2,2,0,1.9801980257034302,1.9801980257034302,1,0,100,1.9801980257034302,2,0,1.9801980257034302,1.9801980257034302,16665841664,4294963200,2557341696,277348352
