Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744917854541,36785.02751159668,2200,2,0.85,64807.26643371582,2200,2,0.85,45999.943115234375,2200,2,0.85,60872.896057128906,2200,2,0.85,24737.506622314453,2200,2,0.85,621.1308898925781,2200,2,0.85,48810.76768493652,2200,2,0.85,12111.980407714844,2200,2,0.85,38313.58773803711,1975,2443,2089,2027,2186,2169,2140,2167,2128,2105,2195,2193,2138,2071,1964,3181,0,3.3333334922790527,3.22580623626709,3.3333334922790527,0,0,3.22580623626709,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,7.142857551574707,6.45161247253418,16665841664,4294963200,892010496,264765440
999,1744917854542,36785.03080749512,2200,2,0.84375,64807.26658630371,2200,2,0.84375,45999.943267822266,2200,2,0.84375,60872.8962097168,2200,2,0.84375,24737.506774902344,2200,2,0.84375,621.1310577392578,2200,2,0.84375,48810.7678527832,2200,2,0.84375,12111.983901977539,2200,2,0.84375,38313.612365722656,1975,2443,2089,2027,2186,2169,2140,2167,2128,2105,2195,2193,2138,2071,1964,3181,0,3.3333334922790527,3.22580623626709,3.3333334922790527,0,0,3.22580623626709,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,7.142857551574707,6.45161247253418,16665841664,4294963200,892526592,264765440
999,1744917855542,36796.112365722656,2200,2,1.475,64811.773178100586,2200,2,1.475,46003.45349121094,2200,2,1.475,60877.378845214844,2200,2,1.475,24743.506942749023,4175,0,1.475,624.6275939941406,4175,0,1.475,48815.7540435791,2087.5,2,1.46875,12118.207077026367,2087.5,2,1.46875,38371.20362854004,1975,2443,2089,2027,2186,2169,2140,2167,2128,2105,2195,2193,2138,2071,1964,3181,9,41.58415985107422,22.77227783203125,25.74257469177246,45.5445556640625,7,44,8.08080768585205,14.851485252380371,27.000001907348633,19.80198097229004,33.333335876464844,14,60.60606384277344,91.089111328125,9,16665841664,4294963200,1416384512,264765440
999,1744917856542,36797.33451843262,2200,2,1.4312500000000001,64814.9114074707,2200,2,1.4312500000000001,46005.49462890625,2200,2,1.4312500000000001,60878.88375854492,2200,2,1.4312500000000001,24749.086135864258,2100,2,1.4312500000000001,626.2841186523438,2100,2,1.4312500000000001,48817.30519104004,2100,2,1.4312500000000001,12127.021545410156,4200,0,1.4312500000000001,38411.62405395508,1975,2443,2089,2027,2186,2169,2140,2167,2128,2105,2195,2193,2138,2071,1964,3181,10,20.2020206451416,13.13131332397461,5,9.90099048614502,11,8.08080768585205,10.891088485717773,9,10,34.693878173828125,9.90099048614502,7.070706844329834,66,9,10,16665841664,4294963200,1777909760,264765440
999,1744917857542,36797.64405822754,2200,2,1.4312500000000001,64815.36277770996,2200,2,1.4312500000000001,46005.822830200195,2200,2,1.4312500000000001,60879.180419921875,2200,2,1.4312500000000001,24749.47186279297,2112.5,2,1.4312500000000001,635.2135314941406,4225,0,1.4312500000000001,48817.80227661133,2112.5,2,1.4312500000000001,12131.888702392578,2112.5,2,1.4312500000000001,38441.00160217285,1975,2443,2089,2027,2186,2169,2140,2167,2128,2105,2195,2193,2138,2071,1964,3181,1.0101009607315063,3,0,0,2,70,2.97029709815979,2,2.97029709815979,2,1.9607844352722168,2,2.97029709815979,32.67326736450195,3,4,16665841664,4294963200,2391031808,264765440
999,1744917858542,36797.92364501953,2200,2,1.425,64815.68276977539,2200,2,1.425,46006.116928100586,2200,2,1.425,60879.52307128906,2200,2,1.425,24749.778717041016,2100,2,1.425,649.1452178955078,4200,0,1.425,48818.18623352051,2100,2,1.425,12132.36636352539,2100,2,1.4375,38470.84523010254,1975,2443,2089,2027,2186,2169,2140,2167,2128,2105,2195,2193,2138,2071,1964,3181,3,2,0,2.0202019214630127,2.0202019214630127,100,2,2,2.0202019214630127,1,0,2,3,1.0204081535339355,2,2.97029709815979,16665841664,4294963200,2470768640,264765440
999,1744917859542,36798.23928833008,2200,2,1.4312500000000001,64816.00955200195,2200,2,1.4312500000000001,46006.430572509766,2200,2,1.4312500000000001,60879.834564208984,2200,2,1.4312500000000001,24750.16111755371,2087.5,2,1.4312500000000001,654.5841064453125,2087.5,2,1.4312500000000001,48818.61085510254,2087.5,2,1.4312500000000001,12141.185485839844,4175,0,1.41875,38500.84259033203,1975,2443,2089,2027,2186,2169,2140,2167,2128,2105,2195,2193,2138,2071,1964,3181,2.97029709815979,2.0202019214630127,0,3.9603960514068604,3.9603960514068604,37.62376403808594,2.0202019214630127,3,3,0,0,3,2,65.3465347290039,2.0202019214630127,2.0202019214630127,16665841664,4294963200,2473345024,264765440
999,1744917860542,36805.96543884277,4325,0,1.4125,64816.323303222656,2162.5,2,1.4125,46006.70886230469,2125,2,1.4125,60880.08157348633,2125,2,1.4125,24750.902450561523,2000,2,1.4125,658.7115325927734,3000,2,1.4125,48818.952728271484,2000,2,1.4125,12144.425048828125,2000,2,1.4125,38531.71691894531,1975,2443,2089,2027,2186,2169,2140,2167,2128,2105,2195,2193,2138,2071,1964,3181,55.55555725097656,2,0,2,5.0505051612854,28.282827377319336,2,2,2,0,2.0202019214630127,2,2.0202019214630127,18,2.97029709815979,2,16665841664,4294963200,2463281152,264765440
999,1744917861542,36819.556411743164,4275,0,1.45625,64816.79806518555,2137.5,2,1.45625,46007.20137023926,2137.5,2,1.45625,60880.51496887207,2137.5,2,1.45625,24751.413650512695,2200,2,1.45625,659.2682495117188,2200,2,1.45625,48819.55941772461,2200,2,1.45625,12145.068756103516,2200,2,1.45625,38562.890075683594,1975,2443,2089,2027,2186,2169,2140,2167,2128,2105,2195,2193,2138,2071,1964,3181,100,4,4,4,4,3.9603960514068604,4,4,4,0,4,4,3.9603960514068604,0,0,4,16665841664,4294963200,2463281152,264765440
998,1744917862543,36833.33834838867,4325,0,1.475,64817.06509399414,2162.5,2,1.475,46007.49174499512,2162.5,2,1.475,60880.76322937012,2162.5,2,1.475,24751.712829589844,3000,2,1.475,659.5682373046875,2000,2,1.475,48819.89877319336,2000,2,1.475,12145.513732910156,2000,2,1.475,38592.790618896484,1975,2443,2089,2027,2186,2169,2140,2167,2128,2105,2195,2193,2138,2071,1964,3181,100,2,2,2,2,2,2,2,2,0,2,2.97029709815979,2,0,0,2,16665841664,4294963200,2463281152,264765440
