Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745042455035,20394.5791015625,2200,2,0.85,6654.418716430664,2200,2,0.85,53192.84436035156,2200,2,0.85,10478.887435913086,2200,2,0.85,13958.377090454102,2200,2,0.85,11997.259857177734,2200,2,0.84375,62637.300201416016,2200,2,0.84375,33046.22764587402,2200,2,0.84375,49807.18998718262,2179,2165,2195,2190,2190,2120,2180,2177,2193,2045,2194,2198,2110,2195,2174,2194,3.125,0,3.125,3.22580623626709,3.22580623626709,9.67741870880127,3.125,0,3.3333334922790527,0,3.22580623626709,3.22580623626709,6.25,3.22580623626709,0,3.22580623626709,16665841664,4294963200,864423936,292290560
999,1745042455035,20394.579299926758,2200,2,0.85,6654.418853759766,2200,2,0.85,53192.8465423584,2200,2,0.85,10478.88754272461,2200,2,0.85,13958.377197265625,2200,2,0.85,11997.263153076172,2200,2,0.85,62637.300354003906,2200,2,0.85,33046.227783203125,2200,2,0.85,49807.21073913574,2179,2165,2195,2190,2190,2120,2180,2177,2193,2045,2194,2198,2110,2195,2174,2194,3.125,0,3.125,3.22580623626709,3.22580623626709,9.67741870880127,3.125,0,3.3333334922790527,0,3.22580623626709,3.22580623626709,6.25,3.22580623626709,0,3.22580623626709,16665841664,4294963200,864423936,292290560
999,1745042456035,20400.501892089844,3975,0,1.30625,6661.349197387695,3975,0,1.30625,53199.56217956543,3975,0,1.30625,10484.760345458984,3975,0,1.30625,13965.43440246582,3975,0,1.30625,12007.412017822266,3975,0,1.30625,62644.41809082031,3975,0,1.30625,33052.79299926758,3975,0,1.30625,49874.30464172363,2179,2165,2195,2190,2190,2120,2180,2177,2193,2045,2194,2198,2110,2195,2174,2194,6.122448921203613,37.37373733520508,56,77,2,5,6.060606002807617,67.32672882080078,29,11,84,96,82.82828521728516,72.27722930908203,69.69696807861328,46,16665841664,4294963200,1396813824,292290560
999,1745042457035,20403.478607177734,2200,2,1.4625000000000001,6662.78776550293,2200,2,1.4625000000000001,53202.41758728027,2200,2,1.4625000000000001,10489.499816894531,2200,2,1.4625000000000001,13968.083740234375,2816.666666666667,2,1.4625000000000001,12019.354614257813,4225,0,1.46875,62646.62237548828,2112.5,2,1.46875,33057.14196777344,2112.5,2,1.46875,49922.29936218262,2179,2165,2195,2190,2190,2120,2180,2177,2193,2045,2194,2198,2110,2195,2174,2194,20.40816307067871,10.1010103225708,5,37.37373733520508,1,4,4.040403842926025,1,20.79207992553711,3.0303030014038086,26,99,14,38.613861083984375,8,1,16665841664,4294963200,1402417152,292290560
1000,1745042458036,20403.939483642578,4250,0,1.4312500000000001,6662.9549560546875,2125,2,1.4312500000000001,53202.78797912598,2125,2,1.4312500000000001,10489.567596435547,2125,2,1.4312500000000001,13968.147766113281,2125,2,1.4312500000000001,12031.974746704102,4250,0,1.4312500000000001,62648.5584564209,2125,2,1.4312500000000001,33057.47367858887,2125,2,1.4312500000000001,49953.265884399414,2179,2165,2195,2190,2190,2120,2180,2177,2193,2045,2194,2198,2110,2195,2174,2194,2,1.9607844352722168,2.0202019214630127,0,0,2,4,0,0,0,0,98,11,0,2,0,16665841664,4294963200,1460477952,292290560
999,1745042459036,20416.952835083008,4275,0,1.4375,6663.103775024414,2137.5,2,1.4375,53202.91603088379,2137.5,2,1.4375,10489.671569824219,2137.5,2,1.4375,13968.197067260742,2133.333333333333,2,1.4375,12032.387939453125,2133.333333333333,2,1.4375,62650.808502197266,3200,1,1.4375,33057.58346557617,2133.333333333333,2,1.4375,49984.65200805664,2179,2165,2195,2190,2190,2120,2180,2177,2193,2045,2194,2198,2110,2195,2174,2194,99.00990295410156,0,0,0.9900990128517151,0,0,0,0,1,0,0,0,12,0,0,1,16665841664,4294963200,1493250048,292290560
1000,1745042460036,20429.803176879883,4350,0,1.4375,6663.256546020508,2150,2,1.4375,53203.03402709961,2150,2,1.4375,10489.788650512695,2150,2,1.4375,13968.238677978516,2200,2,1.4375,12032.499114990234,2200,2,1.4375,62651.7901763916,2200,2,1.4375,33057.65017700195,2200,2,1.4375,50014.1103515625,2179,2165,2195,2190,2190,2120,2180,2177,2193,2045,2194,2198,2110,2195,2174,2194,100,0,1,0,0,0,1.0101009607315063,0,0,0,0,0,5,0,0,0,16665841664,4294963200,1493250048,292290560
1000,1745042461037,20442.72004699707,4275,0,1.44375,6663.398040771484,2137.5,2,1.44375,53203.143798828125,2137.5,2,1.44375,10490.083145141602,2137.5,2,1.44375,13968.275436401367,2137.5,2,1.44375,12032.615997314453,2137.5,2,1.44375,62654.00047302246,4275,0,1.44375,33057.68182373047,2137.5,2,1.46875,50045.019287109375,2179,2165,2195,2190,2190,2120,2180,2177,2193,2045,2194,2198,2110,2195,2174,2194,99.00990295410156,0,0,1.9801980257034302,0,1,0,0,0,2,0,0,17,0,0,1,16665841664,4294963200,1426223104,292290560
1000,1745042462037,20455.538040161133,4275,0,1.4312500000000001,6663.538589477539,2137.5,2,1.4312500000000001,53203.273345947266,2137.5,2,1.4312500000000001,10490.220901489258,2137.5,2,1.4312500000000001,13968.360458374023,2200,2,1.4312500000000001,12032.771240234375,2200,2,1.4312500000000001,62655.27569580078,2200,2,1.4312500000000001,33057.72268676758,2200,2,1.4312500000000001,50074.81108093262,2179,2165,2195,2190,2190,2120,2180,2177,2193,2045,2194,2198,2110,2195,2174,2194,100,0,0.9900990128517151,0,0,1,1,0,1,1,0.9900990128517151,0,7.920792102813721,0,0,0,16665841664,4294963200,1434476544,292290560
999,1745042463038,20468.35205078125,4275,0,1.4312500000000001,6663.706390380859,2137.5,2,1.4312500000000001,53203.40480041504,2137.5,2,1.4312500000000001,10490.357131958008,2137.5,2,1.4312500000000001,13968.487503051758,2200,2,1.4312500000000001,12032.958938598633,2200,2,1.4375,62656.013610839844,2200,2,1.4375,33057.7559967041,2200,2,1.4375,50104.24174499512,2179,2165,2195,2190,2190,2120,2180,2177,2193,2045,2194,2198,2110,2195,2174,2194,98.01980590820313,0,0,1,0,1.9801980257034302,0.9900990128517151,0,0,0,0,0,4,0,0,1,16665841664,4294963200,1434992640,292290560
