Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744813552113,25296.729705810547,2200,2,0.84375,13762.452087402344,2200,2,0.84375,10520.556076049805,2200,2,0.84375,11934.523452758789,2200,2,0.84375,26152.53712463379,2200,2,0.84375,10960.47543334961,2200,2,0.84375,10403.12841796875,2200,2,0.84375,14089.746032714844,2200,2,0.84375,40326.32369995117,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,0,3.22580623626709,3.22580623626709,6.6666669845581055,3.22580623626709,3.22580623626709,6.25,3.22580623626709,0,3.22580623626709,6.25,3.22580623626709,6.060606002807617,0,3.22580623626709,3.125,16665841664,4294963200,938184704,187170816
999,1744813552114,25296.72996520996,2200,2,0.85,13762.452331542969,2200,2,0.85,10520.556213378906,2200,2,0.85,11934.526779174805,2200,2,0.85,26152.537231445313,2200,2,0.85,10960.475540161133,2200,2,0.85,10403.129043579102,2200,2,0.85,14089.746490478516,2200,2,0.85,40326.34442138672,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,0,3.22580623626709,3.22580623626709,6.6666669845581055,3.22580623626709,3.22580623626709,6.25,3.22580623626709,0,3.22580623626709,6.25,3.22580623626709,6.060606002807617,0,3.22580623626709,3.125,16665841664,4294963200,938184704,187170816
999,1744813553114,25304.948150634766,3975,0,1.29375,13769.793823242188,3975,0,1.29375,10527.549530029297,3975,0,1.29375,11941.032211303711,3975,0,1.29375,26160.76708984375,3975,0,1.29375,10966.813018798828,3975,0,1.29375,10409.787628173828,3975,0,1.29375,14096.108688354492,3975,0,1.29375,40394.28407287598,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,29.29292869567871,76.7676773071289,0,1,16.1616153717041,75.75757598876953,50,72,81.37254333496094,77,75,8.91089153289795,29.29292869567871,17,68,68,16665841664,4294963200,1494728704,187170816
999,1744813554114,25310.310836791992,2200,2,1.4312500000000001,13771.641510009766,2200,2,1.41875,10531.861633300781,2200,2,1.41875,11944.857620239258,2200,2,1.41875,26172.331802368164,4150,0,1.41875,10969.530624389648,2075,2,1.41875,10412.206405639648,2075,2,1.41875,14098.577697753906,2075,2,1.41875,40443.52186584473,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,5,13.8613862991333,0,1.0101009607315063,5.94059419631958,17,1.0101009607315063,17,42.42424392700195,38.613861083984375,100,10.1010103225708,21,5.0505051612854,46.07843017578125,16.831682205200195,16665841664,4294963200,1635106816,187170816
1000,1744813555114,25313.144577026367,4275,0,1.4312500000000001,13771.752380371094,2850,2,1.4312500000000001,10531.98844909668,2137.5,2,1.4312500000000001,11945.010513305664,2137.5,2,1.4312500000000001,26182.89727783203,2200,2,1.4312500000000001,10970.133575439453,2200,2,1.4312500000000001,10412.689514160156,2200,2,1.4312500000000001,14100.18603515625,2200,2,1.4312500000000001,40474.73896789551,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,21.212121963500977,1,1,1.9801980257034302,4.040403842926025,0,0,6,0,0,80,2.97029709815979,1,3,0,0,16665841664,4294963200,1722585088,187170816
999,1744813556114,25326.167739868164,4250,0,1.4375,13771.832061767578,4250,0,1.4375,10532.069793701172,2125,2,1.4375,11945.124404907227,2125,2,1.4375,26183.17266845703,2200,2,1.41875,10970.259628295898,2200,2,1.41875,10412.792266845703,2200,2,1.41875,14102.711715698242,2200,2,1.41875,40505.742935180664,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,99.00990295410156,0,0,0,0,0.9900990128517151,0,17.8217830657959,0,0,0,0,0.9900990128517151,1.9801980257034302,0,0,16665841664,4294963200,1747615744,187170816
1000,1744813557114,25338.92807006836,4275,0,1.4312500000000001,13771.941604614258,2137.5,2,1.4312500000000001,10532.14712524414,2137.5,2,1.4312500000000001,11945.235534667969,2137.5,2,1.4312500000000001,26183.29965209961,2200,2,1.4312500000000001,10970.396530151367,2200,2,1.4312500000000001,10412.893188476563,2200,2,1.4312500000000001,14104.152206420898,2200,2,1.4312500000000001,40535.43313598633,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,91.919189453125,0,0,0.9900990128517151,1,1,0.9900990128517151,6.060606002807617,0,0,0,1,0,1,8,0,16665841664,4294963200,1747615744,187170816
1000,1744813558115,25351.68620300293,4275,0,1.4625000000000001,13772.005950927734,2137.5,2,1.4625000000000001,10532.232513427734,2137.5,2,1.4625000000000001,11945.333251953125,2137.5,2,1.4625000000000001,26183.400619506836,2137.5,2,1.4625000000000001,10970.664581298828,2137.5,2,1.4625000000000001,10412.97622680664,2137.5,2,1.45,14106.798690795898,4275,0,1.45,40566.52159118652,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,0.9900990128517151,0,1,1,0,1.9801980257034302,0,18,0,0,0,0,0,0,100,0,16665841664,4294963200,1717760000,187170816
1000,1744813559115,25364.515869140625,4300,0,1.44375,13772.108856201172,2150,2,1.44375,10532.307907104492,2150,2,1.44375,11945.432479858398,2150,2,1.44375,26183.511138916016,2200,2,1.44375,10970.775604248047,2200,2,1.44375,10413.073913574219,2200,2,1.44375,14107.688125610352,2200,2,1.44375,40595.720291137695,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,0,0.9900990128517151,0,0,1,0,0,4,0,0,1,0,0.9900990128517151,0,99,0,16665841664,4294963200,1715064832,187170816
999,1744813560116,25377.259841918945,4275,0,1.4312500000000001,13772.195053100586,2137.5,2,1.4312500000000001,10532.384552001953,2137.5,2,1.4312500000000001,11945.515579223633,2137.5,2,1.4312500000000001,26183.599334716797,2200,2,1.4312500000000001,10970.93505859375,2200,2,1.4312500000000001,10413.148818969727,2200,2,1.4312500000000001,14108.863174438477,2200,2,1.4312500000000001,40625.064193725586,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,0,0,0.9900990128517151,1,0,0,0,4,0,0,0,1.9801980257034302,0,0,99.00990295410156,0,16665841664,4294963200,1719488512,187170816
999,1744813561116,25390.016387939453,4325,0,1.45,13772.286010742188,2137.5,2,1.4125,10532.464904785156,2137.5,2,1.4125,11945.603927612305,2137.5,2,1.4125,26183.68263244629,2200,2,1.4125,10971.287399291992,2200,2,1.4125,10413.24235534668,2200,2,1.4125,14109.168655395508,2200,2,1.4125,40653.904037475586,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,0,0,0,0,0,0,0.9900990128517151,1,0,0,1,2.0202019214630127,0,0.9900990128517151,100,1,16665841664,4294963200,1724387328,187170816
999,1744813562116,25402.70622253418,4350,0,1.425,13772.385162353516,2137.5,2,1.4312500000000001,10532.552001953125,2137.5,2,1.4312500000000001,11945.713119506836,2137.5,2,1.4312500000000001,26183.77015686035,2200,2,1.4312500000000001,10971.403427124023,2200,2,1.4312500000000001,10413.328659057617,2200,2,1.4312500000000001,14109.228805541992,2200,2,1.4312500000000001,40681.98742675781,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,0,0.9900990128517151,0.9900990128517151,0.9900990128517151,1,0,0,0,0,0,0,1,0.9900990128517151,0,99.00990295410156,0,16665841664,4294963200,1731825664,187170816
999,1744813563116,25415.421630859375,4275,0,1.4125,13772.478424072266,2137.5,2,1.4125,10532.624084472656,2137.5,2,1.4125,11945.815368652344,2137.5,2,1.4125,26183.84979248047,2200,2,1.4125,10971.555618286133,2200,2,1.4125,10413.424255371094,2200,2,1.4125,14109.293731689453,2200,2,1.4312500000000001,40710.33265686035,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,0,0,0,0,0,1,0.9900990128517151,0,0,0,0,1,0,0,99,0,16665841664,4294963200,1735999488,187170816
999,1744813564116,25415.7342376709,2137.5,2,1.425,13785.113861083984,4275,0,1.425,10532.700241088867,2112.5,2,1.425,11945.890335083008,2112.5,2,1.425,26183.923782348633,2000,2,1.425,10971.657104492188,2000,2,1.425,10413.503494262695,2000,2,1.46875,14110.995849609375,3000,2,1.46875,40740.576171875,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,0,0,0,0,0,0,0,10.891088485717773,0,0,1,0,0,0,0,100,16665841664,4294963200,1731842048,187170816
999,1744813565116,25415.835510253906,2150,2,1.4312500000000001,13797.754577636719,4300,0,1.4312500000000001,10532.764633178711,2112.5,2,1.4375,11945.956008911133,2112.5,2,1.4375,26184.011795043945,2200,2,1.4375,10971.746170043945,2200,2,1.4375,10413.56706237793,2200,2,1.4375,14111.13410949707,2200,2,1.4375,40768.63423156738,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,0,0,0,0,0.9900990128517151,0,0,1,0,0,0.9900990128517151,1,0.9900990128517151,0,0,100,16665841664,4294963200,1726427136,187170816
999,1744813566116,25415.955032348633,2112.5,2,1.45625,13810.383850097656,4225,0,1.45625,10532.844253540039,2112.5,2,1.45625,11946.042068481445,2112.5,2,1.425,26184.09814453125,2200,2,1.425,10971.932846069336,2200,2,1.425,10413.650344848633,2200,2,1.425,14111.240325927734,2200,2,1.425,40796.82588195801,2170,4351,2170,2097,2192,2170,2197,2193,2105,2170,2195,2198,2182,2195,2126,4339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,99,16665841664,4294963200,1725005824,187170816
