Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745065452472,8859.99545288086,2200,2,0.84375,33681.985092163086,2200,2,0.84375,12975.33071899414,2200,2,0.84375,35616.081939697266,2200,2,0.84375,53005.06088256836,2200,2,0.84375,40034.41114807129,2200,2,0.84375,18988.708923339844,2200,2,0.84375,63246.04684448242,2200,2,0.84375,63319.89083862305,2128,3182,2127,2119,2195,2195,2161,2195,2129,2128,2192,2189,2136,2193,2126,3184,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,0,6.25,3.3333334922790527,3.22580623626709,3.22580623626709,3.22580623626709,3.22580623626709,0,3.3333334922790527,10,0,6.25,16665841664,4294963200,853082112,295174144
999,1745065452472,8859.995635986328,2200,2,0.84375,33681.98864746094,2200,2,0.84375,12975.330871582031,2200,2,0.84375,35616.082092285156,2200,2,0.84375,53005.06101989746,2200,2,0.84375,40034.41123962402,2200,2,0.84375,18988.709030151367,2200,2,0.84375,63246.04847717285,2200,2,0.84375,63319.903228759766,2128,3182,2127,2119,2195,2195,2161,2195,2129,2128,2192,2189,2136,2193,2126,3184,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,0,6.25,3.3333334922790527,3.22580623626709,3.22580623626709,3.22580623626709,3.22580623626709,0,3.3333334922790527,10,0,6.25,16665841664,4294963200,853082112,295174144
999,1745065453472,8866.103607177734,3975,0,1.3,33688.94079589844,3975,0,1.3,12981.629104614258,3975,0,1.3,35622.52279663086,3975,0,1.3,53010.79556274414,3975,0,1.3,40040.61573791504,3975,0,1.3,18995.18879699707,3975,0,1.3,63256.46351623535,3975,0,1.3,63386.17706298828,2128,3182,2127,2119,2195,2195,2161,2195,2129,2128,2192,2189,2136,2193,2126,3184,21.428571701049805,49,76.23762512207031,73.26732635498047,17,0,74.25743103027344,13,6.060606002807617,13.13131332397461,58.999996185302734,77.22772216796875,33,86,64.35643768310547,68,16665841664,4294963200,1411272704,295174144
999,1745065454472,8869.51042175293,2200,2,1.46875,33695.442291259766,2200,2,1.46875,12983.67594909668,2200,2,1.46875,35625.94389343262,2200,2,1.46875,53015.1981048584,2125,2,1.46875,40043.50860595703,2125,2,1.46875,18997.845748901367,2125,2,1.46875,63267.864990234375,4250,0,1.46875,63437.927490234375,2128,3182,2127,2119,2195,2195,2161,2195,2129,2128,2192,2189,2136,2193,2126,3184,6.060606002807617,30.612245559692383,16.1616153717041,30.30303192138672,8,0,18.18181800842285,99,5,4.040403842926025,41,26,12,1,34,32.67326736450195,16665841664,4294963200,1426755584,295174144
999,1745065455472,8870.419540405273,4200,0,1.41875,33695.57563781738,2100,2,1.41875,12983.976638793945,2100,2,1.41875,35626.1223449707,2100,2,1.41875,53016.47439575195,2100,2,1.41875,40043.59509277344,2100,2,1.41875,18998.722564697266,2100,2,1.41875,63280.67250061035,4200,0,1.41875,63469.59899902344,2128,3182,2127,2119,2195,2195,2161,2195,2129,2128,2192,2189,2136,2193,2126,3184,6.060606002807617,0.9900990128517151,0,0,3,1,2,99,2.97029709815979,1,7.843137741088867,0,0.9900990128517151,3.0303030014038086,1,0,16665841664,4294963200,1484808192,295174144
999,1745065456473,8870.695449829102,2200,2,1.4375,33696.749450683594,2200,2,1.4375,12984.053726196289,2200,2,1.4375,35626.234451293945,2200,2,1.4375,53016.81184387207,2100,2,1.4375,40043.709716796875,2100,2,1.4375,18998.783798217773,2100,2,1.4375,63293.603744506836,4200,0,1.4375,63499.78631591797,2128,3182,2127,2119,2195,2195,2161,2195,2129,2128,2192,2189,2136,2193,2126,3184,1,10,0,0,1,0,0,100,1,1,0,1,0,0,0,0,16665841664,4294963200,1501323264,295174144
1000,1745065457473,8871.173400878906,2000,2,1.4375,33696.902755737305,3000,2,1.4375,12984.142990112305,2000,2,1.4375,35626.36054992676,2000,2,1.4375,53016.90687561035,2112.5,2,1.4375,40043.803161621094,2112.5,2,1.4375,18998.875122070313,2112.5,2,1.4375,63306.34117126465,4225,0,1.4312500000000001,63528.90902709961,2128,3182,2127,2119,2195,2195,2161,2195,2129,2128,2192,2189,2136,2193,2126,3184,1,1.0101009607315063,0,0,0,0,1,58.999996185302734,0,1.9801980257034302,0,0,0,41,3.0303030014038086,0,16665841664,4294963200,1501323264,295174144
999,1745065458473,8873.470916748047,2200,2,1.4375,33696.9616394043,2200,2,1.4375,12984.232360839844,2200,2,1.4375,35626.44091796875,2200,2,1.4375,53017.03007507324,2112.5,2,1.4375,40043.92320251465,2112.5,2,1.4375,18999.36831665039,2112.5,2,1.4375,63319.04037475586,4225,0,1.4375,63560.216064453125,2128,3182,2127,2119,2195,2195,2161,2195,2129,2128,2192,2189,2136,2193,2126,3184,1,0,0,0,0,1,2,1,0,0.9900990128517151,0.9900990128517151,0,0,99,19.80198097229004,0,16665841664,4294963200,1453932544,295174144
999,1745065459473,8873.941223144531,2200,2,1.425,33697.0114440918,2200,2,1.425,12984.311614990234,2200,2,1.425,35626.554779052734,2200,2,1.425,53017.18955993652,2112.5,2,1.425,40044.005432128906,2112.5,2,1.425,18999.455505371094,2112.5,2,1.425,63331.711181640625,4225,0,1.4375,63589.1202545166,2128,3182,2127,2119,2195,2195,2161,2195,2129,2128,2192,2189,2136,2193,2126,3184,0,0,0,0,0.9900990128517151,0,0,0.9900990128517151,0.9900990128517151,0,0,0,0.9900990128517151,100,4,0,16665841664,4294963200,1450553344,295174144
999,1745065460474,8874.208267211914,2200,2,1.4375,33697.07051086426,2200,2,1.4375,12984.353149414063,2200,2,1.4375,35626.69436645508,2200,2,1.4375,53017.32974243164,2112.5,2,1.4375,40044.06596374512,2112.5,2,1.4375,18999.558822631836,2112.5,2,1.4375,63344.39514160156,4225,0,1.4375,63617.80484008789,2128,3182,2127,2119,2195,2195,2161,2195,2129,2128,2192,2189,2136,2193,2126,3184,1,0,0,0,0,0,0,0,0,1.9801980257034302,1,0,0,99.00990295410156,2.97029709815979,0,16665841664,4294963200,1454436352,295174144
