Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745006118456,20107.3025970459,2200,2,0.84375,33480.45762634277,2200,2,0.84375,8531.404525756836,2200,2,0.84375,35846.27949523926,2200,2,0.84375,5373.141265869141,2200,2,0.84375,37364.16130065918,2200,2,0.84375,22965.919876098633,2200,2,0.84375,57332.49131774902,2200,2,0.84375,32298.013732910156,2124,3193,2121,2128,2139,2193,2194,1960,2128,2130,2194,2097,2091,1971,2031,2186,7.407407283782959,0,3.7037036418914795,3.5714287757873535,0,0,6.896551609039307,0,3.7037036418914795,7.142857551574707,7.142857551574707,3.7037036418914795,0,0,0,0,16665841664,4294963200,867020800,293863424
999,1745006118456,20107.30584716797,2200,2,0.85,33480.45783996582,2200,2,0.85,8531.404739379883,2200,2,0.85,35846.27963256836,2200,2,0.85,5373.141418457031,2200,2,0.85,37364.164794921875,2200,2,0.85,22965.920013427734,2200,2,0.85,57332.49140930176,2200,2,0.85,32298.039291381836,2124,3193,2121,2128,2139,2193,2194,1960,2128,2130,2194,2097,2091,1971,2031,2186,7.407407283782959,0,3.7037036418914795,3.5714287757873535,0,0,6.896551609039307,0,3.7037036418914795,7.142857551574707,7.142857551574707,3.7037036418914795,0,0,0,0,16665841664,4294963200,867020800,293863424
999,1745006119456,20117.77230834961,4050,0,1.35,33487.03077697754,4050,0,1.35,8538.37387084961,4050,0,1.35,35852.99705505371,4050,0,1.35,5379.675216674805,4050,0,1.35,37371.046447753906,2700,2,1.35,22973.253311157227,4050,0,1.35,57339.395080566406,4050,0,1.35,32367.248825073242,2124,3193,2121,2128,2139,2193,2194,1960,2128,2130,2194,2097,2091,1971,2031,2186,53.53535461425781,78,69.30693054199219,71,32,1,77.77777862548828,79.20792388916016,23.232322692871094,12.121212005615234,47.47474670410156,81,67,1,58.41584014892578,9.90099048614502,16665841664,4294963200,1390051328,293863424
1000,1745006120456,20125.51155090332,2112.5,2,1.4312500000000001,33492.89726257324,4225,0,1.4312500000000001,8541.055191040039,2112.5,2,1.4312500000000001,35853.94906616211,2112.5,2,1.4312500000000001,5381.947189331055,2112.5,2,1.4312500000000001,37375.48344421387,4225,0,1.4312500000000001,22978.534866333008,2112.5,2,1.4312500000000001,57340.57698059082,2112.5,2,1.4312500000000001,32413.05403137207,2124,3193,2121,2128,2139,2193,2194,1960,2128,2130,2194,2097,2091,1971,2031,2186,38.38383865356445,7.142857551574707,16.1616153717041,1.0101009607315063,17,2,45,2,5.94059419631958,4.040403842926025,0,40,1.9801980257034302,2,28.282827377319336,42,16665841664,4294963200,1532235776,293863424
1000,1745006121457,20133.823699951172,4325,0,1.46875,33497.95552062988,2162.5,2,1.46875,8541.321090698242,2162.5,2,1.46875,35854.43223571777,2162.5,2,1.46875,5382.142837524414,2200,2,1.46875,37375.8893737793,2200,2,1.46875,22978.852920532227,2200,2,1.46875,57342.13612365723,2200,2,1.46875,32444.83238220215,2124,3193,2121,2128,2139,2193,2194,1960,2128,2130,2194,2097,2091,1971,2031,2186,7.070706844329834,0,1.0101009607315063,1.9801980257034302,0,1,0.9900990128517151,1,1.0101009607315063,3,1,1.9801980257034302,1,8,57.425743103027344,37,16665841664,4294963200,1614802944,293863424
999,1745006122457,20146.886688232422,4275,0,1.425,33498.10433959961,2137.5,2,1.425,8541.413925170898,2137.5,2,1.425,35854.51396179199,2137.5,2,1.425,5382.275238037109,2200,2,1.425,37375.989822387695,2200,2,1.425,22978.923889160156,2200,2,1.425,57343.991760253906,2200,2,1.425,32475.2488861084,2124,3193,2121,2128,2139,2193,2194,1960,2128,2130,2194,2097,2091,1971,2031,2186,99,0.9900990128517151,0,0,1,0,0,0,0,0,0,0,0,12.87128734588623,0,0.9900990128517151,16665841664,4294963200,1632092160,293863424
999,1745006123457,20155.546157836914,2150,2,1.44375,33502.527435302734,4300,0,1.44375,8541.491455078125,2112.5,2,1.4375,35854.63397216797,2112.5,2,1.4375,5382.407012939453,2200,2,1.4375,37376.10008239746,2200,2,1.4375,22979.01593017578,2200,2,1.4375,57346.84321594238,2200,2,1.4375,32506.77978515625,2124,3193,2121,2128,2139,2193,2194,1960,2128,2130,2194,2097,2091,1971,2031,2186,66,0,0,0,1,0.9900990128517151,0,0,0.9900990128517151,0.9900990128517151,0,0,0,19,0,34.34343338012695,16665841664,4294963200,1640349696,293863424
999,1745006124457,20155.633026123047,2150,2,1.4312500000000001,33515.209075927734,4300,0,1.4312500000000001,8541.557495117188,2112.5,2,1.425,35854.743392944336,2112.5,2,1.425,5382.50163269043,2200,2,1.425,37376.40219116211,2200,2,1.425,22979.10040283203,2200,2,1.425,57347.41719055176,2200,2,1.425,32535.575164794922,2124,3193,2121,2128,2139,2193,2194,1960,2128,2130,2194,2097,2091,1971,2031,2186,0.9900990128517151,0,0,0,0,2.0202019214630127,0,0.9900990128517151,0,0,0,0,0,3,0,99,16665841664,4294963200,1582571520,293863424
999,1745006125457,20155.732940673828,2125,2,1.425,33527.928802490234,4250,0,1.425,8541.620590209961,2125,2,1.425,35854.857177734375,2125,2,1.425,5382.587066650391,2200,2,1.425,37376.508071899414,2200,2,1.425,22979.171783447266,2200,2,1.425,57348.46224975586,2200,2,1.425,32564.647979736328,2124,3193,2121,2128,2139,2193,2194,1960,2128,2130,2194,2097,2091,1971,2031,2186,0,0,0,0.9900990128517151,1.9607844352722168,0,0.9900990128517151,0,0,0.9900990128517151,0,0,1,7.070706844329834,0,100,16665841664,4294963200,1581957120,293863424
989,1745006126467,20155.828826904297,2125,2,1.4375,33540.746322631836,4250,0,1.4375,8541.687774658203,2125,2,1.4375,35854.97508239746,2125,2,1.4375,5382.680877685547,2200,2,1.4375,37376.71813964844,2200,2,1.4375,22979.268264770508,2200,2,1.4375,57349.153579711914,2200,2,1.4375,32593.865173339844,2124,3193,2121,2128,2139,2193,2194,1960,2128,2130,2194,2097,2091,1971,2031,2186,0.9900990128517151,0,0,0,0,1,0,0,0,0,0,0,0,3.9215688705444336,0,100,16665841664,4294963200,1581215744,293863424
