Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745008188616,25208.461791992188,2200,2,0.84375,34924.066970825195,2200,2,0.84375,9827.584274291992,2200,2,0.84375,36557.25288391113,2200,2,0.84375,9072.903610229492,2200,2,0.84375,39231.55340576172,2200,2,0.84375,24582.788055419922,2200,2,0.84375,59734.714935302734,2200,2,0.84375,5468.443984985352,2184,2190,2186,1991,2128,2128,3014,2128,2195,2080,2127,2028,3150,2128,2194,2035,3.7037036418914795,0,3.7037036418914795,7.692307949066162,3.7037036418914795,3.846153974533081,0,0,3.7037036418914795,3.7037036418914795,0,3.846153974533081,3.7037036418914795,0,3.846153974533081,7.692307949066162,16665841664,4294963200,871227392,293863424
999,1745008188616,25208.461990356445,2200,2,0.84375,34924.0671081543,2200,2,0.84375,9827.584365844727,2200,2,0.84375,36557.25450134277,2200,2,0.84375,9072.907119750977,2200,2,0.84375,39231.55349731445,2200,2,0.84375,24582.788208007813,2200,2,0.84375,59734.715087890625,2200,2,0.84375,5468.469207763672,2184,2190,2186,1991,2128,2128,3014,2128,2195,2080,2127,2028,3150,2128,2194,2035,3.7037036418914795,0,3.7037036418914795,7.692307949066162,3.7037036418914795,3.846153974533081,0,0,3.7037036418914795,3.7037036418914795,0,3.846153974533081,3.7037036418914795,0,3.846153974533081,7.692307949066162,16665841664,4294963200,871227392,293863424
999,1745008189616,25214.60693359375,3975,0,1.30625,34931.94007873535,3975,0,1.30625,9834.151718139648,3975,0,1.30625,36567.56823730469,3975,0,1.30625,9080.414932250977,3975,0,1.30625,39238.59535217285,3975,0,1.30625,24588.929168701172,3975,0,1.30625,59740.69422912598,3975,0,1.30625,5536.902389526367,2184,2190,2186,1991,2128,2128,3014,2128,2195,2080,2127,2028,3150,2128,2194,2035,0,68.31682586669922,81,99,85,16.831682205200195,80,78,6.060606002807617,9,3.9603960514068604,78,1,4.040403842926025,76.23762512207031,83,16665841664,4294963200,1392480256,293863424
998,1745008190618,25218.269119262695,2112.5,2,1.41875,34937.2638092041,2112.5,2,1.41875,9835.593353271484,2112.5,2,1.41875,36579.39109802246,4225,0,1.41875,9084.87924194336,2200,2,1.41875,39240.53123474121,2200,2,1.41875,24591.274459838867,2200,2,1.41875,59743.142517089844,2200,2,1.41875,5585.613006591797,2184,2190,2186,1991,2128,2128,3014,2128,2195,2080,2127,2028,3150,2128,2194,2035,3.0303030014038086,27.000001907348633,10,100,14,9,15.000000953674316,15.15151596069336,3,2,23.76237678527832,7,2.0202019214630127,2,33.67346954345703,28,16665841664,4294963200,1395507200,293863424
999,1745008191617,25218.565658569336,2112.5,2,1.4312500000000001,34937.448974609375,2816.666666666667,2,1.4312500000000001,9835.661819458008,2112.5,2,1.4312500000000001,36592.243087768555,4225,0,1.4312500000000001,9085.237854003906,2112.5,2,1.4312500000000001,39242.438720703125,4225,0,1.4312500000000001,24592.010787963867,2112.5,2,1.4312500000000001,59744.171951293945,2112.5,2,1.4312500000000001,5618.435729980469,2184,2190,2186,1991,2128,2128,3014,2128,2195,2080,2127,2028,3150,2128,2194,2035,2,1,0,14.851485252380371,1,1.0101009607315063,1,2.97029709815979,0,85,0,15.000000953674316,2,3.9603960514068604,0,0,16665841664,4294963200,1404272640,293863424
999,1745008192617,25218.688842773438,2125,2,1.41875,34937.56399536133,2833.333333333333,2,1.41875,9835.770324707031,2125,2,1.41875,36605.13562011719,4250,0,1.41875,9085.377304077148,2200,2,1.4375,39244.3171081543,2200,2,1.4375,24592.155563354492,2200,2,1.4375,59744.253997802734,2200,2,1.4375,5649.030624389648,2184,2190,2186,1991,2128,2128,3014,2128,2195,2080,2127,2028,3150,2128,2194,2035,0,0,0,0,0,1,0,0,0,99.00990295410156,1,11,1,0,0,0,16665841664,4294963200,1478590464,293863424
1000,1745008193617,25218.801681518555,2125,2,1.4375,34937.63398742676,2833.333333333333,2,1.4375,9835.862243652344,2125,2,1.4375,36617.85346984863,4250,0,1.4375,9085.493896484375,2200,2,1.4312500000000001,39245.19676208496,2200,2,1.4312500000000001,24592.303588867188,2200,2,1.4312500000000001,59744.31440734863,2200,2,1.4312500000000001,5678.394119262695,2184,2190,2186,1991,2128,2128,3014,2128,2195,2080,2127,2028,3150,2128,2194,2035,0,0,0,0.9900990128517151,0.9900990128517151,1,1,0,1,98.98989868164063,0,4.95049524307251,1,0,0,0,16665841664,4294963200,1478590464,293863424
999,1745008194617,25218.9425201416,2125,2,1.45625,34937.67987060547,2125,2,1.45625,9835.967071533203,2125,2,1.45625,36630.590896606445,4250,0,1.45625,9086.062622070313,2125,2,1.45625,39247.34864807129,4250,0,1.45625,24592.60627746582,2125,2,1.45625,59744.3983001709,2125,2,1.45625,5710.171600341797,2184,2190,2186,1991,2128,2128,3014,2128,2195,2080,2127,2028,3150,2128,2194,2035,0,0,0,0,4,15.000000953674316,0.9900990128517151,0,0,100,1,0,2,0,0,0,16665841664,4294963200,1425215488,293863424
998,1745008195619,25219.038940429688,2125,2,1.44375,34937.77436828613,2833.333333333333,2,1.44375,9836.067138671875,2125,2,1.4375,36643.31840515137,4250,0,1.4375,9086.221801757813,2200,2,1.4375,39248.50393676758,2200,2,1.4375,24592.768447875977,2200,2,1.4375,59744.545974731445,2200,2,1.4375,5740.183700561523,2184,2190,2186,1991,2128,2128,3014,2128,2195,2080,2127,2028,3150,2128,2194,2035,0.9900990128517151,0,0,1.9607844352722168,0,8,0,0,1,98.98989868164063,0,0,0,0,0,0,16665841664,4294963200,1425473536,293863424
999,1745008196618,25219.118377685547,2125,2,1.4375,34937.86404418945,2833.333333333333,2,1.4375,9836.151321411133,2125,2,1.4375,36656.08224487305,4250,0,1.45,9086.366073608398,2200,2,1.45,39248.933013916016,2200,2,1.45,24592.90170288086,2200,2,1.45,59744.65525817871,2200,2,1.45,5769.409484863281,2184,2190,2186,1991,2128,2128,3014,2128,2195,2080,2127,2028,3150,2128,2194,2035,1,1,0,0,0,3.9603960514068604,0,0,0,99,1,0,1,0,0,0,16665841664,4294963200,1433731072,293863424
