Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744861525868,51569.64190673828,2200,2,0.85,3392.7349395751953,2200,2,0.85,58114.17739868164,2200,2,0.85,2022.5782928466797,2200,2,0.85,49641.63400268555,2200,2,0.85,6406.967590332031,2200,2,0.85,60286.61584472656,2200,2,0.85,12004.914520263672,2200,2,0.85,29254.716018676758,2129,3193,2129,1955,2195,2195,2192,2178,1882,2169,2172,2192,2188,2194,2012,3186,0,0,3.7037036418914795,3.7037036418914795,7.692307949066162,0,7.142857551574707,0,3.7037036418914795,0,3.7037036418914795,7.142857551574707,0,3.7037036418914795,3.7037036418914795,3.7037036418914795,16665841664,4294963200,898371584,244842496
999,1744861525868,51569.64210510254,2200,2,0.85,3392.735092163086,2200,2,0.85,58114.17953491211,2200,2,0.85,2022.578384399414,2200,2,0.85,49641.635681152344,2200,2,0.85,6406.967697143555,2200,2,0.85,60286.615951538086,2200,2,0.85,12004.914672851563,2200,2,0.84375,29254.738723754883,2129,3193,2129,1955,2195,2195,2192,2178,1882,2169,2172,2192,2188,2194,2012,3186,0,0,3.7037036418914795,3.7037036418914795,7.692307949066162,0,7.142857551574707,0,3.7037036418914795,0,3.7037036418914795,7.142857551574707,0,3.7037036418914795,3.7037036418914795,3.7037036418914795,16665841664,4294963200,898371584,244842496
999,1744861526868,51575.38676452637,3975,0,1.30625,3398.200973510742,3975,0,1.30625,58120.68647766113,3975,0,1.30625,2028.7264556884766,3975,0,1.30625,49653.37321472168,3975,0,1.30625,6411.9610595703125,3975,0,1.30625,60292.67492675781,3975,0,1.30625,12010.422332763672,3975,0,1.30625,29317.84391784668,2129,3193,2129,1955,2195,2195,2192,2178,1882,2169,2172,2192,2188,2194,2012,3186,6.122448921203613,4.901960849761963,61,33,95.04950714111328,0,68.6868667602539,25.74257469177246,16.1616153717041,55,13,57,0,44.4444465637207,66.33663177490234,62.626258850097656,16665841664,4294963200,1149509632,244842496
999,1744861527869,51584.329177856445,3975,0,1.3125,3405.9104766845703,3975,0,1.3125,58127.658203125,3975,0,1.3125,2038.5491485595703,3975,0,1.3125,49664.12986755371,3975,0,1.3125,6420.187088012695,3975,0,1.3125,60299.729721069336,3975,0,1.3125,12017.711990356445,3975,0,1.3125,29394.887603759766,2129,3193,2129,1955,2195,2195,2192,2178,1882,2169,2172,2192,2188,2194,2012,3186,23.469388961791992,4.040403842926025,83.16831970214844,89.1089096069336,99.00990295410156,1,74.25743103027344,3.0612244606018066,5,85,4,94.94949340820313,9.090909004211426,87.25489807128906,80,90.09901428222656,16665841664,4294963200,1301757952,244842496
999,1744861528869,51589.941162109375,2200,2,1.425,3408.717987060547,2200,2,1.425,58130.96694946289,2200,2,1.425,2042.9162292480469,2200,2,1.425,49669.98173522949,2100,2,1.425,6433.134536743164,4200,0,1.425,60304.40785217285,2100,2,1.425,12021.63882446289,2100,2,1.425,29451.411544799805,2129,3193,2129,1955,2195,2195,2192,2178,1882,2169,2172,2192,2188,2194,2012,3186,56,6.122448921203613,30.30303192138672,40.4040412902832,21.212121963500977,98,2,2.97029709815979,3,18.81188201904297,38,6,43,33.333335876464844,3,25,16665841664,4294963200,1376075776,244842496
999,1744861529869,51591.14009094238,2087.5,2,1.40625,3409.016387939453,2087.5,2,1.40625,58131.73718261719,2087.5,2,1.40625,2045.3439178466797,4175,0,1.40625,49670.47033691406,2087.5,2,1.40625,6448.242004394531,4175,0,1.40625,60304.69598388672,2087.5,2,1.40625,12022.027893066406,2087.5,2,1.40625,29486.16632080078,2129,3193,2129,1955,2195,2195,2192,2178,1882,2169,2172,2192,2188,2194,2012,3186,9,1,7,0,2.0202019214630127,99,1.0101009607315063,0,1,20.2020206451416,0,0.9900990128517151,0,0,1,1.0101009607315063,16665841664,4294963200,1442652160,244842496
999,1744861530869,51591.23405456543,2200,2,1.4375,3409.1146850585938,2200,2,1.4375,58131.87145996094,2200,2,1.4375,2047.3690643310547,2200,2,1.4375,49670.534088134766,2100,2,1.4375,6463.5416259765625,4200,0,1.4312500000000001,60304.75938415527,2100,2,1.4312500000000001,12022.086486816406,2100,2,1.4312500000000001,29517.629333496094,2129,3193,2129,1955,2195,2195,2192,2178,1882,2169,2172,2192,2188,2194,2012,3186,0,0,0,0,0.9900990128517151,100,0,0,0,13,0,0,1.9801980257034302,0,0,0.9900990128517151,16665841664,4294963200,1442652160,244842496
999,1744861531869,51591.31802368164,2100,2,1.4312500000000001,3409.203399658203,2100,2,1.4312500000000001,58131.966873168945,2100,2,1.4312500000000001,2050.1254272460938,4200,0,1.4312500000000001,49670.617126464844,2100,2,1.4312500000000001,6478.765823364258,4200,0,1.4312500000000001,60304.844955444336,2100,2,1.4312500000000001,12022.15087890625,2100,2,1.4312500000000001,29549.518768310547,2129,3193,2129,1955,2195,2195,2192,2178,1882,2169,2172,2192,2188,2194,2012,3186,0,0.9900990128517151,0,0,0,99,0,0,0,25,0,0,0,0,0,0,16665841664,4294963200,1425678336,244842496
999,1744861532869,51591.39520263672,2000,2,1.425,3409.2671966552734,2000,2,1.4312500000000001,58132.036697387695,2000,2,1.4312500000000001,2052.918411254883,3000,2,1.4312500000000001,49670.68260192871,2100,2,1.4312500000000001,6494.177108764648,4200,0,1.4312500000000001,60304.9026184082,2100,2,1.4312500000000001,12022.212982177734,2100,2,1.4312500000000001,29581.749771118164,2129,3193,2129,1955,2195,2195,2192,2178,1882,2169,2172,2192,2188,2194,2012,3186,0,0,0,0,0,100,0,0,0.9900990128517151,19,0,0,0,0,0,0,16665841664,4294963200,1425154048,244842496
999,1744861533869,51591.48635864258,2000,2,1.4312500000000001,3409.316421508789,2000,2,1.4312500000000001,58132.09411621094,2000,2,1.4312500000000001,2053.1130981445313,3000,2,1.4312500000000001,49670.76095581055,2100,2,1.4312500000000001,6509.440643310547,4200,0,1.4312500000000001,60304.968505859375,2100,2,1.4312500000000001,12022.271667480469,2100,2,1.4312500000000001,29610.676193237305,2129,3193,2129,1955,2195,2195,2192,2178,1882,2169,2172,2192,2188,2194,2012,3186,0,0,0,0,0.9900990128517151,99.00990295410156,0,0,0,1,0,0,0,0.9900990128517151,0,1,16665841664,4294963200,1424396288,244842496
