Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744939602307,18205.624801635742,2200,2,0.96875,26474.058349609375,2200,2,0.96875,4880.148056030273,2200,2,0.96875,23602.706024169922,2200,2,0.96875,4416.555236816406,2133.333333333333,2,0.96875,28458.392471313477,2133.333333333333,2,0.96875,12742.939361572266,2133.333333333333,2,0.96875,40268.55131530762,3200,1,0.96875,47246.277435302734,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,3.7037036418914795,7.692307949066162,7.142857551574707,0,7.142857551574707,0,3.846153974533081,0,3.7037036418914795,0,3.7037036418914795,0,0,3.846153974533081,0,0,16665841664,4294963200,880238592,274726912
999,1744939602307,18205.625106811523,2200,2,0.96875,26474.062881469727,2200,2,0.96875,4880.148284912109,2200,2,0.96875,23602.70623779297,2200,2,0.96875,4416.559982299805,2133.333333333333,2,0.96875,28458.392700195313,2133.333333333333,2,0.96875,12742.939590454102,2133.333333333333,2,0.96875,40268.551513671875,3200,1,0.96875,47246.3049621582,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,3.7037036418914795,7.692307949066162,7.142857551574707,0,7.142857551574707,0,3.846153974533081,0,3.7037036418914795,0,3.7037036418914795,0,0,3.846153974533081,0,0,16665841664,4294963200,880238592,274726912
999,1744939603307,18210.37223815918,3975,0,1.3,26485.283798217773,3975,0,1.3,4886.713439941406,3975,0,1.3,23610.67022705078,3975,0,1.3,4423.2503662109375,3975,0,1.3,28463.526412963867,3975,0,1.3,12749.547760009766,3975,0,1.3,40273.203674316406,3975,0,1.3,47310.59194946289,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,4.040403842926025,43,54.54545593261719,35.6435661315918,37,17.171716690063477,45.45454788208008,24.489795684814453,37,47.47474670410156,46.46464538574219,50,56,31.683168411254883,50.50504684448242,63.6363639831543,16665841664,4294963200,1174630400,274726912
999,1744939604307,18217.891235351563,3975,0,1.30625,26492.521453857422,3975,0,1.30625,4894.255859375,3975,0,1.30625,23621.00550842285,3975,0,1.30625,4432.054595947266,3975,0,1.30625,28473.356353759766,3975,0,1.30625,12758.266128540039,3975,0,1.30625,40281.05783081055,3975,0,1.30625,47388.6883392334,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,4.1666669845581055,86,45,45,100,69,96,20,51,55.4455451965332,5.0505051612854,98,29,73.73737335205078,89.1089096069336,5.94059419631958,16665841664,4294963200,1312165888,274726912
999,1744939605307,18220.784561157227,2150,2,1.425,26496.00079345703,2150,2,1.425,4904.187606811523,4300,0,1.425,23628.503936767578,2150,2,1.4312500000000001,4437.123825073242,2200,2,1.4312500000000001,28479.546508789063,2200,2,1.4312500000000001,12762.652084350586,2200,2,1.4312500000000001,40286.2248840332,2200,2,1.4312500000000001,47446.7303314209,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,2.0202019214630127,36.3636360168457,2.97029709815979,11.88118839263916,51,50,48,52.52525329589844,79,55,2.97029709815979,37.62376403808594,1.0101009607315063,1,29,2.0202019214630127,16665841664,4294963200,1373835264,274726912
1000,1744939606307,18221.07521057129,2062.5,2,1.41875,26497.609115600586,4125,0,1.41875,4918.8438720703125,4125,0,1.41875,23628.614059448242,2062.5,2,1.41875,4437.781768798828,4125,0,1.41875,28480.488891601563,2062.5,2,1.41875,12765.785568237305,2750,2,1.41875,40288.08628845215,2062.5,2,1.41875,47484.17608642578,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,2,14,0,0,0,5,25,13,100,0,5,1,0.9900990128517151,0,1,1,16665841664,4294963200,1439895552,274726912
999,1744939607308,18221.161834716797,2137.5,2,1.4312500000000001,26497.831100463867,2137.5,2,1.4312500000000001,4934.227783203125,4275,0,1.4312500000000001,23628.66192626953,2137.5,2,1.4312500000000001,4439.806137084961,2200,2,1.4312500000000001,28480.555557250977,2200,2,1.4312500000000001,12765.923904418945,2200,2,1.4312500000000001,40288.236236572266,2200,2,1.425,47516.39517211914,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,0,0,0,0,0,0,0,0,99,0,12.121212005615234,0,0,0,0,0,16665841664,4294963200,1439895552,274726912
1000,1744939608308,18221.26937866211,2137.5,2,1.44375,26497.899032592773,2137.5,2,1.44375,4949.7747802734375,4275,0,1.44375,23628.71078491211,2137.5,2,1.44375,4441.806121826172,3000,2,1.44375,28480.621704101563,2000,2,1.44375,12765.991943359375,2000,2,1.44375,40288.329528808594,2000,2,1.44375,47548.43754577637,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,0,0,0,0,0,0,0,0,100,0,14.851485252380371,0,0,1,0,0,16665841664,4294963200,1418498048,274726912
1000,1744939609308,18221.36000061035,2100,2,1.4312500000000001,26497.968841552734,2100,2,1.4312500000000001,4965.268020629883,4200,0,1.4312500000000001,23628.75796508789,2100,2,1.4312500000000001,4444.5045166015625,4200,0,1.4312500000000001,28480.68930053711,2100,2,1.4312500000000001,12766.07339477539,2100,2,1.4312500000000001,40288.39767456055,2100,2,1.4312500000000001,47581.428802490234,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,0,0,0,0.9900990128517151,0,1,0.9900990128517151,0,100,0,17.171716690063477,0,0,0,0,0.9900990128517151,16665841664,4294963200,1418498048,274726912
999,1744939610309,18221.45947265625,2137.5,2,1.41875,26498.033905029297,2137.5,2,1.41875,4980.7279052734375,4275,0,1.41875,23628.80906677246,2137.5,2,1.41875,4445.481231689453,2200,2,1.41875,28480.75682067871,2200,2,1.41875,12766.15478515625,2200,2,1.41875,40288.45584106445,2200,2,1.41875,47612.311614990234,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,0,0,0,0,0,0,0,0,99.00990295410156,0,7,0,0,0,0,0,16665841664,4294963200,1418498048,274726912
999,1744939611309,18221.56379699707,2137.5,2,1.41875,26498.099884033203,2137.5,2,1.4375,4996.257354736328,4275,0,1.4375,23628.85760498047,2137.5,2,1.4375,4446.213882446289,2200,2,1.4375,28480.820861816406,2200,2,1.4375,12766.231643676758,2200,2,1.4375,40288.5149230957,2200,2,1.4375,47642.918548583984,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,0,0,0,0,1.9607844352722168,0,0,0,100,0,4.95049524307251,0,0.9900990128517151,0,0,0.9900990128517151,16665841664,4294963200,1418498048,274726912
999,1744939612309,18221.6759185791,2137.5,2,1.45625,26498.15689086914,2137.5,2,1.45625,5012.01057434082,4275,0,1.45625,23628.89715576172,2137.5,2,1.45625,4446.931167602539,2200,2,1.45625,28480.881942749023,2200,2,1.45625,12766.308197021484,2200,2,1.45625,40288.64472961426,2200,2,1.45625,47673.661544799805,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,0,0,0,0,0,0,0,0,100,0,6,0,0,1,0,0,16665841664,4294963200,1418084352,274726912
999,1744939613309,18221.801055908203,2137.5,2,1.45,26498.25764465332,2137.5,2,1.45,5027.52880859375,4275,0,1.45,23628.94366455078,2137.5,2,1.45,4447.783615112305,3000,2,1.45,28480.958389282227,2000,2,1.45,12766.399383544922,2000,2,1.45,40288.71537780762,2000,2,1.45,47704.518951416016,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,0,0.9900990128517151,0,0,0,0,0,0,100,0,6.060606002807617,0,0,0,0,0,16665841664,4294963200,1416142848,274726912
999,1744939614309,18221.894592285156,2137.5,2,1.44375,26498.31918334961,2137.5,2,1.44375,5043.047607421875,4275,0,1.44375,23628.983657836914,2137.5,2,1.44375,4447.936386108398,3000,2,1.44375,28481.01644897461,2000,2,1.44375,12766.468215942383,2000,2,1.44375,40288.77754211426,2000,2,1.4375,47734.49320983887,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,0,0,0,0,0,0,0,0,99.00990295410156,0,1,0,0,0,0,0,16665841664,4294963200,1414258688,274726912
999,1744939615309,18221.98728942871,2137.5,2,1.4375,26498.39971923828,2137.5,2,1.4375,5058.619033813477,4275,0,1.4375,23629.022094726563,2137.5,2,1.4375,4448.234344482422,2200,2,1.4375,28481.07777404785,2200,2,1.4375,12766.54116821289,2200,2,1.4375,40288.84729003906,2200,2,1.4375,47764.86082458496,2127,3090,2127,2128,2190,2065,2185,2109,2119,2125,2194,2195,2195,2194,2081,3190,0.9900990128517151,0,0,0,0,0,0,0,100,0,2,0,0,1,0,0,16665841664,4294963200,1412116480,274726912
