Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745065693753,10104.839080810547,2000,2,1.0375,33719.2254486084,2000,2,1.0375,13063.259063720703,2000,2,1.0375,35645.95974731445,2560,2,0.90625,53089.64613342285,2200,2,0.90625,40066.398986816406,2200,2,0.90625,19045.042846679688,2200,2,0.90625,63419.350830078125,2200,2,0.90625,2033.530502319336,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,7.407407283782959,3.7037036418914795,3.846153974533081,7.142857551574707,7.692307949066162,0,0,3.7037036418914795,3.7037036418914795,0,3.7037036418914795,3.7037036418914795,3.846153974533081,0,0,3.7037036418914795,16665841664,4294963200,867684352,295174144
999,1745065693754,10104.839309692383,2175,2,0.9625,33719.227630615234,4350,0,0.9625,13063.259231567383,2175,2,0.9625,35645.95991516113,4350,0,0.9625,53089.655181884766,2200,2,0.9625,40066.3992767334,2200,2,1.4937500000000001,19045.043182373047,2200,2,1.4937500000000001,63419.35121154785,2200,2,1.4937500000000001,2033.5683135986328,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,7.407407283782959,3.7037036418914795,3.846153974533081,7.142857551574707,7.692307949066162,0,0,3.7037036418914795,3.7037036418914795,0,3.7037036418914795,3.7037036418914795,3.846153974533081,0,0,3.7037036418914795,16665841664,4294963200,867684352,295174144
999,1745065694754,10110.068634033203,3975,0,1.3125,33723.66468811035,3975,0,1.3125,13067.762161254883,3975,0,1.3125,35651.91987609863,3975,0,1.3125,53101.360122680664,3975,0,1.3125,40072.1491394043,3975,0,1.3125,19049.140228271484,3975,0,1.3125,63424.57286071777,3975,0,1.30625,2091.774154663086,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,8.08080768585205,41.836734771728516,37.62376403808594,59.5959587097168,92.85713958740234,52.52525329589844,49.50495147705078,40,21,15.000000953674316,9.090909004211426,39,0,31,51.960784912109375,0.9900990128517151,16665841664,4294963200,1107566592,295174144
999,1745065695754,10117.376770019531,3975,0,1.3,33730.82588195801,3975,0,1.3,13076.591049194336,3975,0,1.3,35658.555084228516,3975,0,1.3,53113.50714111328,3975,0,1.325,40080.554763793945,3975,0,1.325,19057.823852539063,3975,0,1.325,63432.846771240234,3975,0,1.325,2169.254638671875,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,0,35,92.92929077148438,37,100,94,18.18181800842285,19.191919326782227,6.122448921203613,44,56,31.683168411254883,79,78.78787994384766,86.86868286132813,48,16665841664,4294963200,1275408384,295174144
999,1745065696754,10124.217590332031,4100,0,1.4,33735.093826293945,2050,2,1.4,13081.338638305664,4100,0,1.4,35662.085678100586,2050,2,1.4,53120.290451049805,4100,0,1.4,40093.22283935547,4100,0,1.4,19061.891204833984,4100,0,1.4,63438.21284484863,2050,2,1.4,2230.259735107422,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,8.163265228271484,3,4,3,10,36,1.0101009607315063,4,51,39,70.70706939697266,84,42,57,61,47,16665841664,4294963200,1318760448,295174144
999,1745065697754,10130.764831542969,4125,0,1.4125,33736.02362060547,2062.5,2,1.4125,13087.717071533203,2062.5,2,1.4125,35662.43524169922,2062.5,2,1.41875,53123.72985839844,4125,0,1.41875,40095.448013305664,2062.5,2,1.41875,19066.36570739746,2062.5,2,1.41875,63438.84901428223,2062.5,2,1.41875,2268.8692779541016,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,44,5,6,0,1.9607844352722168,15.000000953674316,1,1,38,1,26,0,28.282827377319336,1,7,0,16665841664,4294963200,1392820224,295174144
1000,1745065698754,10135.918350219727,2112.5,2,1.45625,33736.123291015625,2112.5,2,1.45625,13087.958038330078,2112.5,2,1.4312500000000001,35671.54130554199,4225,0,1.4312500000000001,53126.15505981445,2200,2,1.4312500000000001,40098.70471191406,2200,2,1.4312500000000001,19066.45558166504,2200,2,1.4312500000000001,63440.490966796875,2200,2,1.4312500000000001,2305.220001220703,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,25.25252342224121,0,0,0.9900990128517151,0,25,0,0,1,60.000003814697266,14.851485252380371,0,0,11,11,0,16665841664,4294963200,1392820224,295174144
1000,1745065699754,10136.020217895508,2112.5,2,1.4312500000000001,33736.214096069336,2112.5,2,1.4312500000000001,13088.017135620117,2112.5,2,1.4312500000000001,35686.754165649414,4225,0,1.4312500000000001,53126.23292541504,2200,2,1.4312500000000001,40098.762786865234,2200,2,1.4312500000000001,19067.94761657715,2200,2,1.4312500000000001,63440.786392211914,2200,2,1.4312500000000001,2336.241744995117,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,0,0,0,0,0,0,0.9900990128517151,0.9900990128517151,0,99,0.9900990128517151,1,14,0,1,0,16665841664,4294963200,1373237248,295174144
999,1745065700755,10136.085754394531,2125,2,1.45625,33736.29968261719,2125,2,1.45625,13088.07893371582,2125,2,1.45625,35702.08366394043,4250,0,1.45625,53126.30325317383,2125,2,1.45625,40098.82078552246,2125,2,1.45625,19070.784072875977,4250,0,1.45625,63440.86312866211,2125,2,1.45625,2368.682876586914,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,0,0,0.9900990128517151,0,0,0,0.9900990128517151,0,0,100,0,0,19.80198097229004,0,0,0,16665841664,4294963200,1373237248,295174144
1000,1745065701755,10136.142349243164,2112.5,2,1.41875,33736.3713684082,2112.5,2,1.41875,13088.12744140625,2112.5,2,1.41875,35717.43826293945,4225,0,1.41875,53126.36241149902,2200,2,1.45625,40098.867416381836,2200,2,1.45625,19071.462844848633,2200,2,1.45625,63440.917724609375,2200,2,1.45625,2398.508071899414,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,0,0,0,0,0,0,0,1,0,99.00990295410156,0,0,3,0,0,0,16665841664,4294963200,1371639808,295174144
999,1745065702756,10136.205917358398,2125,2,1.44375,33736.4489440918,2125,2,1.44375,13088.202346801758,2112.5,2,1.44375,35732.719955444336,4225,0,1.44375,53126.437896728516,2200,2,1.44375,40098.92883300781,2200,2,1.44375,19072.629272460938,2200,2,1.44375,63440.98791503906,2200,2,1.44375,2428.8341217041016,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,0,0,0,0,0,0,0,0,0,100,0,0,8.08080768585205,0,0,0,16665841664,4294963200,1370345472,295174144
999,1745065703756,10136.275207519531,2125,2,1.44375,33736.535568237305,2125,2,1.44375,13088.262741088867,2125,2,1.44375,35748.093841552734,4250,0,1.44375,53126.51029968262,2000,2,1.44375,40098.98112487793,2000,2,1.46875,19073.83595275879,3000,2,1.46875,63441.06523132324,2000,2,1.46875,2459.486618041992,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,0,0,0,0.9900990128517151,0,0,0,0,0,99.00990295410156,0,0,7,0,0,0,16665841664,4294963200,1365409792,295174144
999,1745065704756,10136.344650268555,2112.5,2,1.425,33736.6134185791,2112.5,2,1.425,13088.313186645508,2112.5,2,1.425,35763.364654541016,4225,0,1.425,53126.5608215332,2200,2,1.425,40099.07635498047,2200,2,1.425,19074.60694885254,2200,2,1.425,63441.15187072754,2200,2,1.425,2489.4597778320313,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,0,0,0,0,0,0,0,0,0,100,0,0,4.95049524307251,0,0,0,16665841664,4294963200,1359294464,295174144
1000,1745065705756,10136.430053710938,2112.5,2,1.425,33736.6911315918,2112.5,2,1.425,13088.365036010742,2112.5,2,1.425,35778.6788482666,4225,0,1.425,53126.616928100586,2200,2,1.4625000000000001,40099.123794555664,2200,2,1.4625000000000001,19075.51237487793,2200,2,1.4625000000000001,63441.21520996094,2200,2,1.4625000000000001,2519.6978302001953,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,0,0,0,0,0,0,0,0,0,99,0,0,6.060606002807617,0,0,0.9900990128517151,16665841664,4294963200,1355771904,295174144
999,1745065706756,10136.517868041992,2112.5,2,1.44375,33736.767990112305,2112.5,2,1.4312500000000001,13088.429122924805,2112.5,2,1.4312500000000001,35793.990631103516,4225,0,1.4312500000000001,53126.683181762695,2200,2,1.4312500000000001,40099.19479370117,2200,2,1.4312500000000001,19075.914184570313,2200,2,1.4312500000000001,63441.29504394531,2200,2,1.4312500000000001,2549.4920959472656,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,0,0.9900990128517151,0,0,0,0.9900990128517151,0,0,0,100,0,0,3,0.9900990128517151,0,0,16665841664,4294963200,1353699328,295174144
999,1745065707756,10136.590866088867,2112.5,2,1.41875,33736.83711242676,2112.5,2,1.41875,13088.478042602539,2112.5,2,1.41875,35809.312591552734,4225,0,1.41875,53126.731353759766,2200,2,1.41875,40099.26426696777,2200,2,1.41875,19075.998611450195,2200,2,1.41875,63441.37533569336,2200,2,1.41875,2579.1130981445313,2123,2641,2128,2125,2187,2181,2119,2193,2083,2127,2195,2195,2175,2153,2069,2643,0,0,0,0.9900990128517151,0,0,0,0,0,99.00990295410156,0,0,0,0,0,0,16665841664,4294963200,1352208384,295174144
