Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744964776737,372.8472137451172,2133.333333333333,2,0.95625,52454.975982666016,3200,1,0.95625,25285.461486816406,2133.333333333333,2,0.95625,47352.29592895508,2133.333333333333,2,0.95625,55270.58572387695,2200,2,0.95625,54618.918365478516,2200,2,0.95625,39042.418380737305,2200,2,0.95625,6358.451995849609,2200,2,0.95625,19111.77572631836,2127,3193,2193,2188,2196,2171,2061,2195,2129,2126,2195,2194,2182,2191,2168,2176,0,3.22580623626709,3.3333334922790527,6.25,0,3.22580623626709,0,3.22580623626709,3.22580623626709,3.22580623626709,3.22580623626709,12.90322494506836,0,3.125,3.22580623626709,3.3333334922790527,16665841664,4294963200,860323840,283377664
999,1744964776737,372.84747314453125,2133.333333333333,2,0.9625,52454.97898864746,3200,1,0.9625,25285.461685180664,2133.333333333333,2,0.9625,47352.29606628418,2133.333333333333,2,0.9625,55270.585876464844,2200,2,0.9625,54618.92253112793,2200,2,0.9625,39042.418533325195,2200,2,0.9625,6358.452224731445,2200,2,0.9625,19111.799255371094,2127,3193,2193,2188,2196,2171,2061,2195,2129,2126,2195,2194,2182,2191,2168,2176,0,3.22580623626709,3.3333334922790527,6.25,0,3.22580623626709,0,3.22580623626709,3.22580623626709,3.22580623626709,3.22580623626709,12.90322494506836,0,3.125,3.22580623626709,3.3333334922790527,16665841664,4294963200,860835840,283377664
999,1744964777737,379.0426025390625,3975,0,1.2875,52462.351135253906,3975,0,1.2875,25290.729934692383,3975,0,1.2875,47357.950134277344,3975,0,1.2875,55277.089416503906,3975,0,1.2875,54630.66735839844,3975,0,1.2875,39046.80619812012,3975,0,1.2875,6364.128173828125,3975,0,1.2875,19175.46221923828,2127,3193,2193,2188,2196,2171,2061,2195,2129,2126,2195,2194,2182,2191,2168,2176,21.212121963500977,29,7.920792102813721,56.56565475463867,21.212121963500977,94.94949340820313,29.59183692932129,9,54.455448150634766,7,60.60606384277344,0,20,49.49494934082031,60.39603805541992,56,16665841664,4294963200,1121390592,283377664
999,1744964778737,387.50494384765625,2100,2,1.4125,52470.94822692871,4200,0,1.4125,25296.570709228516,2800,2,1.4125,47365.8317565918,2100,2,1.4125,55283.50178527832,2100,2,1.4125,54642.28854370117,4200,0,1.4125,39054.13816833496,2100,2,1.4125,6370.400146484375,2100,2,1.4125,19249.59979248047,2127,3193,2193,2188,2196,2171,2061,2195,2129,2126,2195,2194,2182,2191,2168,2176,65.65657043457031,19.387754440307617,0,79,6,98.01980590820313,6.060606002807617,0,67.67676544189453,19.191919326782227,66.33663177490234,0,72.44898223876953,68,55,71.2871322631836,16665841664,4294963200,1242152960,283377664
999,1744964779737,391.8877716064453,4200,0,1.425,52473.37586975098,2100,2,1.425,25297.008682250977,2100,2,1.425,47368.33506774902,2100,2,1.4312500000000001,55285.53332519531,2100,2,1.4312500000000001,54656.382400512695,4200,0,1.4312500000000001,39059.441009521484,2100,2,1.4312500000000001,6373.641754150391,2100,2,1.4312500000000001,19298.462448120117,2127,3193,2193,2188,2196,2171,2061,2195,2129,2126,2195,2194,2182,2191,2168,2176,31.632652282714844,17,1.9801980257034302,17,1,98.98989868164063,12.87128734588623,2,0,3.9603960514068604,15.15151596069336,3.0303030014038086,35.29411697387695,24,3,0,16665841664,4294963200,1306656768,283377664
999,1744964780738,395.03590393066406,2200,2,1.45,52474.99574279785,2200,2,1.45,25297.147918701172,2200,2,1.45,47368.488845825195,2200,2,1.45,55285.64952087402,2112.5,2,1.45,54671.6018371582,4225,0,1.48125,39060.93211364746,2112.5,2,1.48125,6374.076736450195,2112.5,2,1.48125,19335.259689331055,2127,3193,2193,2188,2196,2171,2061,2195,2129,2126,2195,2194,2182,2191,2168,2176,2,13.13131332397461,1,0.9900990128517151,0,98.01980590820313,0,0.9900990128517151,1,0,0,1.9801980257034302,9.090909004211426,0,22,0.9900990128517151,16665841664,4294963200,1374781440,283377664
999,1744964781738,395.7170104980469,2200,2,1.425,52475.08467102051,2200,2,1.425,25297.241912841797,2200,2,1.425,47368.542739868164,2200,2,1.425,55285.705078125,2100,2,1.425,54686.803131103516,4200,0,1.425,39060.972412109375,2100,2,1.425,6374.124786376953,2100,2,1.425,19364.863174438477,2127,3193,2193,2188,2196,2171,2061,2195,2129,2126,2195,2194,2182,2191,2168,2176,6.93069314956665,0,0,0,0,100,0,0,0,0,0.9900990128517151,0,0,0,0,0,16665841664,4294963200,1374781440,283377664
999,1744964782738,396.9386291503906,4250,0,1.4125,52475.16059875488,2100,2,1.4125,25297.34797668457,2100,2,1.4125,47368.606674194336,2100,2,1.4125,55285.76414489746,2100,2,1.4125,54702.103088378906,4200,0,1.4125,39061.02217102051,2100,2,1.4125,6374.1651611328125,2100,2,1.4125,19395.372940063477,2127,3193,2193,2188,2196,2171,2061,2195,2129,2126,2195,2194,2182,2191,2168,2176,11.111111640930176,0,0,0,0,99.00990295410156,0,0,0,0.9900990128517151,0,0,0,0,0,0,16665841664,4294963200,1360736256,283377664
999,1744964783738,400.19847106933594,2200,2,1.4375,52475.23425292969,2200,2,1.4375,25297.44744873047,2200,2,1.4375,47368.66148376465,2200,2,1.4375,55285.83299255371,2100,2,1.4375,54717.36686706543,4200,0,1.4375,39061.0643157959,2100,2,1.4375,6374.222854614258,2100,2,1.4375,19428.143798828125,2127,3193,2193,2188,2196,2171,2061,2195,2129,2126,2195,2194,2182,2191,2168,2176,28,0,0,0.9900990128517151,0,100,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,1360736256,283377664
999,1744964784738,401.5226745605469,2200,2,1.425,52475.30503845215,2200,2,1.425,25297.530364990234,2200,2,1.425,47368.732162475586,2200,2,1.425,55285.897064208984,2100,2,1.425,54732.74366760254,4200,0,1.425,39061.09800720215,2100,2,1.425,6374.277557373047,2100,2,1.425,19459.151397705078,2127,3193,2193,2188,2196,2171,2061,2195,2129,2126,2195,2194,2182,2191,2168,2176,10.1010103225708,0,0.9900990128517151,0,0,99,0,0,0,1,0,0.9900990128517151,0,0,0,0,16665841664,4294963200,1360736256,283377664
