Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745056617168,53129.57601928711,2200,2,0.85,22095.788497924805,2200,2,0.85,3543.670364379883,2200,2,0.85,26742.25650024414,2200,2,0.85,40488.34141540527,2200,2,0.85,28585.671127319336,2200,2,0.84375,11180.529083251953,2200,2,0.84375,52382.766540527344,2200,2,0.84375,15447.67512512207,2128,3188,2128,2122,2192,1957,2193,2066,2077,2129,2194,2154,2195,2016,2126,3193,6.45161247253418,0,0,3.3333334922790527,3.3333334922790527,3.22580623626709,0,3.22580623626709,6.45161247253418,6.6666669845581055,0,0,3.22580623626709,0,6.45161247253418,3.3333334922790527,16665841664,4294963200,871858176,294125568
999,1745056617168,53129.57926940918,2200,2,0.84375,22095.788635253906,2200,2,0.84375,3543.6704864501953,2200,2,0.84375,26742.256591796875,2200,2,0.84375,40488.34217834473,2200,2,0.84375,28585.67121887207,2200,2,0.84375,11180.529251098633,2200,2,0.85,52382.766677856445,2200,2,0.85,15447.695831298828,2128,3188,2128,2122,2192,1957,2193,2066,2077,2129,2194,2154,2195,2016,2126,3193,6.45161247253418,0,0,3.3333334922790527,3.3333334922790527,3.22580623626709,0,3.22580623626709,6.45161247253418,6.6666669845581055,0,0,3.22580623626709,0,6.45161247253418,3.3333334922790527,16665841664,4294963200,871858176,294125568
999,1745056618168,53141.36994934082,3975,0,1.3125,22101.487686157227,3975,0,1.3125,3548.598373413086,3975,0,1.3125,26746.963653564453,3975,0,1.3125,40494.79084777832,3975,0,1.3125,28591.093383789063,3975,0,1.3125,11187.249954223633,3975,0,1.3125,52388.77235412598,3975,0,1.3125,15510.494277954102,2128,3188,2128,2122,2192,1957,2193,2066,2077,2129,2194,2154,2195,2016,2126,3193,8.08080768585205,53.46534729003906,58.41584014892578,52.475250244140625,33.333335876464844,30.000001907348633,72.7272720336914,60.60606384277344,0,0.9900990128517151,54.000003814697266,48.51485061645508,1,10,93.93939208984375,25.25252342224121,16665841664,4294963200,1135718400,294125568
998,1745056619170,53151.65400695801,3975,0,1.30625,22109.254272460938,3975,0,1.30625,3556.3980255126953,3975,0,1.30625,26755.165298461914,3975,0,1.30625,40503.52980041504,3975,0,1.30625,28599.712860107422,3975,0,1.30625,11195.418869018555,3975,0,1.30625,52398.173904418945,3975,0,1.30625,15589.21858215332,2128,3188,2128,2122,2192,1957,2193,2066,2077,2129,2194,2154,2195,2016,2126,3193,51.020408630371094,86.73469543457031,54.000003814697266,98.01980590820313,83,3.0612244606018066,94,91.089111328125,41.836734771728516,8.08080768585205,52.475250244140625,100,0,58.41584014892578,50,3.0303030014038086,16665841664,4294963200,1275064320,294125568
999,1745056620168,53164.606689453125,4250,0,1.41875,22115.462432861328,2125,2,1.41875,3559.6962890625,2125,2,1.41875,26758.599166870117,2125,2,1.41875,40507.96075439453,2200,2,1.41875,28602.79931640625,2200,2,1.41875,11201.069244384766,2200,2,1.41875,52402.122009277344,2200,2,1.41875,15645.524169921875,2128,3188,2128,2122,2192,1957,2193,2066,2077,2129,2194,2154,2195,2016,2126,3193,2.0618555545806885,61.386138916015625,2.0202019214630127,33.67346954345703,39,2.0202019214630127,57,29.29292869567871,33,1.0101009607315063,5.0505051612854,30.000001907348633,1.9607844352722168,33.333335876464844,100,3.0303030014038086,16665841664,4294963200,1349632000,294125568
1000,1745056621168,53179.84245300293,4300,0,1.45625,22115.751403808594,2150,2,1.45625,3560.3551177978516,2150,2,1.45625,26758.70817565918,2150,2,1.45625,40508.54037475586,2133.333333333333,2,1.45625,28602.927536010742,2133.333333333333,2,1.45625,11201.57876586914,2133.333333333333,2,1.45625,52405.806900024414,3200,1,1.45625,15680.743576049805,2128,3188,2128,2122,2192,1957,2193,2066,2077,2129,2194,2154,2195,2016,2126,3193,1,1,0.9900990128517151,0,1,1,1,18,6,0,4,0.9900990128517151,0,12,99.00990295410156,0,16665841664,4294963200,1416724480,294125568
999,1745056622169,53195.380950927734,4275,0,1.45625,22115.8018951416,2137.5,2,1.45625,3560.5416107177734,2137.5,2,1.45625,26758.79164123535,2137.5,2,1.45625,40508.601318359375,2137.5,2,1.45625,28603.0106048584,2137.5,2,1.45625,11201.670135498047,2137.5,2,1.45625,52408.192810058594,4275,0,1.45625,15713.207824707031,2128,3188,2128,2122,2192,1957,2193,2066,2077,2129,2194,2154,2195,2016,2126,3193,1,0,0,0.9900990128517151,0,0.9900990128517151,0,16.1616153717041,0,1,0,0,1,0,100,0.9900990128517151,16665841664,4294963200,1416724480,294125568
999,1745056623169,53196.529525756836,2200,2,1.44375,22115.848236083984,2200,2,1.44375,3560.639114379883,2200,2,1.44375,26758.875747680664,2200,2,1.44375,40522.83003234863,4150,0,1.44375,28603.063507080078,2075,2,1.44375,11201.734008789063,2075,2,1.44375,52409.93565368652,2766.666666666667,2,1.44375,15744.125915527344,2128,3188,2128,2122,2192,1957,2193,2066,2077,2129,2194,2154,2195,2016,2126,3193,0.9900990128517151,0,0,0,0,0,0.9900990128517151,9.90099048614502,0,0,94,0,0,0,5.94059419631958,0,16665841664,4294963200,1393278976,294125568
998,1745056624170,53207.47506713867,4275,0,1.46875,22115.911911010742,2137.5,2,1.46875,3560.706985473633,2137.5,2,1.46875,26758.96435546875,2137.5,2,1.46875,40527.58656311035,2000,2,1.46875,28603.125610351563,2000,2,1.44375,11201.79118347168,2000,2,1.44375,52413.03028869629,3000,2,1.44375,15777.140350341797,2128,3188,2128,2122,2192,1957,2193,2066,2077,2129,2194,2154,2195,2016,2126,3193,70,0,0,0,0,0,0,21,0,0.9803922176361084,29,0,0,0,0,0,16665841664,4294963200,1393270784,294125568
1000,1745056625169,53222.949462890625,4275,0,1.425,22115.978805541992,2137.5,2,1.425,3560.766311645508,2137.5,2,1.425,26759.03839111328,2137.5,2,1.425,40527.649810791016,2125,2,1.44375,28603.186462402344,2125,2,1.44375,11201.851821899414,2125,2,1.44375,52413.90251159668,4250,0,1.44375,15807.614852905273,2128,3188,2128,2122,2192,1957,2193,2066,2077,2129,2194,2154,2195,2016,2126,3193,100,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,16665841664,4294963200,1393270784,294125568
