Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744911106762,25072.740325927734,2133.333333333333,2,0.9125,58758.08280944824,3000,1,0.9125,38557.44998168945,2000,2,0.95625,53859.99696350098,2000,2,0.95625,11424.399810791016,2200,2,0.95625,58483.367752075195,2200,2,0.95625,42121.75093078613,2200,2,0.95625,6534.508865356445,2200,2,0.95625,38172.19938659668,2077,2177,2194,2188,2178,2188,2184,2116,2151,2137,2182,2185,2105,2176,2177,2194,6.25,3.22580623626709,3.22580623626709,10,0,0,0,0,6.25,3.22580623626709,0,0,0,6.25,6.25,3.22580623626709,16665841664,4294963200,898220032,255328256
999,1744911106762,25072.740463256836,2133.333333333333,2,0.9125,58758.082931518555,3200,1,0.9125,38557.45391845703,2000,2,0.9125,53859.997146606445,2000,2,0.95625,11424.400009155273,2200,2,0.95625,58483.36795043945,2200,2,0.95625,42121.75112915039,2200,2,0.95625,6534.513320922852,2200,2,0.95625,38172.22686767578,2077,2177,2194,2188,2178,2188,2184,2116,2151,2137,2182,2185,2105,2176,2177,2194,6.25,3.22580623626709,3.22580623626709,10,0,0,0,0,6.25,3.22580623626709,0,0,0,6.25,6.25,3.22580623626709,16665841664,4294963200,898220032,255328256
999,1744911107762,25080.094772338867,4225,0,1.4375,58761.704177856445,2112.5,2,1.4375,38561.26965332031,2816.666666666667,2,1.4375,53867.310607910156,2816.666666666667,2,1.4375,11427.626113891602,2112.5,2,1.4375,58487.77925109863,2800,2,1.4375,42124.85858154297,4200,0,1.4375,6538.840805053711,4200,0,1.4375,38223.05522155762,2077,2177,2194,2188,2178,2188,2184,2116,2151,2137,2182,2185,2105,2176,2177,2194,53.53535461425781,23.232322692871094,21,27.000001907348633,6.93069314956665,19,26,34.34343338012695,27.272727966308594,36,24.24242401123047,24.75247573852539,2.97029709815979,6,5.0505051612854,13.13131332397461,16665841664,4294963200,1191399424,255328256
1000,1744911108762,25094.19319152832,4250,0,1.4,58761.84422302246,2125,2,1.4,38561.59379577637,2125,2,1.4,53867.51397705078,2125,2,1.4,11427.86589050293,2200,2,1.4,58487.934967041016,2200,2,1.4,42125.86560058594,2200,2,1.4,6540.089782714844,2200,2,1.4,38255.47087097168,2077,2177,2194,2188,2178,2188,2184,2116,2151,2137,2182,2185,2105,2176,2177,2194,5.0505051612854,0,3,1.0101009607315063,1.0101009607315063,1,4.040403842926025,2.97029709815979,1,0,0,0,1.0101009607315063,1.0101009607315063,93,0,16665841664,4294963200,1276911616,255328256
999,1744911109763,25095.49119567871,2162.5,2,1.46875,58761.96919250488,2162.5,2,1.46875,38575.45281982422,4325,0,1.46875,53868.11511230469,2162.5,2,1.46875,11428.568862915039,2200,2,1.46875,58488.04689025879,2200,2,1.46875,42126.60382080078,2200,2,1.46875,6540.8707275390625,2200,2,1.46875,38288.73889160156,2077,2177,2194,2188,2178,2188,2184,2116,2151,2137,2182,2185,2105,2176,2177,2194,5,1,2.0202019214630127,2,1.9801980257034302,0,5,2.0202019214630127,96.03960418701172,4,4,1,2,2,6,1,16665841664,4294963200,1416773632,255328256
999,1744911110763,25095.643997192383,2150,2,1.46875,58762.109313964844,2150,2,1.46875,38590.02476501465,4300,0,1.46875,53868.24719238281,2150,2,1.46875,11428.719299316406,2200,2,1.46875,58488.19203186035,2200,2,1.46875,42126.789459228516,2200,2,1.46875,6541.004440307617,2200,2,1.46875,38318.829498291016,2077,2177,2194,2188,2178,2188,2184,2116,2151,2137,2182,2185,2105,2176,2177,2194,1,1,1.9801980257034302,1.9801980257034302,1.0101009607315063,0,1,0.9900990128517151,98,0,0.9900990128517151,1,1,1,0,1,16665841664,4294963200,1416773632,255328256
999,1744911111763,25095.875946044922,2150,2,1.4625000000000001,58762.34796142578,2150,2,1.4625000000000001,38604.46723937988,4300,0,1.4625000000000001,53868.39456176758,2150,2,1.4625000000000001,11428.787582397461,2200,2,1.4625000000000001,58488.3331451416,2200,2,1.4625000000000001,42126.997482299805,2200,2,1.4625000000000001,6541.129379272461,2200,2,1.4375,38349.369201660156,2077,2177,2194,2188,2178,2188,2184,2116,2151,2137,2182,2185,2105,2176,2177,2194,1.9801980257034302,2.0202019214630127,30.30303192138672,1.0101009607315063,0,0,2,0,70,0,0,1.0101009607315063,1,1.0101009607315063,1,0,16665841664,4294963200,1416773632,255328256
1000,1744911112763,25096.085388183594,2150,2,1.44375,58762.42140197754,2150,2,1.44375,38618.9503326416,4300,0,1.44375,53868.561614990234,2150,2,1.44375,11428.824905395508,2200,2,1.44375,58488.48742675781,2200,2,1.44375,42127.50988769531,2200,2,1.44375,6541.278564453125,2200,2,1.44375,38379.90657043457,2077,2177,2194,2188,2178,2188,2184,2116,2151,2137,2182,2185,2105,2176,2177,2194,2,0,4,1.9801980257034302,0,0,4,0,98,1,0,1.9801980257034302,2,1.9801980257034302,1.0101009607315063,0.9900990128517151,16665841664,4294963200,1416773632,255328256
1000,1744911113763,25096.251434326172,2125,2,1.4375,58762.57211303711,2125,2,1.4375,38633.495056152344,4250,0,1.4375,53868.72978210449,2125,2,1.4375,11428.960632324219,2125,2,1.4375,58488.6428527832,2125,2,1.4375,42128.28923034668,4250,0,1.4375,6541.315475463867,2125,2,1.4375,38410.596588134766,2077,2177,2194,2188,2178,2188,2184,2116,2151,2137,2182,2185,2105,2176,2177,2194,0,1.9801980257034302,1.9801980257034302,1.0101009607315063,1.9801980257034302,1.0101009607315063,7,0,100,2,0,1,1,0,1.9801980257034302,0,16665841664,4294963200,1420644352,255328256
999,1744911114764,25096.456665039063,2125,2,1.4312500000000001,58762.72691345215,2125,2,1.4312500000000001,38648.061935424805,4250,0,1.4312500000000001,53868.88342285156,2125,2,1.4312500000000001,11429.105209350586,2125,2,1.4312500000000001,58488.79431152344,2125,2,1.4312500000000001,42130.05937194824,4250,0,1.4312500000000001,6541.467391967773,2125,2,1.4312500000000001,38442.74755859375,2077,2177,2194,2188,2178,2188,2184,2116,2151,2137,2182,2185,2105,2176,2177,2194,1,1,0,1,1.0101009607315063,1.9801980257034302,6.93069314956665,1,99.00990295410156,0,0,0,1,1,1,0.9900990128517151,16665841664,4294963200,1420443648,255328256
