Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744910128717,22739.93342590332,2200,2,0.85,56918.25703430176,2200,2,0.85,37380.92805480957,2200,2,0.84375,53444.65330505371,2200,2,0.84375,10170.385650634766,2200,2,0.84375,57625.74200439453,2200,2,0.84375,41793.70735168457,2200,2,0.84375,5583.0084228515625,2200,2,0.84375,19493.764846801758,2126,3192,2128,2130,2192,2139,2173,2194,2194,2129,2195,2106,2183,2178,2053,2193,0,3.22580623626709,0,0,0,0,6.25,3.22580623626709,3.22580623626709,3.3333334922790527,6.25,3.22580623626709,0,3.3333334922790527,6.45161247253418,9.67741870880127,16665841664,4294963200,896647168,255590400
999,1744910128718,22739.933532714844,2200,2,0.85,56918.26036071777,2200,2,0.85,37380.92817687988,2200,2,0.85,53444.653411865234,2200,2,0.84375,10170.38916015625,2200,2,0.84375,57625.74217224121,2200,2,0.84375,41793.70751953125,2200,2,0.84375,5583.008560180664,2200,2,0.84375,19493.79150390625,2126,3192,2128,2130,2192,2139,2173,2194,2194,2129,2195,2106,2183,2178,2053,2193,0,3.22580623626709,0,0,0,0,6.25,3.22580623626709,3.22580623626709,3.3333334922790527,6.25,3.22580623626709,0,3.3333334922790527,6.45161247253418,9.67741870880127,16665841664,4294963200,897134592,255590400
999,1744910129718,22743.283920288086,2125,2,1.4375,56923.16665649414,2833.333333333333,2,1.4375,37391.23957824707,4250,0,1.4375,53448.35954284668,2833.333333333333,2,1.4375,10174.042205810547,2833.333333333333,2,1.425,57630.37145996094,4250,0,1.425,41797.45657348633,2833.333333333333,2,1.425,5586.166320800781,2833.333333333333,2,1.425,19544.727569580078,2126,3192,2128,2130,2192,2139,2173,2194,2194,2129,2195,2106,2183,2178,2053,2193,16,20.2020206451416,6.93069314956665,31.37255096435547,8.91089153289795,31,13.13131332397461,9.090909004211426,74,8,23.469388961791992,22.77227783203125,23.76237678527832,19.80198097229004,21,25.74257469177246,16665841664,4294963200,1191194624,255590400
999,1744910130718,22743.586395263672,2150,2,1.4312500000000001,56923.43278503418,2150,2,1.4312500000000001,37405.3369140625,4300,0,1.4312500000000001,53448.78504943848,2150,2,1.4312500000000001,10174.309463500977,2200,2,1.4312500000000001,57631.42378234863,2200,2,1.4312500000000001,41798.002044677734,2200,2,1.4312500000000001,5587.390594482422,2200,2,1.4312500000000001,19577.968017578125,2126,3192,2128,2130,2192,2139,2173,2194,2194,2129,2195,2106,2183,2178,2053,2193,0,2,2,1,2,7,1.0101009607315063,0,97,3,2,1,4,5.0505051612854,2.0202019214630127,0,16665841664,4294963200,1270091776,255590400
999,1744910131718,22743.902389526367,2162.5,2,1.44375,56923.56042480469,2162.5,2,1.44375,37419.09945678711,4300,0,1.48125,53449.21681213379,2150,2,1.48125,10174.575164794922,2200,2,1.48125,57631.79252624512,2200,2,1.48125,41798.86526489258,2200,2,1.48125,5588.084991455078,2200,2,1.48125,19609.711166381836,2126,3192,2128,2130,2192,2139,2173,2194,2194,2129,2195,2106,2183,2178,2053,2193,0,0,2,0,2,1,2.97029709815979,2.97029709815979,97.97979736328125,3,2,0,2,2.97029709815979,1.9801980257034302,0,16665841664,4294963200,1489686528,255590400
999,1744910132718,22744.009872436523,2150,2,1.4375,56923.62901306152,2150,2,1.4375,37433.504943847656,4300,0,1.4375,53449.30847167969,2150,2,1.4375,10174.68701171875,2200,2,1.4375,57631.89352416992,2200,2,1.4375,41798.963958740234,2200,2,1.4375,5588.181533813477,2200,2,1.4375,19639.35073852539,2126,3192,2128,2130,2192,2139,2173,2194,2194,2129,2195,2106,2183,2178,2053,2193,0,0,1,0,1,0.9900990128517151,1,0,99,1,1,0,0,0,0,0,16665841664,4294963200,1489686528,255590400
999,1744910133718,22744.23275756836,2150,2,1.45,56923.85855102539,2150,2,1.45,37447.73062133789,4300,0,1.45,53449.46147155762,2150,2,1.45,10174.832580566406,2200,2,1.45,57632.041427612305,2200,2,1.45,41799.10679626465,2200,2,1.45,5588.308181762695,2200,2,1.45,19669.247634887695,2126,3192,2128,2130,2192,2139,2173,2194,2194,2129,2195,2106,2183,2178,2053,2193,2,2,1,1,0,1.0101009607315063,1,1.0101009607315063,98.01980590820313,1,1,1.9801980257034302,1.9801980257034302,1,0,1.9801980257034302,16665841664,4294963200,1489686528,255590400
999,1744910134718,22744.353302001953,2150,2,1.45,56924.02088928223,2150,2,1.45,37462.02046203613,4300,0,1.45,53449.582748413086,2150,2,1.45,10174.990432739258,2200,2,1.45,57632.186111450195,2200,2,1.45,41799.23643493652,2200,2,1.45,5588.438415527344,2200,2,1.45,19699.093872070313,2126,3192,2128,2130,2192,2139,2173,2194,2194,2129,2195,2106,2183,2178,2053,2193,0,2,2,1.9801980257034302,0,1,1.0101009607315063,1,98,0,1.9801980257034302,1,1,1,0,1.0101009607315063,16665841664,4294963200,1488769024,255590400
1000,1744910135718,22744.487197875977,2150,2,1.46875,56924.16439819336,2150,2,1.46875,37476.31532287598,4300,0,1.46875,53449.6940612793,2150,2,1.46875,10175.108535766602,2200,2,1.46875,57632.30667114258,2200,2,1.46875,41799.35055541992,2200,2,1.46875,5588.553985595703,2200,2,1.46875,19728.647552490234,2126,3192,2128,2130,2192,2139,2173,2194,2194,2129,2195,2106,2183,2178,2053,2193,0,1,1,1,0,1,1,1.9801980257034302,99.00990295410156,0,0,1,1,1.9801980257034302,1.9801980257034302,1,16665841664,4294963200,1487716352,255590400
1000,1744910136719,22744.708236694336,2100,2,1.4312500000000001,56924.81527709961,2100,2,1.4312500000000001,37490.71025085449,4200,0,1.4312500000000001,53449.81001281738,2100,2,1.4312500000000001,10176.484085083008,4200,0,1.4312500000000001,57632.43197631836,2100,2,1.4312500000000001,41799.49934387207,2100,2,1.4312500000000001,5588.689056396484,2100,2,1.4312500000000001,19760.81706237793,2126,3192,2128,2130,2192,2139,2173,2194,2194,2129,2195,2106,2183,2178,2053,2193,1.0101009607315063,6,87,1,0,1,1,1,13,0,10,1,1,1,1,1,16665841664,4294963200,1487060992,255590400
