Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744911471739,26093.665802001953,2200,2,0.81875,58822.206314086914,2200,2,0.81875,39482.71501159668,2200,2,0.81875,54028.608810424805,2200,2,0.84375,11877.162734985352,2200,2,0.84375,58743.49609375,2200,2,0.84375,42286.853088378906,2200,2,0.84375,6701.372222900391,2200,2,0.84375,44978.32356262207,2128,2138,2128,2128,1981,2195,2189,2192,2196,2187,2007,2122,2031,2176,2101,2762,0,0,0,3.3333334922790527,3.22580623626709,0,9.67741870880127,0,0,3.22580623626709,3.22580623626709,0,3.22580623626709,3.22580623626709,6.25,3.22580623626709,16665841664,4294963200,890753024,255328256
999,1744911471740,26093.665985107422,2200,2,0.85,58822.2078704834,2200,2,0.85,39482.7151184082,2200,2,0.85,54028.60891723633,2200,2,0.85,11877.162902832031,2200,2,0.85,58743.4962310791,2200,2,0.85,42286.85641479492,2200,2,0.85,6701.372375488281,2200,2,0.85,44978.34635925293,2128,2138,2128,2128,1981,2195,2189,2192,2196,2187,2007,2122,2031,2176,2101,2762,0,0,0,3.3333334922790527,3.22580623626709,0,9.67741870880127,0,0,3.22580623626709,3.22580623626709,0,3.22580623626709,3.22580623626709,6.25,3.22580623626709,16665841664,4294963200,890753024,255328256
1000,1744911472740,26096.977249145508,2200,2,1.45,58824.731521606445,2200,2,1.45,39487.65037536621,2200,2,1.45,54031.716796875,2200,2,1.45,11880.463012695313,4175,0,1.45,58746.36390686035,4175,0,1.45,42299.57231140137,4175,0,1.45,6705.23844909668,4175,0,1.45,45027.75520324707,2128,2138,2128,2128,1981,2195,2189,2192,2196,2187,2007,2122,2031,2176,2101,2762,25,6.93069314956665,41.41414260864258,26.47058868408203,1.9607844352722168,22.77227783203125,88.23529815673828,7.920792102813721,8.91089153289795,3.9603960514068604,29.411766052246094,1.9801980257034302,21,26.73267364501953,10,16,16665841664,4294963200,1186512896,255328256
999,1744911473740,26097.68780517578,2200,2,1.4312500000000001,58824.993576049805,2200,2,1.4312500000000001,39488.3385925293,2200,2,1.4312500000000001,54032.03517150879,2200,2,1.4312500000000001,11880.626571655273,2100,2,1.4312500000000001,58746.56288146973,2800,2,1.4312500000000001,42313.46374511719,4200,0,1.4312500000000001,6705.607437133789,2100,2,1.425,45059.05967712402,2128,2138,2128,2128,1981,2195,2189,2192,2196,2187,2007,2122,2031,2176,2101,2762,6,0,4.901960849761963,0,0,0,99,0,1.9801980257034302,1.9801980257034302,0,0,0,0,0,2,16665841664,4294963200,1272598528,255328256
999,1744911474740,26098.864196777344,2200,2,1.4312500000000001,58825.44319152832,2200,2,1.4312500000000001,39489.1817779541,2200,2,1.4312500000000001,54032.28141784668,2200,2,1.4312500000000001,11880.848129272461,2100,2,1.4312500000000001,58746.60107421875,2800,2,1.4312500000000001,42327.079193115234,4200,0,1.4312500000000001,6706.273468017578,4200,0,1.4312500000000001,45090.854080200195,2128,2138,2128,2128,1981,2195,2189,2192,2196,2187,2007,2122,2031,2176,2101,2762,9.090909004211426,4,6.060606002807617,1,1.0101009607315063,0,100,4.95049524307251,2.97029709815979,2,0,0,0,0,2.97029709815979,2.97029709815979,16665841664,4294963200,1348722688,255328256
1000,1744911475740,26099.05078125,2200,2,1.4375,58825.53924560547,2200,2,1.4375,39489.316177368164,2200,2,1.4375,54032.37794494629,2200,2,1.4375,11880.919494628906,2112.5,2,1.4375,58746.63671875,2112.5,2,1.4375,42340.91940307617,4225,0,1.4375,6706.570602416992,2112.5,2,1.4375,45119.88037109375,2128,2138,2128,2128,1981,2195,2189,2192,2196,2187,2007,2122,2031,2176,2101,2762,0.9900990128517151,1,0,1,0,0,100,0,0,0,0,0,0,0,0,1,16665841664,4294963200,1489100800,255328256
999,1744911476741,26099.26824951172,2200,2,1.4375,58825.705963134766,2200,2,1.4375,39489.47985839844,2200,2,1.4375,54032.52944946289,2200,2,1.4375,11881.053131103516,2112.5,2,1.4375,58746.787033081055,2112.5,2,1.4375,42355.011306762695,4225,0,1.4375,6707.035232543945,2112.5,2,1.4375,45149.92707824707,2128,2138,2128,2128,1981,2195,2189,2192,2196,2187,2007,2122,2031,2176,2101,2762,2.0202019214630127,1,2,1,0,1,77,1,1,1,1,1,22,1,1,0,16665841664,4294963200,1489092608,255328256
999,1744911477741,26099.47039794922,2200,2,1.4312500000000001,58825.85661315918,2200,2,1.4312500000000001,39489.61094665527,2200,2,1.4312500000000001,54032.668685913086,2200,2,1.4312500000000001,11881.188873291016,2100,2,1.4312500000000001,58746.9045715332,2100,2,1.4312500000000001,42369.18852233887,4200,0,1.44375,6707.143585205078,2100,2,1.44375,45179.27781677246,2128,2138,2128,2128,1981,2195,2189,2192,2196,2187,2007,2122,2031,2176,2101,2762,1.9801980257034302,0,1,1,1,0,2,0,1,0,1,1,98,0,1,1.9801980257034302,16665841664,4294963200,1489092608,255328256
999,1744911478741,26099.646591186523,2200,2,1.4312500000000001,58826.02394104004,2200,2,1.4312500000000001,39489.74475097656,2200,2,1.4312500000000001,54032.81965637207,2200,2,1.4312500000000001,11881.32406616211,2112.5,2,1.4312500000000001,58747.05366516113,2112.5,2,1.4625000000000001,42383.22311401367,4225,0,1.4625000000000001,6707.258590698242,2112.5,2,1.4625000000000001,45208.36599731445,2128,2138,2128,2128,1981,2195,2189,2192,2196,2187,2007,2122,2031,2176,2101,2762,0,0,1,1.0101009607315063,1,1,1,0,2,1.9801980257034302,0,2,98,1,1.0101009607315063,1.0101009607315063,16665841664,4294963200,1489092608,255328256
999,1744911479741,26101.233917236328,2200,2,1.45625,58826.166107177734,2200,2,1.45625,39489.87609863281,2200,2,1.45625,54032.95486450195,2200,2,1.45625,11881.446151733398,2125,2,1.45625,58747.19317626953,2125,2,1.45625,42397.4483795166,4250,0,1.45625,6707.370635986328,2125,2,1.4625000000000001,45239.14503479004,2128,2138,2128,2128,1981,2195,2189,2192,2196,2187,2007,2122,2031,2176,2101,2762,13.13131332397461,0,1.0101009607315063,1.9801980257034302,1,1,1,1,1,1.0101009607315063,0,1,99,0,1,1,16665841664,4294963200,1489088512,255328256
