Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744857207091,44715.238220214844,2133.333333333333,2,0.95625,61796.53649902344,3200,1,0.95625,52890.575424194336,2133.333333333333,2,0.95625,63602.89659118652,2133.333333333333,2,0.95625,41947.35450744629,2200,2,0.95625,614.1268768310547,2200,2,0.95625,53666.1397857666,2200,2,0.95625,6553.378128051758,2200,2,0.95625,5537.230331420898,2078,2807,2129,2164,2195,2012,2193,2195,2131,2128,2193,2021,2171,2193,2128,2157,0,3.3333334922790527,3.22580623626709,3.3333334922790527,12.90322494506836,6.45161247253418,3.22580623626709,3.22580623626709,0,6.45161247253418,3.3333334922790527,3.22580623626709,3.22580623626709,3.3333334922790527,3.22580623626709,0,16665841664,4294963200,910667776,242483200
1000,1744857207091,44715.24279785156,2133.333333333333,2,0.95625,61796.53672790527,3200,1,0.95625,52890.575622558594,2133.333333333333,2,0.95625,63602.89680480957,2133.333333333333,2,0.95625,41947.35890197754,2200,2,0.95625,614.1271514892578,2200,2,0.95625,53666.13996887207,2200,2,0.95625,6553.378723144531,2200,2,0.95625,5537.259140014648,2078,2807,2129,2164,2195,2012,2193,2195,2131,2128,2193,2021,2171,2193,2128,2157,0,3.3333334922790527,3.22580623626709,3.3333334922790527,12.90322494506836,6.45161247253418,3.22580623626709,3.22580623626709,0,6.45161247253418,3.3333334922790527,3.22580623626709,3.22580623626709,3.3333334922790527,3.22580623626709,0,16665841664,4294963200,911183872,242483200
999,1744857208091,44719.00840759277,2000,2,1.4312500000000001,61800.26234436035,3000,2,1.4312500000000001,52893.305755615234,3000,2,1.4312500000000001,63606.46212768555,3000,2,1.4312500000000001,41951.98498535156,2800,2,1.4312500000000001,616.2996826171875,2100,2,1.4312500000000001,53676.923583984375,4200,0,1.4312500000000001,6557.879653930664,2100,2,1.4312500000000001,5585.877639770508,2078,2807,2129,2164,2195,2012,2193,2195,2131,2128,2193,2021,2171,2193,2128,2157,27.7227725982666,29.702970504760742,7.920792102813721,24.75247573852539,24.24242401123047,0,76.7676773071289,33.333335876464844,21.782176971435547,16,14.851485252380371,16.831682205200195,16,7.070706844329834,8.08080768585205,13.8613862991333,16665841664,4294963200,1287163904,242483200
999,1744857209091,44719.29447937012,2133.333333333333,2,1.425,61800.82615661621,3200,1,1.425,52893.486068725586,2133.333333333333,2,1.425,63606.62934875488,2133.333333333333,2,1.425,41952.30842590332,2100,2,1.425,616.348876953125,2100,2,1.425,53690.93424987793,4200,0,1.425,6558.460311889648,2100,2,1.425,5615.803176879883,2078,2807,2129,2164,2195,2012,2193,2195,2131,2128,2193,2021,2171,2193,2128,2157,1.0101009607315063,5,1,0,0,0,98,4.95049524307251,1,1,3,0,2,0,1,1,16665841664,4294963200,1353216000,242483200
999,1744857210091,44720.0040435791,2200,2,1.45625,61801.476623535156,2200,2,1.45625,52894.12339782715,2200,2,1.45625,63607.260818481445,2200,2,1.45625,41952.69526672363,2112.5,2,1.45625,616.4735717773438,2112.5,2,1.45625,53704.94026184082,4225,0,1.45625,6559.438140869141,2112.5,2,1.45625,5648.0977783203125,2078,2807,2129,2164,2195,2012,2193,2195,2131,2128,2193,2021,2171,2193,2128,2157,5,4,1,5,0.9900990128517151,0.9900990128517151,98,2.0202019214630127,5,1.0101009607315063,2,1,2,0.9900990128517151,1.9801980257034302,2,16665841664,4294963200,1444048896,242483200
999,1744857211091,44720.15426635742,2000,2,1.4375,61801.59489440918,3000,2,1.4375,52894.235092163086,2000,2,1.4375,63607.374099731445,2000,2,1.4375,41952.83020019531,2100,2,1.4375,616.5878448486328,2100,2,1.4375,53719.105545043945,4200,0,1.4375,6559.541305541992,2100,2,1.4375,5676.613845825195,2078,2807,2129,2164,2195,2012,2193,2195,2131,2128,2193,2021,2171,2193,2128,2157,1.0101009607315063,1,1,1,0,1,99,0,1,1,1,1,1,1,1,1,16665841664,4294963200,1444048896,242483200
999,1744857212092,44720.36317443848,2200,2,1.44375,61801.743423461914,2200,2,1.44375,52894.37072753906,2200,2,1.44375,63607.68115234375,2200,2,1.44375,41952.97250366211,2112.5,2,1.44375,617.003662109375,2112.5,2,1.44375,53733.11198425293,4225,0,1.44375,6559.666717529297,2112.5,2,1.44375,5705.809387207031,2078,2807,2129,2164,2195,2012,2193,2195,2131,2128,2193,2021,2171,2193,2128,2157,1,1,0,3,0,1.0101009607315063,99,0.9900990128517151,1,1,1,3,0,1.0101009607315063,0,1,16665841664,4294963200,1444048896,242483200
999,1744857213092,44720.53125,2200,2,1.44375,61801.86584472656,2200,2,1.44375,52894.47900390625,2200,2,1.44375,63607.81199645996,2200,2,1.4312500000000001,41953.087173461914,2100,2,1.4312500000000001,617.1159210205078,2100,2,1.4312500000000001,53747.17810058594,4200,0,1.4312500000000001,6559.771224975586,2100,2,1.4312500000000001,5734.139099121094,2078,2807,2129,2164,2195,2012,2193,2195,2131,2128,2193,2021,2171,2193,2128,2157,1.0101009607315063,1,0,1,0.9900990128517151,1,100,0,1,1,1,1,0,1,0,1,16665841664,4294963200,1441103872,242483200
1000,1744857214092,44720.69599914551,2000,2,1.46875,61801.98289489746,3000,2,1.4312500000000001,52894.58645629883,2000,2,1.4312500000000001,63608.062591552734,2000,2,1.4312500000000001,41953.2214050293,2100,2,1.4312500000000001,617.2329711914063,2100,2,1.4312500000000001,53761.18795776367,4200,0,1.4312500000000001,6559.8804931640625,2100,2,1.4312500000000001,5762.626495361328,2078,2807,2129,2164,2195,2012,2193,2195,2131,2128,2193,2021,2171,2193,2128,2157,1,1.0101009607315063,0,2,1.0101009607315063,1,100,0,1,1,0,1,0,1.9801980257034302,0,1,16665841664,4294963200,1440133120,242483200
999,1744857215092,44720.874084472656,2200,2,1.44375,61802.1365814209,2200,2,1.44375,52894.711196899414,2200,2,1.44375,63610.13803100586,2200,2,1.44375,41953.3815612793,2112.5,2,1.44375,617.3667297363281,2112.5,2,1.44375,53775.304763793945,4225,0,1.45,6560.016799926758,2112.5,2,1.45,5793.71533203125,2078,2807,2129,2164,2195,2012,2193,2195,2131,2128,2193,2021,2171,2193,2128,2157,1,1,0,17,1.9801980257034302,1,99.00990295410156,0,2,1,0,1,0,1,0,1,16665841664,4294963200,1439129600,242483200
