Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745004754181,18086.196746826172,2200,2,0.85,32328.507369995117,2200,2,0.85,6841.090393066406,2200,2,0.85,34962.091552734375,2200,2,0.85,2106.9825592041016,2200,2,0.85,36257.90998840332,2200,2,0.85,20484.532302856445,2200,2,0.85,54565.91539001465,2200,2,0.85,3371.8326110839844,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,0,0,0,3.7037036418914795,3.5714287757873535,0,0,3.7037036418914795,0,0,0,7.692307949066162,3.7037036418914795,3.7037036418914795,0,3.7037036418914795,16665841664,4294963200,862691328,293863424
999,1745004754181,18086.196975708008,2133.333333333333,2,0.84375,32328.50747680664,3200,1,0.84375,6841.0921630859375,2133.333333333333,2,0.84375,34962.0916595459,2133.333333333333,2,0.84375,2106.982696533203,2200,2,0.84375,36257.91014099121,2200,2,0.95625,20484.532455444336,2200,2,0.95625,54565.9192199707,2200,2,0.95625,3371.8598022460938,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,0,0,0,3.7037036418914795,3.5714287757873535,0,0,3.7037036418914795,0,0,0,7.692307949066162,3.7037036418914795,3.7037036418914795,0,3.7037036418914795,16665841664,4294963200,862691328,293863424
999,1745004755181,18089.88201904297,2075,2,1.41875,32331.980377197266,4150,0,1.41875,6845.228439331055,4150,0,1.41875,34965.28300476074,2075,2,1.41875,2110.0947875976563,2766.666666666667,2,1.41875,36260.49499511719,2766.666666666667,2,1.41875,20488.545959472656,4150,0,1.41875,54578.774353027344,4150,0,1.41875,3422.4767456054688,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,31,24,7.070706844329834,9,21.212121963500977,10.784314155578613,9.90099048614502,33,28.712871551513672,19.80198097229004,11.88118839263916,10,26,73,6.93069314956665,14.141413688659668,16665841664,4294963200,1171251200,293863424
999,1745004756182,18090.143264770508,2133.333333333333,2,1.4375,32332.679580688477,3200,1,1.4375,6845.53857421875,2133.333333333333,2,1.4375,34965.47003173828,2133.333333333333,2,1.4375,2110.1473846435547,2100,2,1.425,36260.60304260254,2100,2,1.425,20489.00926208496,2100,2,1.425,54592.760162353516,4200,0,1.425,3452.9712829589844,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,1,4,0,0,0,0,0,2,1,2,0,0.9900990128517151,2,98,1,0,16665841664,4294963200,1314209792,293863424
999,1745004757182,18090.46305847168,2133.333333333333,2,1.4375,32332.90414428711,3200,1,1.4375,6846.00927734375,2133.333333333333,2,1.4375,34966.029052734375,2133.333333333333,2,1.4375,2110.2799682617188,2112.5,2,1.4375,36261.37921142578,2112.5,2,1.4375,20489.468231201172,2112.5,2,1.4375,54606.85330200195,4225,0,1.4375,3484.2433013916016,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,2.0202019214630127,2,0.9900990128517151,1.9801980257034302,0,0,0,1.9801980257034302,5,5,1.0101009607315063,6.060606002807617,3.0303030014038086,99,1,1,16665841664,4294963200,1396785152,293863424
999,1745004758182,18090.614776611328,2133.333333333333,2,1.4312500000000001,32333.053176879883,3200,1,1.4312500000000001,6846.159194946289,2133.333333333333,2,1.4312500000000001,34966.169525146484,2133.333333333333,2,1.4312500000000001,2110.399673461914,2112.5,2,1.4312500000000001,36261.51777648926,2112.5,2,1.4375,20489.58871459961,2112.5,2,1.4375,54621.22021484375,4225,0,1.4375,3513.6163635253906,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,0,1.0101009607315063,0,1.0101009607315063,0,0,0,90.90909576416016,1,1,1,1,1.9801980257034302,10,1,2,16665841664,4294963200,1396785152,293863424
999,1745004759182,18090.765045166016,2133.333333333333,2,1.4375,32333.187774658203,3200,1,1.4375,6846.375061035156,2133.333333333333,2,1.4375,34966.29347229004,2133.333333333333,2,1.4375,2110.5111389160156,2112.5,2,1.4375,36261.73112487793,2112.5,2,1.4375,20489.701766967773,2112.5,2,1.4375,54635.497970581055,4225,0,1.4375,3543.3553466796875,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,0,1.9801980257034302,0.9900990128517151,1,0,0,0,100,2,1,1,2,1,1,1,1,16665841664,4294963200,1396785152,293863424
999,1745004760182,18090.943634033203,2133.333333333333,2,1.4375,32333.33023071289,3200,1,1.4375,6846.7318115234375,2133.333333333333,2,1.4375,34966.43698120117,2133.333333333333,2,1.4375,2110.632614135742,2112.5,2,1.4375,36261.877212524414,2112.5,2,1.4375,20489.80792236328,2112.5,2,1.4375,54649.8468170166,4225,0,1.4375,3573.2814178466797,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,0.9900990128517151,1,0,1,0,0,0,99,3.9603960514068604,1.0101009607315063,1,1.9801980257034302,1,1.0101009607315063,1.0101009607315063,1.9801980257034302,16665841664,4294963200,1391939584,293863424
999,1745004761182,18091.109329223633,2100,2,1.4375,32333.455596923828,2800,2,1.4375,6847.275588989258,4200,0,1.4375,34966.552978515625,2100,2,1.4375,2110.7692108154297,2100,2,1.4375,36262.01332092285,2100,2,1.4375,20489.932388305664,2100,2,1.4375,54664.20983886719,4200,0,1.4375,3603.3958129882813,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,1.0101009607315063,0,0,0,1.0101009607315063,2,1,100,6.060606002807617,1.9801980257034302,2,0,0,1.9801980257034302,1.9801980257034302,1.0101009607315063,16665841664,4294963200,1391939584,293863424
999,1745004762182,18091.281295776367,2133.333333333333,2,1.4375,32333.578491210938,3200,1,1.4375,6848.71435546875,2133.333333333333,2,1.4375,34966.659576416016,2133.333333333333,2,1.4375,2110.895217895508,2112.5,2,1.4375,36262.152114868164,2112.5,2,1.4375,20490.0439453125,2112.5,2,1.44375,54678.69610595703,4225,0,1.44375,3634.6389923095703,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,1,0,1,0,1,1,1,100,10,1,1,0,0,1,1,1,16665841664,4294963200,1391939584,293863424
999,1745004763182,18091.45738220215,2200,2,1.4375,32333.70083618164,2200,2,1.4375,6848.855361938477,2200,2,1.4375,34966.766860961914,2200,2,1.4375,2111.0155487060547,2112.5,2,1.4375,36262.26791381836,2112.5,2,1.4375,20490.15496826172,2112.5,2,1.4312500000000001,54692.956787109375,4225,0,1.4312500000000001,3664.2263946533203,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,2,0,0,0,1.9801980257034302,1,1,99,1.0101009607315063,1,1,0,0,1.0101009607315063,1.0101009607315063,1,16665841664,4294963200,1391403008,293863424
999,1745004764183,18091.633087158203,2200,2,1.44375,32333.834381103516,2200,2,1.44375,6849.000915527344,2133.333333333333,2,1.44375,34966.83654785156,2133.333333333333,2,1.45,2111.1461181640625,2100,2,1.45,36262.39810180664,2100,2,1.45,20490.19480895996,2100,2,1.45,54707.27624511719,4200,0,1.45,3693.8204956054688,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,1,1,0,0.9900990128517151,1,1,0,100,1.0101009607315063,0,1,1,0,1.9801980257034302,1,1,16665841664,4294963200,1390366720,293863424
999,1745004765183,18091.775650024414,2200,2,1.45,32333.94529724121,2200,2,1.45,6849.128707885742,2200,2,1.45,34966.96011352539,2200,2,1.45,2111.2623138427734,2112.5,2,1.45,36262.532287597656,2112.5,2,1.45,20490.287048339844,2112.5,2,1.45,54721.54669189453,4225,0,1.45,3723.3846740722656,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,1,1,0,1.0101009607315063,1,1,0,100,1.9801980257034302,0,1.9801980257034302,1,1,0.9900990128517151,1,0,16665841664,4294963200,1389019136,293863424
999,1745004766183,18091.93426513672,2200,2,1.4312500000000001,32334.082122802734,2200,2,1.4312500000000001,6849.277938842773,2200,2,1.4312500000000001,34967.1075592041,2200,2,1.4312500000000001,2111.4107513427734,2112.5,2,1.4312500000000001,36262.67498779297,2112.5,2,1.4312500000000001,20490.429763793945,2112.5,2,1.4312500000000001,54735.81677246094,4225,0,1.4312500000000001,3752.968246459961,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,1,1,0,1,2,1.0101009607315063,1.0101009607315063,100,1.9801980257034302,0,1,2,1.0101009607315063,0,1,0,16665841664,4294963200,1387208704,293863424
999,1745004767183,18092.094604492188,2200,2,1.4312500000000001,32334.200302124023,2200,2,1.4312500000000001,6849.4158935546875,2200,2,1.4312500000000001,34967.240982055664,2200,2,1.4312500000000001,2111.5211029052734,2112.5,2,1.4312500000000001,36262.80941772461,2112.5,2,1.4312500000000001,20490.563369750977,2100,2,1.46875,54750.137603759766,4200,0,1.46875,3782.5039672851563,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,1,0,0,1.9801980257034302,1,1.9801980257034302,1.9801980257034302,99.00990295410156,1.0101009607315063,0,0,1,1,0,2,1.0101009607315063,16665841664,4294963200,1385627648,293863424
999,1745004768183,18092.264373779297,2200,2,1.44375,32334.333419799805,2200,2,1.44375,6849.557220458984,2200,2,1.44375,34967.38162231445,2200,2,1.44375,2111.5867767333984,2112.5,2,1.44375,36262.96910095215,2112.5,2,1.44375,20490.700256347656,2100,2,1.475,54764.40168762207,4200,0,1.475,3811.9544525146484,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,1,0,0,1.0101009607315063,0,1,1,100,1.9801980257034302,0,0.9900990128517151,1,2.941176414489746,1,1,1,16665841664,4294963200,1384280064,293863424
999,1745004769183,18092.453689575195,2200,2,1.45,32334.45915222168,2200,2,1.45,6849.7686767578125,2200,2,1.45,34967.51705932617,2200,2,1.45,2111.694137573242,2112.5,2,1.45,36263.09469604492,2112.5,2,1.45,20490.841369628906,2112.5,2,1.45,54778.594146728516,4225,0,1.45,3841.5372924804688,2126,2794,2126,1937,2189,2195,2194,2116,2129,2084,2144,2193,2194,2195,2033,2455,1.0101009607315063,1,1,1,0,1.0101009607315063,1.0101009607315063,99,2,0,1,0,1.0101009607315063,2,1,0.9900990128517151,16665841664,4294963200,1383600128,293863424
