Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745022202579,45079.81427001953,2200,2,0.85,49796.302993774414,2200,2,0.85,26271.41111755371,2200,2,0.85,52879.60237121582,2200,2,0.85,37970.8563079834,2200,2,0.85,54263.96710205078,2200,2,0.85,39961.27299499512,2200,2,0.85,10346.951873779297,2200,2,0.85,23691.010330200195,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,3.125,3.125,6.25,3.125,3.0303030014038086,3.0303030014038086,5.882352828979492,6.060606002807617,0,11.764705657958984,3.0303030014038086,3.0303030014038086,3.125,0,3.0303030014038086,3.0303030014038086,16665841664,4294963200,883957760,290717696
999,1745022202579,45079.81442260742,2200,2,0.85,49796.303146362305,2200,2,0.85,26271.411254882813,2200,2,0.85,52879.60566711426,2200,2,0.85,37970.85646057129,2200,2,0.85,54263.96725463867,2200,2,0.85,39961.27310180664,2200,2,0.85,10346.955383300781,2200,2,0.85,23691.034866333008,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,3.125,3.125,6.25,3.125,3.0303030014038086,3.0303030014038086,5.882352828979492,6.060606002807617,0,11.764705657958984,3.0303030014038086,3.0303030014038086,3.125,0,3.0303030014038086,3.0303030014038086,16665841664,4294963200,883957760,290717696
999,1745022203579,45085.49462890625,4000,0,1.3125,49803.066650390625,4000,0,1.3125,26276.995666503906,4000,0,1.3125,52887.91961669922,4000,0,1.3125,37976.64790344238,4000,0,1.3125,54269.638595581055,4000,0,1.3125,39965.90106201172,4000,0,1.3125,10353.208755493164,4000,0,1.3125,23751.485885620117,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,9.183673858642578,0.9900990128517151,52.52525329589844,9.090909004211426,55,28.865978240966797,15.306122779846191,23,15.000000953674316,61.224491119384766,1,41,39.39393997192383,50,52.52525329589844,57.57575607299805,16665841664,4294963200,1102139392,290717696
999,1745022204579,45090.09344482422,2087.5,2,1.4312500000000001,49814.3974609375,4175,0,1.4312500000000001,26282.509307861328,4175,0,1.4312500000000001,52892.38623046875,4175,0,1.4312500000000001,37982.337142944336,2087.5,2,1.4312500000000001,54274.90734863281,4175,0,1.4312500000000001,39971.92985534668,4175,0,1.4312500000000001,10358.446411132813,2087.5,2,1.4312500000000001,23811.992904663086,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,12.121212005615234,6.122448921203613,7,44.5544548034668,23.232322692871094,38.38383865356445,39,41,47.47474670410156,3,36.633663177490234,17,46.46464538574219,12,44,99,16665841664,4294963200,1229598720,290717696
999,1745022205580,45095.43510437012,4175,0,1.4312500000000001,49821.78894042969,2087.5,2,1.4312500000000001,26285.34536743164,2783.333333333333,2,1.4312500000000001,52898.35353088379,2087.5,2,1.4312500000000001,37988.50305175781,4175,0,1.41875,54278.42108154297,2087.5,2,1.41875,39977.11070251465,4175,0,1.41875,10360.662170410156,2087.5,2,1.41875,23864.51611328125,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,26.26262664794922,4,2,52.04081726074219,3.0303030014038086,24,11.111111640930176,17,19,1,55.1020393371582,11.111111640930176,39.60396194458008,3.0303030014038086,25,55.4455451965332,16665841664,4294963200,1296871424,290717696
999,1745022206580,45107.61944580078,4175,0,1.40625,49823.143630981445,2087.5,2,1.40625,26285.59161376953,2087.5,2,1.40625,52899.033264160156,2087.5,2,1.40625,37989.0387878418,2087.5,2,1.40625,54285.85531616211,4175,0,1.40625,39980.521224975586,4175,0,1.40625,10361.216064453125,2087.5,2,1.40625,23905.112014770508,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,100,2.0202019214630127,3,4,3,0.9900990128517151,14,0,0,0,0,62.626258850097656,12,2.0202019214630127,2,7.070706844329834,16665841664,4294963200,1367085056,290717696
999,1745022207580,45121.41584777832,4250,0,1.4375,49823.60304260254,2125,2,1.4375,26288.894088745117,2125,2,1.4375,52899.2119140625,2125,2,1.4375,37989.28372192383,2125,2,1.4375,54291.52278137207,2125,2,1.4375,39988.820373535156,4250,0,1.4375,10362.470352172852,2125,2,1.4375,23952.92137145996,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,98.01980590820313,2.040816307067871,24.24242401123047,1,2,1,67.67676544189453,0.9900990128517151,0,1,1,44.5544548034668,1,3.9603960514068604,0,1,16665841664,4294963200,1441538048,290717696
1000,1745022208580,45135.05723571777,4175,0,1.4312500000000001,49825.62060546875,2087.5,2,1.4312500000000001,26289.254653930664,2087.5,2,1.4312500000000001,52899.83630371094,2087.5,2,1.4312500000000001,37990.5661315918,4175,0,1.4312500000000001,54296.60105895996,4175,0,1.4312500000000001,39992.22540283203,2087.5,2,1.4312500000000001,10364.81314086914,4175,0,1.4312500000000001,23995.692169189453,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,100,16,1,3.9603960514068604,10,1.0101009607315063,29.702970504760742,0,1.9801980257034302,1.9801980257034302,0.9900990128517151,43.43434143066406,1,13,0,1,16665841664,4294963200,1460633600,290717696
1000,1745022209580,45147.95330810547,4300,0,1.44375,49825.933013916016,2150,2,1.44375,26289.420440673828,2150,2,1.44375,52900.22232055664,2150,2,1.44375,37990.836486816406,2200,2,1.44375,54301.19903564453,2200,2,1.44375,39993.00520324707,2200,2,1.44375,10365.53938293457,2200,2,1.44375,24029.656784057617,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,100,1,1,2,0.9900990128517151,3,2.0202019214630127,1.9801980257034302,0,2.0202019214630127,1,31,2.97029709815979,0,0,0,16665841664,4294963200,1560293376,290717696
1000,1745022210581,45160.091400146484,4300,0,1.46875,49826.02673339844,2150,2,1.46875,26289.543533325195,2150,2,1.4625000000000001,52900.35006713867,2150,2,1.4625000000000001,37990.903884887695,2200,2,1.4625000000000001,54304.153884887695,2200,2,1.4625000000000001,39993.05165100098,2200,2,1.4625000000000001,10365.602523803711,2200,2,1.4625000000000001,24058.84210205078,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,99,0,0,0,0,2,0,0,0,0.9900990128517151,0,21,0,0,0,0,16665841664,4294963200,1560293376,290717696
999,1745022211582,45175.21565246582,4250,0,1.425,49826.20413208008,2125,2,1.425,26289.755905151367,2125,2,1.425,52900.60690307617,2125,2,1.425,37991.032958984375,2125,2,1.425,54309.20538330078,4250,0,1.425,39993.17610168457,2125,2,1.425,10365.72201538086,2125,2,1.425,24094.196090698242,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,99,1,0,2.97029709815979,1,3,1,1,1.0101009607315063,1,1,38.38383865356445,0,0,0,0,16665841664,4294963200,1560293376,290717696
1000,1745022212582,45188.7869720459,4275,0,1.44375,49826.50205993652,2137.5,2,1.44375,26291.216766357422,2137.5,2,1.44375,52901.25012207031,2137.5,2,1.44375,37991.54071044922,2137.5,2,1.44375,54312.742111206055,4275,0,1.44375,39993.82780456543,2850,2,1.44375,10366.645919799805,2137.5,2,1.44375,24130.134872436523,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,98,2,10.784314155578613,5,3.0303030014038086,3.0303030014038086,4.95049524307251,4.040403842926025,3,1.0101009607315063,1,23,2,1,1,1,16665841664,4294963200,1519190016,290717696
999,1745022213582,45196.173904418945,4300,0,1.45,49826.72131347656,2150,2,1.45,26291.495819091797,2150,2,1.45,52901.55960083008,2150,2,1.45,37997.496170043945,2133.333333333333,2,1.45,54316.78739929199,3200,1,1.45,39994.12098693848,2133.333333333333,2,1.45,10366.801971435547,2133.333333333333,2,1.45,24162.83087158203,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,60.000003814697266,1.0101009607315063,1.0101009607315063,2.0202019214630127,2,2.97029709815979,1,0,2,1,39.60396194458008,33.66336441040039,1.9801980257034302,0,0,0,16665841664,4294963200,1608355840,290717696
999,1745022214582,45209.08367919922,4275,0,1.425,49826.811782836914,2137.5,2,1.425,26291.5655670166,2137.5,2,1.425,52901.71223449707,2137.5,2,1.425,37997.55749511719,2200,2,1.425,54318.715896606445,2200,2,1.425,39994.18966674805,2200,2,1.425,10366.880279541016,2200,2,1.4375,24191.995712280273,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,99.00990295410156,0,0,1,0,0,0,0,0,1,0,11,0,1,0.9900990128517151,0,16665841664,4294963200,1606471680,290717696
1000,1745022215582,45223.99334716797,4300,0,1.45,49826.90922546387,2150,2,1.45,26291.689819335938,2150,2,1.45,52901.94172668457,2150,2,1.45,37997.680587768555,2200,2,1.45,54321.054595947266,2200,2,1.45,39994.30783081055,2200,2,1.45,10369.196960449219,2200,2,1.4625000000000001,24226.481231689453,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,98.98989868164063,0,1,2,1,3,1,16,1,1,1.0101009607315063,16.1616153717041,1.0101009607315063,1,1,0,16665841664,4294963200,1612759040,290717696
1000,1745022216583,45237.536560058594,4275,0,1.44375,49827.049713134766,2137.5,2,1.44375,26291.86506652832,2137.5,2,1.44375,52902.41682434082,2137.5,2,1.44375,37997.85514831543,2200,2,1.44375,54323.272521972656,2200,2,1.44375,39994.47959899902,2200,2,1.44375,10370.369873046875,2200,2,1.44375,24258.781204223633,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,98,0,2,4,2,4,1.9801980257034302,4.95049524307251,2,2,1.9801980257034302,15.841584205627441,1.9801980257034302,1,1.0101009607315063,0,16665841664,4294963200,1610649600,290717696
999,1745022217584,45249.9948425293,4250,0,1.48125,49827.12480163574,2833.333333333333,2,1.48125,26291.954376220703,2125,2,1.45625,52902.55334472656,2125,2,1.45625,37997.9405670166,2125,2,1.45625,54324.62727355957,4250,0,1.45625,39994.5672454834,2125,2,1.45625,10370.455429077148,2125,2,1.45625,24287.186645507813,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,99.00990295410156,0,0.9900990128517151,1,0,1.9801980257034302,1,0,0,0.9900990128517151,1,10,0,1,1,0,16665841664,4294963200,1609117696,290717696
1000,1745022218584,45264.1423034668,4275,0,1.44375,49827.21903991699,2137.5,2,1.44375,26292.095413208008,2137.5,2,1.44375,52902.725326538086,2137.5,2,1.44375,37998.07669067383,2200,2,1.44375,54326.61975097656,2200,2,1.44375,39994.71691894531,2200,2,1.44375,10370.623229980469,2200,2,1.44375,24318.06721496582,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,98,0,1.0101009607315063,1.0101009607315063,1.0101009607315063,1,1,0,1,1.0101009607315063,1,10.1010103225708,1,1,1.9801980257034302,0.9900990128517151,16665841664,4294963200,1602113536,290717696
999,1745022219584,45279.09245300293,4275,0,1.4312500000000001,49827.3464050293,2137.5,2,1.4312500000000001,26292.238647460938,2137.5,2,1.4312500000000001,52903.609313964844,2137.5,2,1.4312500000000001,37998.25143432617,2200,2,1.4312500000000001,54329.26951599121,2200,2,1.4312500000000001,39994.864669799805,2200,2,1.4312500000000001,10371.988403320313,2200,2,1.4312500000000001,24353.07261657715,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,100,0,0,6,1.9801980257034302,1.0101009607315063,0,1.0101009607315063,1.9801980257034302,1.0101009607315063,1.0101009607315063,20,2,8,1.0101009607315063,0,16665841664,4294963200,1600806912,290717696
999,1745022220584,45279.92628479004,2125,2,1.4312500000000001,49840.257080078125,4250,0,1.4312500000000001,26292.390914916992,2125,2,1.4312500000000001,52903.838928222656,2125,2,1.4312500000000001,37998.42527770996,2200,2,1.4312500000000001,54329.682708740234,2200,2,1.4312500000000001,39996.2638092041,2200,2,1.4312500000000001,10372.191284179688,2200,2,1.4312500000000001,24383.254440307617,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,5,75,0,2,1.0101009607315063,1.9801980257034302,0,1.9801980257034302,1.0101009607315063,2.941176414489746,1.9801980257034302,0.9900990128517151,9,1.0101009607315063,1.9801980257034302,20,16665841664,4294963200,1599262720,290717696
999,1745022221584,45280.0040435791,2112.5,2,1.4375,49851.6759185791,4225,0,1.4375,26292.426361083984,2125,2,1.41875,52904.00567626953,2125,2,1.41875,37998.46008300781,2200,2,1.41875,54329.77964782715,2200,2,1.41875,39996.6766204834,2200,2,1.41875,10372.343078613281,2200,2,1.41875,24409.678512573242,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,0,100,0,1.9801980257034302,0,0,0,1.0101009607315063,0,0,0,0,4,0,0,0,16665841664,4294963200,1599004672,290717696
999,1745022222584,45280.19256591797,2112.5,2,1.45,49866.37944030762,4225,0,1.45,26292.584045410156,2112.5,2,1.45,52905.224609375,2112.5,2,1.45,37998.62144470215,2200,2,1.45,54329.96240234375,2200,2,1.45,39997.77185058594,2200,2,1.45,10373.182571411133,2200,2,1.4312500000000001,24442.30973815918,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,1,98,1.9801980257034302,8,1.9801980257034302,1.0101009607315063,1.9801980257034302,3,1.9801980257034302,0,1,2,5,0.9900990128517151,1.0101009607315063,0,16665841664,4294963200,1602379776,290717696
999,1745022223584,45280.54202270508,2200,2,1.4375,49878.16604614258,2200,2,1.4375,26293.04135131836,2200,2,1.4375,52905.81478881836,2200,2,1.4375,38001.133560180664,4150,0,1.4375,54330.60363769531,2766.666666666667,2,1.4375,39999.528884887695,2075,2,1.4375,10375.080673217773,4150,0,1.4375,24476.470581054688,2148,2458,2162,2181,2187,2193,2159,2000,2178,2148,2195,2150,2188,1948,2098,2653,2.0202019214630127,81.18811798095703,3.0303030014038086,5.0505051612854,23,5,5.0505051612854,2,2.0202019214630127,0,2.0202019214630127,2,14,12.87128734588623,2,1,16665841664,4294963200,1606193152,290717696
