Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745047649029,34428.2868347168,2200,2,0.85,13388.62533569336,2200,2,0.85,57681.534759521484,2200,2,0.85,18014.143173217773,2200,2,0.85,24200.620040893555,2200,2,0.85,18412.385650634766,2200,2,0.85,3110.6776123046875,2200,2,0.85,41269.98182678223,2200,2,0.85,32143.55010986328,3171,3192,2128,2112,2195,2178,2195,2195,2196,2124,2179,2193,2195,2194,2059,3183,7.142857551574707,3.5714287757873535,3.5714287757873535,3.5714287757873535,3.5714287757873535,3.5714287757873535,0,3.5714287757873535,3.4482758045196533,3.5714287757873535,0,6.896551609039307,3.5714287757873535,0,0,0,16665841664,4294963200,877748224,293863424
999,1745047649030,34428.290130615234,2200,2,0.85,13388.62548828125,2200,2,0.85,57681.53503417969,2200,2,0.85,18014.143264770508,2200,2,0.85,24200.620147705078,2200,2,0.85,18412.386169433594,2200,2,0.85,3110.677719116211,2200,2,0.85,41269.98197937012,2200,2,0.85,32143.573181152344,3171,3192,2128,2112,2195,2178,2195,2195,2196,2124,2179,2193,2195,2194,2059,3183,7.142857551574707,3.5714287757873535,3.5714287757873535,3.5714287757873535,3.5714287757873535,3.5714287757873535,0,3.5714287757873535,3.4482758045196533,3.5714287757873535,0,6.896551609039307,3.5714287757873535,0,0,0,16665841664,4294963200,877748224,293863424
999,1745047650030,34440.66815185547,3975,0,1.3,13394.018951416016,3975,0,1.3,57688.31817626953,3975,0,1.3,18018.36116027832,3975,0,1.3,24204.649368286133,3975,0,1.3,18419.00128173828,3975,0,1.3,3114.8067626953125,3975,0,1.3,41273.71463012695,3975,0,1.3,32203.596450805664,3171,3192,2128,2112,2195,2178,2195,2195,2196,2124,2179,2193,2195,2194,2059,3183,75.75757598876953,43.8775520324707,3.0303030014038086,0,26.73267364501953,35.6435661315918,22,20.2020206451416,67,46.46464538574219,20.2020206451416,31.632652282714844,31,21,33.333335876464844,17.346939086914063,16665841664,4294963200,1117052928,293863424
999,1745047651030,34451.22071838379,3975,0,1.30625,13400.811813354492,3975,0,1.30625,57693.98124694824,3975,0,1.30625,18022.51109313965,3975,0,1.30625,24209.76383972168,3975,0,1.30625,18425.34991455078,3975,0,1.30625,3119.9422149658203,3975,0,1.30625,41280.09634399414,3975,0,1.30625,32265.492309570313,3171,3192,2128,2112,2195,2178,2195,2195,2196,2124,2179,2193,2195,2194,2059,3183,34.693878173828125,34.653465270996094,10.1010103225708,4.040403842926025,49.49494934082031,36.3636360168457,17.171716690063477,36,52,39,11.224489212036133,36,54.54545593261719,60.000003814697266,68,29,16665841664,4294963200,1244041216,293863424
999,1745047652030,34453.900650024414,4225,0,1.40625,13408.819808959961,2112.5,2,1.40625,57698.27908325195,2112.5,2,1.40625,18030.079040527344,2112.5,2,1.40625,24213.171508789063,2112.5,2,1.40625,18429.768463134766,2112.5,2,1.40625,3123.421127319336,2112.5,2,1.40625,41286.41563415527,4225,0,1.40625,32319.444900512695,3171,3192,2128,2112,2195,2178,2195,2195,2196,2124,2179,2193,2195,2194,2059,3183,22,61,4.95049524307251,0,28,34,4.040403842926025,54.000003814697266,37,70.29703521728516,5,3,27.7227725982666,13.13131332397461,5.0505051612854,0,16665841664,4294963200,1352941568,293863424
999,1745047653030,34456.56352233887,2087.5,2,1.4,13408.951232910156,2087.5,2,1.4,57706.55520629883,4175,0,1.4,18031.17706298828,2087.5,2,1.4,24213.45164489746,2087.5,2,1.4,18431.603561401367,2087.5,2,1.4,3124.2584686279297,4175,0,1.4,41298.26997375488,4175,0,1.4,32360.958557128906,3171,3192,2128,2112,2195,2178,2195,2195,2196,2124,2179,2193,2195,2194,2059,3183,19,0,3.0303030014038086,1,0.9900990128517151,0,7,100,68,8.08080768585205,2,12,0,0,2,0,16665841664,4294963200,1373102080,293863424
999,1745047654030,34458.71562194824,4150,0,1.4125,13409.142288208008,2075,2,1.4125,57711.07765197754,2075,2,1.4125,18034.597213745117,2766.666666666667,2,1.4125,24213.685623168945,2075,2,1.4125,18432.693603515625,2075,2,1.4125,3132.035415649414,4150,0,1.4125,41311.71862792969,4150,0,1.4125,32408.026885986328,3171,3192,2128,2112,2195,2178,2195,2195,2196,2124,2179,2193,2195,2194,2059,3183,14.285715103149414,1,2,28,0,0,66,98.01980590820313,36.3636360168457,0,1.0101009607315063,3.0303030014038086,1.9801980257034302,1,1.0101009607315063,1,16665841664,4294963200,1449320448,293863424
1000,1745047655030,34461.4727935791,2100,2,1.425,13409.727066040039,2100,2,1.425,57715.219329833984,4200,0,1.425,18035.061096191406,2100,2,1.425,24215.68035888672,2800,2,1.4312500000000001,18432.857376098633,2100,2,1.4312500000000001,3132.7804412841797,2100,2,1.4312500000000001,41326.22604370117,4200,0,1.4312500000000001,32447.972564697266,3171,3192,2128,2112,2195,2178,2195,2195,2196,2124,2179,2193,2195,2194,2059,3183,21,3.0303030014038086,12,1,1,0,1,98.98989868164063,27.7227725982666,1.9801980257034302,16,0.9900990128517151,1,2,3,2.941176414489746,16665841664,4294963200,1427714048,293863424
999,1745047656031,34461.932067871094,2100,2,1.41875,13410.038696289063,2100,2,1.41875,57719.977111816406,4200,0,1.41875,18035.261962890625,2100,2,1.41875,24216.227020263672,2100,2,1.41875,18432.980743408203,2100,2,1.41875,3132.9885864257813,2100,2,1.41875,41339.18162536621,4200,0,1.41875,32481.477020263672,3171,3192,2128,2112,2195,2178,2195,2195,2196,2124,2179,2193,2195,2194,2059,3183,1.0204081535339355,2.97029709815979,2.97029709815979,0,0,0,0,100,35,0,2,0,0,2,1.0101009607315063,1.0204081535339355,16665841664,4294963200,1532477440,293863424
999,1745047657031,34462.095947265625,2200,2,1.4375,13410.255416870117,2200,2,1.4375,57722.26817321777,2200,2,1.4375,18035.36148071289,2200,2,1.4375,24216.26969909668,2112.5,2,1.4375,18433.035232543945,2112.5,2,1.4375,3133.105239868164,2100,2,1.46875,41350.56521606445,4200,0,1.46875,32509.80973815918,3171,3192,2128,2112,2195,2178,2195,2195,2196,2124,2179,2193,2195,2194,2059,3183,0,1.0101009607315063,0,1,0,0,0,99.00990295410156,15.15151596069336,0,0,0,1,0,0.9900990128517151,0,16665841664,4294963200,1532477440,293863424
999,1745047658031,34462.56446838379,2200,2,1.45625,13410.49462890625,2200,2,1.45625,57722.500549316406,2200,2,1.45625,18039.025955200195,2200,2,1.45625,24216.98976135254,2112.5,2,1.45625,18433.103591918945,2112.5,2,1.45625,3133.3379821777344,2112.5,2,1.45625,41365.29130554199,4225,0,1.45625,32543.988998413086,3171,3192,2128,2112,2195,2178,2195,2195,2196,2124,2179,2193,2195,2194,2059,3183,1,2,0,0,3.0303030014038086,0,0,100,2,32,1,0,2,1,3.0303030014038086,1,16665841664,4294963200,1533337600,293863424
1000,1745047659031,34464.01466369629,4225,0,1.46875,13410.760437011719,2112.5,2,1.46875,57722.75947570801,2112.5,2,1.45625,18042.988555908203,4225,0,1.45625,24217.112228393555,2112.5,2,1.45625,18433.16212463379,2112.5,2,1.45625,3133.7186584472656,2112.5,2,1.45625,41379.45883178711,4225,0,1.45625,32578.36947631836,3171,3192,2128,2112,2195,2178,2195,2195,2196,2124,2179,2193,2195,2194,2059,3183,2,3,1,0,0,0,1,94.94949340820313,2,34,1,0,2.0202019214630127,6,11.88118839263916,1,16665841664,4294963200,1538232320,293863424
999,1745047660031,34464.390701293945,2112.5,2,1.44375,13411.066802978516,2112.5,2,1.44375,57723.008041381836,2112.5,2,1.44375,18046.904190063477,4225,0,1.44375,24217.245727539063,2112.5,2,1.44375,18433.232788085938,2112.5,2,1.44375,3134.0460205078125,2112.5,2,1.44375,41392.393127441406,4225,0,1.44375,32610.527435302734,3171,3192,2128,2112,2195,2178,2195,2195,2196,2124,2179,2193,2195,2194,2059,3183,2,2.97029709815979,1,0,0,0,0,1,2.97029709815979,33,2,1,2,100,2,2,16665841664,4294963200,1544495104,293863424
