Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744953915692,43753.71226501465,2133.333333333333,2,0.95625,41271.8271484375,3200,1,0.95625,16700.429794311523,2133.333333333333,2,0.95625,36530.609313964844,2133.333333333333,2,0.95625,33181.98173522949,2200,2,0.95625,43259.16307067871,2200,2,0.95625,29751.900787353516,2200,2,0.95625,57890.95837402344,2200,2,0.95625,1234.1583099365234,2065,3192,2122,2157,2194,2192,2189,2183,2126,2122,2175,2193,2196,2195,2127,3171,3.0303030014038086,3.125,3.125,3.0303030014038086,5.882352828979492,0,5.882352828979492,5.882352828979492,0,0,5.882352828979492,3.125,0,3.125,9.375,3.125,16665841664,4294963200,866586624,277348352
999,1744953915692,43753.716567993164,2133.333333333333,2,0.9625,41271.827392578125,3200,1,0.9625,16700.43002319336,2133.333333333333,2,0.9625,36530.60952758789,2133.333333333333,2,0.9625,33181.98645019531,2200,2,0.9625,43259.16323852539,2200,2,0.9625,29751.900939941406,2200,2,0.9625,57890.95852661133,2200,2,0.9625,1234.185806274414,2065,3192,2122,2157,2194,2192,2189,2183,2126,2122,2175,2193,2196,2195,2127,3171,3.0303030014038086,3.125,3.125,3.0303030014038086,5.882352828979492,0,5.882352828979492,5.882352828979492,0,0,5.882352828979492,3.125,0,3.125,9.375,3.125,16665841664,4294963200,867098624,277348352
999,1744953916692,43762.53044128418,4025,0,1.35,41275.70593261719,4025,0,1.3375,16706.880661010742,4025,0,1.3375,36533.751556396484,2683.333333333333,2,1.3375,33186.59735107422,4025,0,1.3375,43264.589599609375,4025,0,1.3375,29757.875747680664,4025,0,1.3375,57893.96632385254,4025,0,1.3375,1288.2303161621094,2065,3192,2122,2157,2194,2192,2189,2183,2126,2122,2175,2193,2196,2195,2127,3171,14.141413688659668,18.367347717285156,58.999996185302734,24,43.43434143066406,38,5.0505051612854,10.1010103225708,10.891088485717773,8.91089153289795,3,12.87128734588623,48,23,58.16326904296875,28,16665841664,4294963200,1037778944,277348352
999,1744953917692,43773.13821411133,3975,0,1.30625,41279.80879211426,3975,0,1.30625,16712.847854614258,3975,0,1.30625,36538.882064819336,3975,0,1.30625,33192.000427246094,3975,0,1.30625,43269.90705871582,3975,0,1.30625,29762.955535888672,3975,0,1.30625,57898.345962524414,3975,0,1.30625,1346.22119140625,2065,3192,2122,2157,2194,2192,2189,2183,2126,2122,2175,2193,2196,2195,2127,3171,92.92929077148438,25,28,42.42424392700195,50.50504684448242,49,1,10,33.67346954345703,32.3232307434082,8.08080768585205,11,52,25,9,23,16665841664,4294963200,1185898496,277348352
999,1744953918692,43777.52983093262,4175,0,1.4,41284.28163146973,2087.5,2,1.4,16717.16064453125,2087.5,2,1.4,36543.254821777344,2087.5,2,1.4,33196.14207458496,2087.5,2,1.4,43278.990951538086,4175,0,1.4,29766.787353515625,2087.5,2,1.4,57910.515853881836,4175,0,1.4,1406.2773742675781,2065,3192,2122,2157,2194,2192,2189,2183,2126,2122,2175,2193,2196,2195,2127,3171,37.37373733520508,38.38383865356445,39,28.282827377319336,35,66,0,6.060606002807617,4.081632614135742,29,5.0505051612854,14,31,98.98989868164063,8,4.040403842926025,16665841664,4294963200,1310601216,277348352
999,1744953919692,43783.09085083008,2087.5,2,1.4125,41290.09434509277,4175,0,1.4125,16718.910354614258,2087.5,2,1.4125,36544.9404296875,2087.5,2,1.4125,33196.48097229004,2087.5,2,1.4125,43279.38757324219,2087.5,2,1.4125,29766.866806030273,2087.5,2,1.4125,57921.88185119629,4175,0,1.4125,1447.8661346435547,2065,3192,2122,2157,2194,2192,2189,2183,2126,2122,2175,2193,2196,2195,2127,3171,45,49,12.121212005615234,0,0,0,0,4,2.97029709815979,14,3,0,0.9900990128517151,100,0,2.0202019214630127,16665841664,4294963200,1319116800,277348352
999,1744953920692,43784.82289123535,4200,0,1.4312500000000001,41297.79559326172,2100,2,1.4312500000000001,16719.198852539063,2100,2,1.4312500000000001,36552.56050109863,2100,2,1.4312500000000001,33196.86199951172,2100,2,1.4312500000000001,43280.88377380371,2100,2,1.4312500000000001,29766.97003173828,2100,2,1.4312500000000001,57935.66361999512,4200,0,1.4312500000000001,1495.1705017089844,2065,3192,2122,2157,2194,2192,2189,2183,2126,2122,2175,2193,2196,2195,2127,3171,12.121212005615234,63.366336822509766,1,1.9801980257034302,1,0,1,2.0202019214630127,2.0202019214630127,64,2,12,0,97.02970123291016,1,2,16665841664,4294963200,1377685504,277348352
999,1744953921692,43788.22706604004,2087.5,2,1.425,41299.51806640625,2783.333333333333,2,1.425,16719.50860595703,2087.5,2,1.425,36556.11723327637,4175,0,1.425,33197.21583557129,4175,0,1.425,43281.434982299805,4175,0,1.425,29767.361282348633,4175,0,1.425,57949.625732421875,2087.5,2,1.425,1533.8535461425781,2065,3192,2122,2157,2194,2192,2189,2183,2126,2122,2175,2193,2196,2195,2127,3171,28,14.141413688659668,0.9900990128517151,1,1,0,3,3,2.0202019214630127,31.313129425048828,1.0101009607315063,3,1,96,2,1.9801980257034302,16665841664,4294963200,1510629376,277348352
999,1744953922692,43788.48583984375,2100,2,1.4312500000000001,41304.59436035156,4200,0,1.4312500000000001,16719.808700561523,2100,2,1.4312500000000001,36557.35110473633,2100,2,1.4312500000000001,33197.76698303223,2100,2,1.4312500000000001,43282.94006347656,2100,2,1.4312500000000001,29780.211685180664,4200,0,1.4312500000000001,57950.81948852539,2100,2,1.4312500000000001,1570.665512084961,2065,3192,2122,2157,2194,2192,2189,2183,2126,2122,2175,2193,2196,2195,2127,3171,0,41,2,2,1,0,100,3,2.97029709815979,7,3,8.08080768585205,1,0,0,0,16665841664,4294963200,1526067200,277348352
999,1744953923692,43788.578689575195,2200,2,1.425,41306.226013183594,2200,2,1.425,16719.92059326172,2200,2,1.425,36557.38487243652,2200,2,1.425,33197.879470825195,2100,2,1.425,43282.9729309082,2100,2,1.425,29791.52976989746,4200,0,1.425,57950.99801635742,2100,2,1.425,1597.7152404785156,2065,3192,2122,2157,2194,2192,2189,2183,2126,2122,2175,2193,2196,2195,2127,3171,0,11.111111640930176,0,0,0,0,98,0,1,0,0.9900990128517151,0,0,0,0.9900990128517151,2,16665841664,4294963200,1526243328,277348352
