Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744944466146,26857.60789489746,2200,2,0.84375,32729.82615661621,2200,2,0.84375,9939.393081665039,2200,2,0.84375,29063.44627380371,2200,2,0.84375,15321.573715209961,2200,2,0.84375,36568.60871887207,2200,2,0.84375,18525.815963745117,2200,2,0.85,46201.16569519043,2200,2,0.85,18432.33302307129,2128,3191,2129,1949,2194,2130,2194,2195,2127,1942,2192,2194,2187,2084,2177,3192,0,0,0,0,3.22580623626709,3.125,0,3.125,3.22580623626709,3.22580623626709,0,12.5,0,3.125,0,3.125,16665841664,4294963200,880226304,275251200
999,1744944466146,26857.608123779297,2200,2,0.84375,32729.8263092041,2200,2,0.84375,9939.396575927734,2200,2,0.84375,29063.446365356445,2200,2,0.84375,15321.573822021484,2200,2,0.84375,36568.61036682129,2200,2,0.84375,18525.81605529785,2200,2,0.84375,46201.165786743164,2200,2,0.84375,18432.35791015625,2128,3191,2129,1949,2194,2130,2194,2195,2127,1942,2192,2194,2187,2084,2177,3192,0,0,0,0,3.22580623626709,3.125,0,3.125,3.22580623626709,3.22580623626709,0,12.5,0,3.125,0,3.125,16665841664,4294963200,880226304,275251200
999,1744944467146,26862.178970336914,3975,0,1.3,32734.1815032959,3975,0,1.3,9947.513458251953,3975,0,1.3,29067.31187438965,3975,0,1.3,15324.94743347168,3975,0,1.3,36580.333419799805,3975,0,1.3,18530.437103271484,3975,0,1.3,46206.28205871582,3975,0,1.3,18490.454666137695,2128,3191,2129,1949,2194,2130,2194,2195,2127,1942,2192,2194,2187,2084,2177,3192,32.65306091308594,39.39393997192383,75,1.9801980257034302,14,29,45,7,2,38.38383865356445,23.232322692871094,65.97937774658203,6,42,27.000001907348633,10.1010103225708,16665841664,4294963200,1082466304,275251200
998,1744944468148,26869.169555664063,3950,0,1.3125,32739.491744995117,3950,0,1.3125,9952.408111572266,3950,0,1.3125,29072.042922973633,3950,0,1.3125,15329.79573059082,3950,0,1.3125,36586.28985595703,3950,0,1.3125,18535.50311279297,3950,0,1.3125,46217.051177978516,3950,0,1.3125,18550.664611816406,2128,3191,2129,1949,2194,2130,2194,2195,2127,1942,2192,2194,2187,2084,2177,3192,32,51,49.49494934082031,5,32,55.55555725097656,53.53535461425781,8,8.08080768585205,45,15.15151596069336,34.31372833251953,2,95.91836547851563,58,10,16665841664,4294963200,1211621376,275251200
999,1744944469146,26872.3076171875,2075,2,1.4375,32747.104751586914,4150,0,1.4375,9954.178833007813,2075,2,1.4375,29077.17578125,2075,2,1.4375,15337.797927856445,4150,0,1.4375,36590.67640686035,2075,2,1.4375,18541.711547851563,4150,0,1.4375,46220.91091918945,2075,2,1.4375,18604.708908081055,2128,3191,2129,1949,2194,2130,2194,2195,2127,1942,2192,2194,2187,2084,2177,3192,18.367347717285156,36,10,8,27.000001907348633,17.8217830657959,30.000001907348633,27.000001907348633,6,40,43.43434143066406,23.232322692871094,28,8.91089153289795,12,34,16665841664,4294963200,1385988096,275251200
999,1744944470146,26882.83740234375,4275,0,1.4312500000000001,32748.784576416016,2137.5,2,1.4312500000000001,9954.72250366211,2137.5,2,1.4312500000000001,29077.46189880371,2137.5,2,1.4312500000000001,15341.803253173828,2200,2,1.4312500000000001,36591.262924194336,2200,2,1.4312500000000001,18546.70606994629,2200,2,1.4312500000000001,46221.32231140137,2200,2,1.4312500000000001,18641.66421508789,2128,3191,2129,1949,2194,2130,2194,2195,2127,1942,2192,2194,2187,2084,2177,3192,88,5,3,2,22.22222328186035,0,0,0,2.0202019214630127,0,14.851485252380371,3,37.37373733520508,0.9900990128517151,2,7.070706844329834,16665841664,4294963200,1385091072,275251200
999,1744944471147,26890.796310424805,2200,2,1.425,32755.292938232422,2200,2,1.425,9954.96125793457,2200,2,1.425,29077.718322753906,2200,2,1.425,15349.73599243164,2100,2,1.425,36595.80616760254,4200,0,1.425,18546.83348083496,2100,2,1.425,46221.39295959473,2100,2,1.425,18682.859497070313,2128,3191,2129,1949,2194,2130,2194,2195,2127,1942,2192,2194,2187,2084,2177,3192,26.26262664794922,35.35353469848633,1.0101009607315063,2.0202019214630127,56,1,1,0,1,0.9900990128517151,9,32,1,0,37.37373733520508,12.87128734588623,16665841664,4294963200,1441136640,275251200
1000,1744944472147,26893.513732910156,3200,1,1.3875,32756.624389648438,2133.333333333333,2,1.3875,9955.386764526367,2133.333333333333,2,1.3875,29078.110931396484,2133.333333333333,2,1.3875,15353.919158935547,4100,0,1.3875,36609.92674255371,4100,0,1.39375,18547.934463500977,4100,0,1.39375,46222.57846069336,4100,0,1.39375,18721.943420410156,2128,3191,2129,1949,2194,2130,2194,2195,2127,1942,2192,2194,2187,2084,2177,3192,18.18181800842285,3,2,2,21,80.61224365234375,9.90099048614502,0,2,0,18,26,1,10,3,5.0505051612854,16665841664,4294963200,1495162880,275251200
1000,1744944473147,26902.578979492188,4150,0,1.4375,32756.816467285156,2075,2,1.4375,9955.771179199219,2075,2,1.4375,29078.647567749023,2075,2,1.4375,15360.556457519531,4150,0,1.4375,36612.519958496094,2075,2,1.4375,18548.91502380371,2075,2,1.4375,46224.57400512695,2075,2,1.4375,18758.119247436523,2128,3191,2129,1949,2194,2130,2194,2195,2127,1942,2192,2194,2187,2084,2177,3192,54.000003814697266,1,2,3,0,19.80198097229004,3,2,2,4,46,0,3,8,26.73267364501953,0,16665841664,4294963200,1593503744,275251200
1000,1744944474147,26904.302368164063,2200,2,1.4375,32756.894256591797,2200,2,1.4375,9956.03742980957,2200,2,1.4375,29078.78419494629,2200,2,1.4375,15371.711120605469,4150,0,1.4375,36612.589279174805,2075,2,1.4375,18548.967819213867,2075,2,1.4375,46224.62559509277,2075,2,1.4375,18784.859924316406,2128,3191,2129,1949,2194,2130,2194,2195,2127,1942,2192,2194,2187,2084,2177,3192,0,0,2,0,0,0,1,0,1,1,100,0.9900990128517151,0,0,12,1,16665841664,4294963200,1590820864,275251200
