Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744864936897,58837.90269470215,2200,2,0.84375,6140.210067749023,2200,2,0.84375,62393.20274353027,2200,2,0.84375,5472.969131469727,2200,2,0.84375,56069.07733154297,2200,2,0.84375,11548.365417480469,2200,2,0.84375,64209.30154418945,2200,2,0.85,16142.29965209961,2200,2,0.85,33473.521484375,2110,2600,1897,2041,2195,2195,2198,2121,2014,2125,2167,2187,2194,2188,2132,3193,0,0,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,0,3.3333334922790527,0,6.6666669845581055,0,0,3.4482758045196533,0,3.3333334922790527,10.344827651977539,16665841664,4294963200,905805824,245366784
999,1744864936897,58837.90284729004,2200,2,0.85,6140.213409423828,2200,2,0.85,62393.202880859375,2200,2,0.85,5472.969375610352,2200,2,0.85,56069.07743835449,2200,2,0.85,11548.365524291992,2200,2,0.85,64209.30322265625,2200,2,0.85,16142.300094604492,2200,2,0.85,33473.54455566406,2110,2600,1897,2041,2195,2195,2198,2121,2014,2125,2167,2187,2194,2188,2132,3193,0,0,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,0,3.3333334922790527,0,6.6666669845581055,0,0,3.4482758045196533,0,3.3333334922790527,10.344827651977539,16665841664,4294963200,905805824,245366784
999,1744864937898,58842.69566345215,3975,0,1.30625,6148.692932128906,3975,0,1.30625,62398.79138183594,3975,0,1.30625,5478.216735839844,3975,0,1.30625,56072.79570007324,3975,0,1.30625,11553.125366210938,3975,0,1.30625,64218.01892089844,3975,0,1.30625,16146.458251953125,3975,0,1.30625,33531.49880981445,2110,2600,1897,2041,2195,2195,2198,2121,2014,2125,2167,2187,2194,2188,2132,3193,0,13.8613862991333,55.4455451965332,48.48484802246094,31.313129425048828,26.26262664794922,68,31.632652282714844,0.9900990128517151,9,9.090909004211426,25,16.666667938232422,17,47.47474670410156,56,16665841664,4294963200,1106235392,245366784
999,1744864938898,58849.60217285156,3975,0,1.30625,6154.100143432617,3975,0,1.30625,62404.240951538086,3975,0,1.30625,5483.572235107422,3975,0,1.30625,56077.96939086914,3975,0,1.30625,11557.53874206543,3975,0,1.30625,64225.68418884277,3975,0,1.30625,16152.167724609375,3975,0,1.30625,33589.52688598633,2110,2600,1897,2041,2195,2195,2198,2121,2014,2125,2167,2187,2194,2188,2132,3193,28.571430206298828,16.1616153717041,30.30303192138672,41.58415985107422,46,9,48,52.475250244140625,22,34,8,41,28.282827377319336,6.060606002807617,45,44.4444465637207,16665841664,4294963200,1268633600,245366784
999,1744864939898,58853.00735473633,2062.5,2,1.41875,6159.916519165039,4125,0,1.41875,62413.22802734375,2062.5,2,1.41875,5486.279693603516,2062.5,2,1.41875,56084.90751647949,4125,0,1.41875,11561.319427490234,2062.5,2,1.41875,64230.52470397949,2062.5,2,1.41875,16157.01448059082,2062.5,2,1.41875,33644.41876220703,2110,2600,1897,2041,2195,2195,2198,2121,2014,2125,2167,2187,2194,2188,2132,3193,5,16,65.65657043457031,12.121212005615234,49.49494934082031,5,0,38.775508880615234,4.040403842926025,14.285715103149414,12.121212005615234,30.30303192138672,37.37373733520508,1.9607844352722168,26.26262664794922,42,16665841664,4294963200,1473339392,245366784
999,1744864940898,58853.29804992676,2075,2,1.4312500000000001,6171.296142578125,4150,0,1.4312500000000001,62413.49528503418,2075,2,1.4312500000000001,5486.795516967773,4150,0,1.4312500000000001,56091.31707763672,4150,0,1.4312500000000001,11561.657684326172,2075,2,1.4312500000000001,64230.918533325195,2075,2,1.4312500000000001,16159.485321044922,2075,2,1.4312500000000001,33680.046966552734,2110,2600,1897,2041,2195,2195,2198,2121,2014,2125,2167,2187,2194,2188,2132,3193,1.9801980257034302,100,0,0,52.999996185302734,4,0,0.9900990128517151,2.0202019214630127,5,0.9900990128517151,0.9900990128517151,4,16,0.9900990128517151,0,16665841664,4294963200,1480089600,245366784
999,1744864941898,58854.23146057129,2062.5,2,1.4125,6185.232833862305,4125,0,1.4125,62413.72927856445,2062.5,2,1.4125,5493.080993652344,2062.5,2,1.4125,56098.01679992676,4125,0,1.4125,11562.503784179688,2062.5,2,1.4125,64238.503997802734,2062.5,2,1.4125,16160.712341308594,2062.5,2,1.4125,33732.21942138672,2110,2600,1897,2041,2195,2195,2198,2121,2014,2125,2167,2187,2194,2188,2132,3193,0,98,1,1,46,1.0101009607315063,1,0,2.941176414489746,53.46534729003906,11.111111640930176,0,60.39603805541992,2,3.0303030014038086,1,16665841664,4294963200,1480863744,245366784
999,1744864942898,58854.50407409668,2075,2,1.425,6199.90055847168,4150,0,1.425,62413.89782714844,2075,2,1.425,5493.43000793457,2075,2,1.425,56102.676193237305,4150,0,1.425,11562.727447509766,2075,2,1.425,64239.23620605469,2075,2,1.425,16161.524917602539,2075,2,1.425,33767.422134399414,2110,2600,1897,2041,2195,2195,2198,2121,2014,2125,2167,2187,2194,2188,2132,3193,1.0101009607315063,100,0,1,1,1,1,1.9801980257034302,0,1,43,1,1.0101009607315063,2.0202019214630127,1,1,16665841664,4294963200,1555685376,245366784
1000,1744864943898,58860.28399658203,4150,0,1.4,6203.210357666016,2075,2,1.4,62414.352615356445,2075,2,1.4,5496.704498291016,2075,2,1.39375,56109.71612548828,4150,0,1.39375,11563.181457519531,2075,2,1.39375,64240.00633239746,2075,2,1.39375,16167.087326049805,4150,0,1.39375,33808.418045043945,2110,2600,1897,2041,2195,2195,2198,2121,2014,2125,2167,2187,2194,2188,2132,3193,39,25,2,0,1.9801980257034302,3,1,13,3,25,52.999996185302734,0,3.0303030014038086,30.000001907348633,1.0101009607315063,1,16665841664,4294963200,1564217344,245366784
999,1744864944898,58872.07960510254,4275,0,1.425,6203.3028564453125,2850,2,1.425,62414.48709106445,2137.5,2,1.425,5496.753952026367,2137.5,2,1.425,56109.76531982422,2200,2,1.425,11563.26985168457,2200,2,1.425,64240.07897949219,2200,2,1.425,16170.495574951172,2200,2,1.4312500000000001,33837.61445617676,2110,2600,1897,2041,2195,2195,2198,2121,2014,2125,2167,2187,2194,2188,2132,3193,100,0,0,0.9900990128517151,0,0,0.9900990128517151,0,0,0,0,0,0,23,2,1,16665841664,4294963200,1564217344,245366784
