Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744883771600,34096.72850036621,2200,2,0.84375,29454.346954345703,2200,2,0.84375,14479.12939453125,2200,2,0.84375,21676.490676879883,2200,2,0.84375,26523.370880126953,2200,2,0.84375,31466.591995239258,2200,2,0.84375,13593.602127075195,2200,2,0.84375,40035.696868896484,2200,2,0.84375,14725.628311157227,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,3.7037036418914795,7.142857551574707,3.7037036418914795,3.5714287757873535,3.7037036418914795,0,0,0,3.5714287757873535,3.5714287757873535,3.7037036418914795,7.142857551574707,3.5714287757873535,3.7037036418914795,3.7037036418914795,3.5714287757873535,16665841664,4294963200,895537152,248774656
999,1744883771600,34096.728775024414,2200,2,0.85,29454.350219726563,2200,2,0.85,14479.129638671875,2200,2,0.85,21676.490829467773,2200,2,0.85,26523.371032714844,2200,2,0.85,31466.592086791992,2200,2,0.85,13593.602416992188,2200,2,0.85,40035.69696044922,2200,2,0.85,14725.638671875,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,3.7037036418914795,7.142857551574707,3.7037036418914795,3.5714287757873535,3.7037036418914795,0,0,0,3.5714287757873535,3.5714287757873535,3.7037036418914795,7.142857551574707,3.5714287757873535,3.7037036418914795,3.7037036418914795,3.5714287757873535,16665841664,4294963200,895537152,248774656
999,1744883772600,34101.283615112305,2200,2,1.4375,29462.02165222168,2200,2,1.4375,14481.788345336914,2200,2,1.4375,21681.02897644043,2200,2,1.4375,26529.21124267578,4150,0,1.4375,31469.9169921875,2075,2,1.4375,13596.781448364258,2075,2,1.4375,40039.682189941406,2075,2,1.4375,14774.906936645508,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,1,9.90099048614502,36,0,25,10.891088485717773,11.88118839263916,7,2,40,1.9801980257034302,24,22.77227783203125,41.41414260864258,57,16665841664,4294963200,1102614528,248774656
999,1744883773600,34104.75019836426,2200,2,1.4312500000000001,29462.11134338379,2200,2,1.4312500000000001,14482.016891479492,2200,2,1.4312500000000001,21681.165405273438,2200,2,1.4312500000000001,26535.80433654785,2100,2,1.4312500000000001,31470.95896911621,2100,2,1.4312500000000001,13597.654312133789,2100,2,1.4312500000000001,40049.281829833984,4200,0,1.4312500000000001,14810.75,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,2,0,13,2.97029709815979,0,0,0,0,37,6,7.920792102813721,64,31,0,16665841664,4294963200,1106743296,248774656
999,1744883774600,34104.977127075195,2200,2,1.44375,29462.183380126953,2200,2,1.44375,14482.052673339844,2200,2,1.44375,21681.242462158203,2200,2,1.44375,26535.95506286621,2112.5,2,1.44375,31471.067184448242,2112.5,2,1.44375,13599.451873779297,2112.5,2,1.44375,40064.23017883301,4225,0,1.44375,14841.430435180664,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,12.121212005615234,100,0,0,16665841664,4294963200,1106743296,248774656
1000,1744883775600,34105.162841796875,2200,2,1.45,29462.282165527344,2200,2,1.45,14482.086410522461,2200,2,1.45,21681.30647277832,2200,2,1.45,26536.03970336914,2112.5,2,1.45,31471.159881591797,2112.5,2,1.45,13600.649505615234,2112.5,2,1.475,40079.175384521484,4225,0,1.475,14871.303741455078,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,2,0,0,0,0,0,0,0,0,0,0,0,6,99,0,0.9900990128517151,16665841664,4294963200,1106743296,248774656
999,1744883776601,34108.58630371094,3200,1,1.48125,29462.36688232422,2133.333333333333,2,1.4312500000000001,14482.158157348633,2133.333333333333,2,1.4312500000000001,21681.40850830078,2133.333333333333,2,1.4312500000000001,26536.123016357422,2112.5,2,1.4312500000000001,31471.282257080078,2112.5,2,1.4312500000000001,13600.70278930664,2112.5,2,1.4312500000000001,40094.23748779297,4225,0,1.4312500000000001,14903.746368408203,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,29.29292869567871,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,16665841664,4294963200,1112711168,248774656
999,1744883777601,34109.587463378906,2200,2,1.45,29462.456298828125,2200,2,1.45,14482.224212646484,2200,2,1.45,21681.49591064453,2200,2,1.45,26536.19403076172,2112.5,2,1.45,31471.369354248047,2112.5,2,1.45,13600.766067504883,2112.5,2,1.45,40109.018615722656,4225,0,1.4375,14933.260513305664,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,6,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,99.00990295410156,0,1,16665841664,4294963200,1109643264,248774656
999,1744883778601,34109.6485748291,2200,2,1.46875,29462.540451049805,2200,2,1.46875,14482.299407958984,2200,2,1.46875,21681.583526611328,2200,2,1.46875,26536.258514404297,2112.5,2,1.46875,31471.43147277832,2112.5,2,1.46875,13600.820510864258,2112.5,2,1.46875,40123.760650634766,4225,0,1.46875,14961.70523071289,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,16665841664,4294963200,1109643264,248774656
1000,1744883779601,34109.74272155762,2200,2,1.45,29462.613388061523,2200,2,1.45,14482.350692749023,2200,2,1.45,21681.64128112793,2200,2,1.45,26536.318481445313,2112.5,2,1.45,31471.486038208008,2112.5,2,1.45,13600.866088867188,2112.5,2,1.44375,40138.5139465332,4225,0,1.44375,14990.003433227539,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,0,0,0,0,0,0.9900990128517151,0,0,1,0,0,100,0,0,16665841664,4294963200,1109643264,248774656
999,1744883780602,34110.06219482422,2200,2,1.4375,29462.690399169922,2200,2,1.4375,14482.421035766602,2200,2,1.4375,21681.71630859375,2200,2,1.4375,26536.400161743164,2112.5,2,1.4375,31471.5772857666,2112.5,2,1.4375,13600.910064697266,2112.5,2,1.4375,40153.25961303711,4225,0,1.4375,15018.581436157227,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,3,0,0,0,0,0,0,0.9900990128517151,0,0.9900990128517151,0.9900990128517151,0,0,99,0,0,16665841664,4294963200,1109643264,248774656
999,1744883781602,34113.30944824219,2200,2,1.4312500000000001,29462.745803833008,2200,2,1.4312500000000001,14482.491577148438,2200,2,1.4312500000000001,21681.79852294922,2200,2,1.4312500000000001,26536.47479248047,2112.5,2,1.4312500000000001,31471.682525634766,2112.5,2,1.4312500000000001,13600.95881652832,2112.5,2,1.4312500000000001,40167.967514038086,4225,0,1.4312500000000001,15050.550857543945,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,25.74257469177246,0,0,0,0,0,0,0,0,0,0,0,0,100,0.9900990128517151,0,16665841664,4294963200,1113513984,248774656
999,1744883782602,34113.544006347656,2200,2,1.4312500000000001,29462.832885742188,2200,2,1.4312500000000001,14482.575225830078,2200,2,1.4312500000000001,21681.88380432129,2200,2,1.4312500000000001,26536.55192565918,2112.5,2,1.475,31471.747634887695,2112.5,2,1.475,13601.013580322266,2112.5,2,1.475,40182.646881103516,4225,0,1.475,15079.090850830078,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,100,2,0,16665841664,4294963200,1117642752,248774656
999,1744883783602,34116.42825317383,2200,2,1.4312500000000001,29463.578674316406,2200,2,1.4312500000000001,14482.662399291992,2200,2,1.4312500000000001,21681.9630279541,2200,2,1.4312500000000001,26536.634017944336,2112.5,2,1.4312500000000001,31471.831741333008,2112.5,2,1.4312500000000001,13601.063064575195,2112.5,2,1.4312500000000001,40197.400482177734,4225,0,1.4312500000000001,15111.57421875,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,0,0,0,0,0,0,0,0,0,1,0,99.00990295410156,21.782176971435547,6,16665841664,4294963200,1117642752,248774656
999,1744883784602,34116.4913482666,2200,2,1.425,29463.6316986084,2200,2,1.425,14482.702835083008,2200,2,1.425,21682.02391052246,2200,2,1.425,26536.720291137695,2100,2,1.425,31471.905975341797,2100,2,1.425,13601.111877441406,2100,2,1.425,40212.10241699219,4225,0,1.4375,15140.037399291992,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,0,0,0,0,0,62,0,0,0,0.9900990128517151,0,37,0,0,16665841664,4294963200,1117642752,248774656
999,1744883785602,34116.57601928711,2200,2,1.4375,29463.684188842773,2200,2,1.4375,14482.735580444336,2200,2,1.4375,21682.089431762695,2200,2,1.4375,26536.792190551758,2112.5,2,1.4375,31471.95425415039,2112.5,2,1.4375,13601.161087036133,2112.5,2,1.4375,40226.8504486084,4225,0,1.4375,15168.493835449219,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,16665841664,4294963200,1117642752,248774656
999,1744883786602,34116.63800048828,2000,2,1.45,29463.737716674805,3000,2,1.45,14482.796127319336,2000,2,1.45,21682.157272338867,2200,2,1.45,26536.906799316406,2100,2,1.44375,31472.017013549805,2100,2,1.44375,13601.220779418945,2100,2,1.44375,40241.55989074707,4200,0,1.44375,15196.95378112793,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,16665841664,4294963200,1117642752,248774656
999,1744883787602,34116.7000579834,2200,2,1.46875,29463.799835205078,2200,2,1.46875,14482.869232177734,2200,2,1.46875,21682.23338317871,2200,2,1.46875,26536.990600585938,2112.5,2,1.46875,31472.081146240234,2112.5,2,1.46875,13601.27294921875,2112.5,2,1.46875,40256.27456665039,4225,0,1.46875,15225.551528930664,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,16665841664,4294963200,1111203840,248774656
999,1744883788602,34116.78274536133,3000,2,1.44375,29463.857650756836,2000,2,1.44375,14482.94075012207,2000,2,1.44375,21682.29768371582,2000,2,1.44375,26537.076629638672,2112.5,2,1.44375,31472.166946411133,2112.5,2,1.44375,13601.317687988281,2112.5,2,1.44375,40271.03010559082,4225,0,1.44375,15254.186828613281,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0.9900990128517151,0,0,0.9900990128517151,0,0,100,0.9900990128517151,0,0.9900990128517151,0,0,0,0,0,16665841664,4294963200,1111203840,248774656
999,1744883789602,34116.84194946289,3000,2,1.45,29463.91275024414,2000,2,1.45,14483.010986328125,2000,2,1.45,21682.363891601563,2000,2,1.45,26537.176544189453,2125,2,1.45,31472.225296020508,2125,2,1.45,13601.364486694336,2125,2,1.45,40285.76533508301,4250,0,1.45,15282.829284667969,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,0,0,0,0,0,99,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,1111203840,248774656
999,1744883790602,34116.896255493164,3000,2,1.4312500000000001,29463.96890258789,2000,2,1.4312500000000001,14483.081085205078,2000,2,1.4312500000000001,21682.41633605957,2000,2,1.4312500000000001,26537.263763427734,2112.5,2,1.4312500000000001,31472.286193847656,2112.5,2,1.4312500000000001,13601.42219543457,2112.5,2,1.4312500000000001,40300.51239013672,4225,0,1.4312500000000001,15311.510437011719,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,0,0,0,0,0,100,0,0,1,0,0,1,0,0,16665841664,4294963200,1111203840,248774656
999,1744883791602,34116.956466674805,2200,2,1.4375,29464.03059387207,2200,2,1.4375,14483.160736083984,2200,2,1.4375,21682.468704223633,2200,2,1.4375,26537.366317749023,2112.5,2,1.4375,31472.364852905273,2112.5,2,1.475,13601.474090576172,2112.5,2,1.475,40315.23811340332,4225,0,1.475,15340.379440307617,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,16665841664,4294963200,1110626304,248774656
999,1744883792602,34117.007247924805,2200,2,1.4312500000000001,29464.0830078125,2200,2,1.4312500000000001,14483.21224975586,2200,2,1.4312500000000001,21682.523223876953,2200,2,1.4312500000000001,26537.444458007813,2100,2,1.4312500000000001,31472.415924072266,2100,2,1.4312500000000001,13601.519165039063,2100,2,1.4312500000000001,40329.98506164551,4200,0,1.4312500000000001,15369.019454956055,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,0,0,0,0,0,99.00990295410156,0,0,0,0,0,0,0,0,16665841664,4294963200,1110626304,248774656
999,1744883793602,34117.08952331543,3000,2,1.44375,29464.141189575195,2000,2,1.44375,14483.272644042969,2000,2,1.44375,21682.575317382813,2000,2,1.44375,26537.54833984375,2112.5,2,1.44375,31472.47674560547,2112.5,2,1.44375,13601.566299438477,2112.5,2,1.44375,40344.72596740723,4225,0,1.45,15397.755828857422,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0.9900990128517151,0,0,0,0,0,100,0,0,0,0,0,0,0,0,16665841664,4294963200,1110626304,248774656
999,1744883794603,34117.142517089844,3000,2,1.45,29464.19158935547,2000,2,1.45,14483.336990356445,2000,2,1.45,21682.65870666504,2000,2,1.45,26537.638229370117,2100,2,1.45,31472.545608520508,2100,2,1.45,13601.62028503418,2100,2,1.45,40359.44918823242,4225,0,1.4312500000000001,15426.588165283203,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,16665841664,4294963200,1110626304,248774656
999,1744883795603,34117.20649719238,2200,2,1.4312500000000001,29464.248901367188,2200,2,1.4312500000000001,14483.39828491211,2200,2,1.4312500000000001,21682.705307006836,2200,2,1.4312500000000001,26537.74348449707,2112.5,2,1.4312500000000001,31472.617111206055,2112.5,2,1.4312500000000001,13601.666687011719,2112.5,2,1.4312500000000001,40374.187927246094,4225,0,1.4375,15455.38558959961,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,0,0,0,0,0,99.00990295410156,0,0,0.9900990128517151,0,0,0,0,0,16665841664,4294963200,1110626304,248774656
999,1744883796603,34117.26351928711,2200,2,1.4375,29464.309509277344,2200,2,1.4375,14483.464096069336,2200,2,1.4375,21682.79524230957,2200,2,1.4375,26537.84164428711,2112.5,2,1.4375,31472.695220947266,2100,2,1.4375,13601.710983276367,2100,2,1.475,40388.90000915527,4200,0,1.475,15484.012161254883,2128,3189,2126,2054,2135,2198,2168,2478,2129,1931,2142,2195,2175,2367,2127,3193,0,0,0,0,0,0,0,100,0,0,0,0,0,0.9900990128517151,0,0,16665841664,4294963200,1110626304,248774656
