Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744841153561,18435.562088012695,2200,2,0.8375,46162.36474609375,2200,2,0.8375,37255.284088134766,2200,2,0.8375,46312.4416809082,2200,2,0.8375,11152.880233764648,2200,2,0.8375,49311.71391296387,2200,2,0.8375,36043.05946350098,2200,2,0.8375,44659.43907165527,2200,2,0.8375,12594.860443115234,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.22580623626709,0,10.344827651977539,3.4482758045196533,3.3333334922790527,6.6666669845581055,3.4482758045196533,3.3333334922790527,0,3.3333334922790527,6.45161247253418,0,16665841664,4294963200,929800192,230948864
999,1744841153561,18435.56231689453,2200,2,0.8375,46162.36813354492,2200,2,0.8375,37255.284240722656,2200,2,0.8375,46312.441833496094,2200,2,0.8375,11152.880386352539,2200,2,0.8375,49311.71405029297,2200,2,0.8375,36043.06268310547,2200,2,0.8375,44659.4391784668,2200,2,0.8375,12594.884979248047,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.22580623626709,0,10.344827651977539,3.4482758045196533,3.3333334922790527,6.6666669845581055,3.4482758045196533,3.3333334922790527,0,3.3333334922790527,6.45161247253418,0,16665841664,4294963200,929800192,230948864
998,1744841154563,18436.219985961914,2200,2,1.45,46166.69779968262,2200,2,1.44375,37261.60321044922,2200,2,1.44375,46314.090728759766,2200,2,1.44375,11159.430236816406,2112.5,2,1.44375,49313.739822387695,2112.5,2,1.44375,36056.13020324707,4225,0,1.44375,44660.35041809082,2112.5,2,1.44375,12643.96322631836,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,0.9900990128517151,34.31372833251953,0,2,0,10.891088485717773,98.01980590820313,2.941176414489746,51.960784912109375,7.920792102813721,54.455448150634766,10.891088485717773,0,0,1,4.901960849761963,16665841664,4294963200,1130860544,230948864
999,1744841155562,18438.437911987305,2112.5,2,1.4375,46166.888763427734,2112.5,2,1.4375,37264.65023803711,4225,0,1.4375,46314.34571838379,2112.5,2,1.4375,11160.23275756836,2112.5,2,1.4375,49314.20372009277,2112.5,2,1.4375,36070.57685852051,4225,0,1.4375,44660.4102935791,2112.5,2,1.4375,12678.891479492188,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,17.171716690063477,0,0,2,0,0,98,0,29,0.9900990128517151,5,1.0101009607315063,0,0,1,0,16665841664,4294963200,1134469120,230948864
999,1744841156562,18439.85903930664,2200,2,1.4375,46166.99794006348,2200,2,1.4375,37264.85285949707,2200,2,1.4375,46314.44367980957,2200,2,1.4375,11160.282928466797,2100,2,1.4375,49314.242111206055,2100,2,1.4375,36085.37046813965,4200,0,1.4375,44660.46438598633,2100,2,1.41875,12708.422760009766,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,3,1,0,0.9900990128517151,0,0,44,0,0,0,0,0,55,0,10,0,16665841664,4294963200,1191510016,230948864
999,1744841157562,18440.762817382813,2200,2,1.4375,46167.08547973633,2200,2,1.4375,37265.015060424805,2200,2,1.4375,46314.53192138672,2200,2,1.4375,11160.32991027832,2112.5,2,1.44375,49314.28005981445,2112.5,2,1.44375,36100.30419921875,4225,0,1.44375,44660.51727294922,2112.5,2,1.44375,12737.470962524414,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,0,0,1.9801980257034302,0,0,0,0,0,0,0,0,0,99.00990295410156,0,7,0,16665841664,4294963200,1190969344,230948864
999,1744841158562,18444.174850463867,4200,0,1.4625000000000001,46167.17919921875,2100,2,1.4625000000000001,37265.10237121582,2100,2,1.4625000000000001,46314.62811279297,2100,2,1.44375,11160.386627197266,2100,2,1.44375,49314.32791137695,2100,2,1.44375,36115.328033447266,4200,0,1.44375,44660.578033447266,2100,2,1.44375,12769.231826782227,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,0,0,0,0,0,0,0,0.9900990128517151,0,0.9900990128517151,0,0,100,0,27.7227725982666,1,16665841664,4294963200,1206726656,230948864
999,1744841159562,18445.190795898438,2200,2,1.475,46167.2527923584,2200,2,1.44375,37265.16084289551,2200,2,1.44375,46314.711822509766,2200,2,1.44375,11160.436050415039,2112.5,2,1.44375,49314.36604309082,2112.5,2,1.44375,36130.02153015137,4225,0,1.44375,44660.627700805664,2112.5,2,1.44375,12798.205184936523,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,0,0,0,0,0,0,0,0,0,0,0,0,99,0,6.060606002807617,0.9900990128517151,16665841664,4294963200,1197146112,230948864
999,1744841160562,18445.300033569336,2200,2,1.44375,46167.345123291016,2200,2,1.44375,37265.241455078125,2200,2,1.44375,46314.773864746094,2200,2,1.44375,11160.489028930664,2112.5,2,1.44375,49314.4054107666,2112.5,2,1.44375,36144.75955200195,4225,0,1.44375,44660.695739746094,2112.5,2,1.44375,12826.210830688477,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,0.9900990128517151,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,100,0,0,0,16665841664,4294963200,1196814336,230948864
999,1744841161562,18445.4412689209,2200,2,1.425,46167.42741394043,2200,2,1.425,37265.30905151367,2200,2,1.425,46314.83889770508,2200,2,1.425,11160.53823852539,2100,2,1.425,49314.443603515625,2100,2,1.425,36159.48667907715,4200,0,1.425,44660.74850463867,2100,2,1.4312500000000001,12854.239868164063,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,16665841664,4294963200,1196814336,230948864
1000,1744841162562,18445.800872802734,2200,2,1.425,46167.506591796875,2200,2,1.425,37265.36544799805,2200,2,1.425,46314.922119140625,2200,2,1.425,11160.595123291016,2100,2,1.425,49314.48924255371,2100,2,1.45625,36174.19970703125,4200,0,1.45625,44660.80499267578,2100,2,1.45625,12882.62417602539,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,0,0,0,0,0,0,1,0,0,0,0,0,99.00990295410156,0,4,0,16665841664,4294963200,1196814336,230948864
999,1744841163563,18449.45817565918,2200,2,1.4312500000000001,46167.61474609375,2200,2,1.4312500000000001,37265.43908691406,2200,2,1.4312500000000001,46315.002044677734,2200,2,1.4312500000000001,11160.641693115234,2100,2,1.4312500000000001,49314.52865600586,2100,2,1.4312500000000001,36188.84765625,4200,0,1.4312500000000001,44660.85595703125,2100,2,1.4312500000000001,12914.692916870117,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,0,0,0,0,0,0,0,0,0,0,0,0,100,0,29.29292869567871,0,16665841664,4294963200,1204813824,230948864
999,1744841164563,18449.670623779297,2200,2,1.44375,46167.682037353516,2200,2,1.44375,37265.519760131836,2200,2,1.44375,46315.076416015625,2200,2,1.44375,11160.689865112305,2112.5,2,1.44375,49314.56637573242,2112.5,2,1.44375,36203.451889038086,4225,0,1.44375,44660.90803527832,2100,2,1.44375,12942.83920288086,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,0,0,0,0,0,0,0,1,0,0,0,0,99,0,1,0,16665841664,4294963200,1200898048,230948864
999,1744841165563,18451.706924438477,2200,2,1.41875,46167.88282775879,2200,2,1.41875,37265.87471008301,2200,2,1.41875,46315.13265991211,2200,2,1.41875,11160.73796081543,2100,2,1.41875,49314.60612487793,2100,2,1.41875,36217.96548461914,4200,0,1.41875,44662.71438598633,2100,2,1.41875,12974.921157836914,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,0,1,0,0,0,0,0,11,3,0,0,0,100,0,16,0,16665841664,4294963200,1208119296,230948864
999,1744841166563,18451.793853759766,2200,2,1.4625000000000001,46167.96011352539,2200,2,1.4625000000000001,37265.93502807617,2200,2,1.4625000000000001,46315.20344543457,2200,2,1.4312500000000001,11160.815887451172,2100,2,1.4312500000000001,49314.65397644043,2100,2,1.4312500000000001,36232.57243347168,4200,0,1.4312500000000001,44662.767486572266,2100,2,1.4312500000000001,13002.90397644043,2133,2493,2092,2173,2194,2189,1914,2195,2165,2128,2195,2194,2021,2189,2128,2303,0.9900990128517151,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,99,0,0,0,16665841664,4294963200,1208352768,230948864
