Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745054305367,50599.8770904541,2200,2,0.89375,18930.816528320313,2200,2,0.89375,594.9082183837891,2200,2,0.89375,24261.4832611084,2133.333333333333,2,0.85,35772.85385131836,2200,2,0.85,25597.146209716797,2200,2,0.85,9732.508544921875,2200,2,0.85,49394.46061706543,2200,2,0.85,35119.29838562012,2126,3190,2126,2115,2183,2195,2056,2195,2091,2128,2195,2196,2006,2196,2131,3189,0,3.3333334922790527,3.4482758045196533,0,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.4482758045196533,6.896551609039307,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,3.3333334922790527,16665841664,4294963200,866512896,294125568
999,1745054305367,50599.87924194336,4350,0,0.95625,18930.816665649414,2175,2,0.95625,594.9083862304688,2175,2,0.95625,24261.483520507813,2175,2,0.95625,35772.86218261719,2200,2,1.4375,25597.146484375,2200,2,1.4375,9732.50894165039,2200,2,1.4375,49394.46192932129,2200,2,1.4375,35119.343185424805,2126,3190,2126,2115,2183,2195,2056,2195,2091,2128,2195,2196,2006,2196,2131,3189,0,3.3333334922790527,3.4482758045196533,0,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.4482758045196533,6.896551609039307,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,3.3333334922790527,16665841664,4294963200,866512896,294125568
999,1745054306367,50604.995864868164,2200,2,1.41875,18934.771392822266,2200,2,1.41875,597.6147308349609,2200,2,1.41875,24263.677124023438,2200,2,1.41875,35784.046875,4125,0,1.41875,25600.822982788086,2062.5,2,1.41875,9736.804336547852,2750,2,1.41875,49396.34669494629,2062.5,2,1.41875,35168.052322387695,2126,3190,2126,2115,2183,2195,2056,2195,2091,2128,2195,2196,2006,2196,2131,3189,36.27450942993164,34.653465270996094,0,0,0,27.7227725982666,11.88118839263916,3.9603960514068604,21,15.841584205627441,83.33332824707031,6.93069314956665,34.31372833251953,9.803921699523926,0,0.9803922176361084,16665841664,4294963200,1076989952,294125568
999,1745054307368,50608.79740905762,2133.333333333333,2,1.425,18935.096893310547,2133.333333333333,2,1.425,597.9225311279297,2133.333333333333,2,1.425,24267.559799194336,3200,1,1.425,35794.82531738281,4150,0,1.425,25601.470123291016,2075,2,1.425,9738.297943115234,2075,2,1.425,49397.190856933594,2075,2,1.425,35203.77830505371,2126,3190,2126,2115,2183,2195,2056,2195,2091,2128,2195,2196,2006,2196,2131,3189,23.469388961791992,1,0,1.9607844352722168,0,2.97029709815979,1.9801980257034302,2,2,34,76,1,9.090909004211426,2,0.9900990128517151,0,16665841664,4294963200,1130405888,294125568
999,1745054308368,50623.87271118164,4275,0,1.4375,18935.2999420166,2137.5,2,1.4375,598.0322723388672,2137.5,2,1.4375,24267.81903076172,2137.5,2,1.4375,35795.81401062012,2200,2,1.4375,25602.482025146484,2200,2,1.4375,9739.055892944336,2200,2,1.4375,49397.238693237305,2200,2,1.4375,35236.10217285156,2126,3190,2126,2115,2183,2195,2056,2195,2091,2128,2195,2196,2006,2196,2131,3189,99.00990295410156,1.0101009607315063,1,0,6,6.060606002807617,0,0,0,0,0,1,3,0,1,0,16665841664,4294963200,1130913792,294125568
1000,1745054309368,50639.03048706055,4300,0,1.425,18935.923599243164,2150,2,1.425,598.1241912841797,2150,2,1.425,24267.89518737793,2150,2,1.425,35796.357330322266,2200,2,1.44375,25602.53956604004,2200,2,1.44375,9739.087036132813,2200,2,1.44375,49397.27780151367,2200,2,1.44375,35266.13227844238,2126,3190,2126,2115,2183,2195,2056,2195,2091,2128,2195,2196,2006,2196,2131,3189,100,5.94059419631958,0,0,3,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,16665841664,4294963200,1130913792,294125568
999,1745054310368,50654.15913391113,4200,0,1.4312500000000001,18936.108154296875,2100,2,1.4312500000000001,598.2196044921875,2100,2,1.4312500000000001,24267.95571899414,2100,2,1.4312500000000001,35799.799407958984,4200,0,1.4312500000000001,25602.59422302246,2100,2,1.4312500000000001,9739.127471923828,2100,2,1.4312500000000001,49397.31636047363,2100,2,1.4312500000000001,35298.52323913574,2126,3190,2126,2115,2183,2195,2056,2195,2091,2128,2195,2196,2006,2196,2131,3189,100,1,0,0,26,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,16665841664,4294963200,1138913280,294125568
1000,1745054311368,50669.02311706543,4350,0,1.425,18936.240325927734,2137.5,2,1.425,598.3101959228516,2137.5,2,1.425,24268.027603149414,2137.5,2,1.425,35801.1436920166,2200,2,1.425,25602.649520874023,2200,2,1.425,9739.160629272461,2200,2,1.44375,49397.35615539551,2200,2,1.44375,35328.464111328125,2126,3190,2126,2115,2183,2195,2056,2195,2091,2128,2195,2196,2006,2196,2131,3189,100,1,0,0,7,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,16665841664,4294963200,1138913280,294125568
999,1745054312369,50684.01948547363,4300,0,1.4312500000000001,18936.32081604004,2150,2,1.4312500000000001,598.3895416259766,2150,2,1.4312500000000001,24268.09732055664,2150,2,1.45625,35801.20887756348,2200,2,1.45625,25602.69842529297,2200,2,1.45625,9739.19303894043,2200,2,1.45625,49397.38737487793,2200,2,1.45625,35357.04737854004,2126,3190,2126,2115,2183,2195,2056,2195,2091,2128,2195,2196,2006,2196,2131,3189,99.01960754394531,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,1138319360,294125568
1000,1745054313369,50698.962173461914,4300,0,1.44375,18936.420608520508,2150,2,1.44375,598.4643859863281,2150,2,1.44375,24268.178939819336,2150,2,1.44375,35801.288986206055,2200,2,1.44375,25602.755249023438,2200,2,1.44375,9739.224258422852,2200,2,1.44375,49397.42030334473,2200,2,1.44375,35385.646575927734,2126,3190,2126,2115,2183,2195,2056,2195,2091,2128,2195,2196,2006,2196,2131,3189,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1136316416,294125568
