Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744963805161,63179.03340148926,2200,2,0.85,51334.062911987305,2200,2,0.85,24506.177322387695,2200,2,0.85,46163.046783447266,2200,2,0.85,54677.45643615723,2200,2,0.85,53147.48275756836,2200,2,0.85,38709.032943725586,2200,2,0.85,5890.27424621582,2200,2,0.85,911.7593231201172,2127,2172,2129,2119,2195,2192,2193,2185,2164,2128,2193,2183,2168,2195,2187,2777,0,0,7.407407283782959,0,3.4482758045196533,3.5714287757873535,3.4482758045196533,0,3.5714287757873535,6.896551609039307,3.5714287757873535,3.4482758045196533,6.896551609039307,3.5714287757873535,3.5714287757873535,3.5714287757873535,16665841664,4294963200,874483712,283377664
999,1744963805161,63179.033630371094,2200,2,0.84375,51334.06300354004,2200,2,0.84375,24506.178955078125,2200,2,0.84375,46163.046875,2200,2,0.84375,54677.45994567871,2200,2,0.84375,53147.48291015625,2200,2,0.84375,38709.03309631348,2200,2,0.84375,5890.274688720703,2200,2,0.84375,911.7848663330078,2127,2172,2129,2119,2195,2192,2193,2185,2164,2128,2193,2183,2168,2195,2187,2777,0,0,7.407407283782959,0,3.4482758045196533,3.5714287757873535,3.4482758045196533,0,3.5714287757873535,6.896551609039307,3.5714287757873535,3.4482758045196533,6.896551609039307,3.5714287757873535,3.5714287757873535,3.5714287757873535,16665841664,4294963200,874483712,283377664
999,1744963806161,63181.11227416992,2125,2,1.44375,51336.25387573242,2125,2,1.44375,24511.287857055664,2125,2,1.44375,46175.25624084473,4250,0,1.44375,54681.7646484375,2200,2,1.44375,53150.41505432129,2200,2,1.44375,38712.56101989746,2200,2,1.44375,5894.048919677734,2200,2,1.44375,961.5825042724609,2127,2172,2129,2119,2195,2192,2193,2185,2164,2128,2193,2183,2168,2195,2187,2777,3,7.920792102813721,44,93,3,6,29,30.30303192138672,5,0,37,22.22222328186035,4.95049524307251,2,15.000000953674316,11.111111640930176,16665841664,4294963200,1103331328,283377664
1000,1744963807161,63181.957107543945,4175,0,1.4,51336.297592163086,2087.5,2,1.4,24511.333297729492,2087.5,2,1.4,46189.884048461914,4175,0,1.4,54682.099182128906,2087.5,2,1.4,53151.53741455078,4175,0,1.4,38713.04650878906,2087.5,2,1.4,5899.293029785156,4175,0,1.4,997.6144714355469,2127,2172,2129,2119,2195,2192,2193,2185,2164,2128,2193,2183,2168,2195,2187,2777,0,0,0,99,1,0.9900990128517151,1,43.564353942871094,0,0,1.9801980257034302,7,1.0101009607315063,1,7,0,16665841664,4294963200,1117265920,283377664
1000,1744963808162,63182.35484313965,2125,2,1.4375,51336.35983276367,2125,2,1.4375,24511.382095336914,2125,2,1.4375,46204.81132507324,4250,0,1.4375,54682.20797729492,2200,2,1.4375,53152.796615600586,2200,2,1.4375,38713.13148498535,2200,2,1.4375,5900.965896606445,2200,2,1.4375,1029.785873413086,2127,2172,2129,2119,2195,2192,2193,2185,2164,2128,2193,2183,2168,2195,2187,2777,0,0,0,99.00990295410156,0,1,0,9.090909004211426,0,0,0,7,0,0.9900990128517151,1.9801980257034302,0,16665841664,4294963200,1117265920,283377664
999,1744963809162,63182.42443847656,2125,2,1.4312500000000001,51336.408599853516,2125,2,1.4312500000000001,24511.425415039063,2125,2,1.4312500000000001,46219.72103881836,4250,0,1.4312500000000001,54682.31948852539,2200,2,1.4312500000000001,53152.87683105469,2200,2,1.4312500000000001,38713.24006652832,2200,2,1.4312500000000001,5902.499130249023,2200,2,1.4312500000000001,1059.9471893310547,2127,2172,2129,2119,2195,2192,2193,2185,2164,2128,2193,2183,2168,2195,2187,2777,0,0,0,100,0,0,0,7,0,0,0,0,0,0,0,0,16665841664,4294963200,1116696576,283377664
1000,1744963810162,63182.492111206055,2100,2,1.4125,51336.4587097168,2100,2,1.4125,24511.47785949707,2100,2,1.4125,46234.767669677734,4200,0,1.4125,54682.41108703613,2100,2,1.4125,53153.15216064453,2100,2,1.4125,38713.304138183594,2100,2,1.4125,5904.359588623047,4200,0,1.4125,1090.840835571289,2127,2172,2129,2119,2195,2192,2193,2185,2164,2128,2193,2183,2168,2195,2187,2777,0,0,0,100,0,3,0,15.000000953674316,0,0,0,0,0,0,0,0,16665841664,4294963200,1116078080,283377664
999,1744963811163,63182.56629943848,2125,2,1.4312500000000001,51336.50712585449,2125,2,1.4312500000000001,24511.540420532227,2125,2,1.4312500000000001,46249.46482849121,4250,0,1.4312500000000001,54682.499450683594,2200,2,1.4312500000000001,53154.11395263672,2200,2,1.4312500000000001,38713.42059326172,2200,2,1.4312500000000001,5906.107391357422,2200,2,1.4312500000000001,1122.3641204833984,2127,2172,2129,2119,2195,2192,2193,2185,2164,2128,2193,2183,2168,2195,2187,2777,0,0,0.9900990128517151,99,0,5,0,9,0,0,0,0,0.9900990128517151,0,0,0,16665841664,4294963200,1107820544,283377664
999,1744963812163,63182.64372253418,2125,2,1.4625000000000001,51336.552185058594,2125,2,1.4625000000000001,24511.587036132813,2125,2,1.4625000000000001,46264.262786865234,4250,0,1.4625000000000001,54682.55186462402,2200,2,1.4625000000000001,53154.210525512695,2200,2,1.4625000000000001,38713.49775695801,2200,2,1.4625000000000001,5906.5281982421875,2200,2,1.4625000000000001,1151.3127136230469,2127,2172,2129,2119,2195,2192,2193,2185,2164,2128,2193,2183,2168,2195,2187,2777,0,0,0,100,0,0,0,1,0,0,0,0.9900990128517151,1,0,0,0,16665841664,4294963200,1107820544,283377664
999,1744963813163,63182.70202636719,2125,2,1.48125,51336.59364318848,2125,2,1.48125,24511.63200378418,2125,2,1.48125,46279.090576171875,4250,0,1.48125,54682.64570617676,2200,2,1.48125,53154.30778503418,2200,2,1.48125,38713.57453918457,2200,2,1.48125,5906.596389770508,2200,2,1.48125,1179.8853454589844,2127,2172,2129,2119,2195,2192,2193,2185,2164,2128,2193,2183,2168,2195,2187,2777,0,0,0,100,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,16665841664,4294963200,1107820544,283377664
