Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744972800591,18211.722900390625,2162.5,2,0.975,61233.10871887207,4325,0,0.975,32741.03582763672,2162.5,2,0.975,60063.19566345215,2162.5,2,0.975,5860.303466796875,2000,2,0.975,63518.77575683594,2000,2,0.975,48835.507736206055,2000,2,0.975,16840.369064331055,3000,2,0.975,57333.2325592041,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,0,0,0,3.4482758045196533,3.4482758045196533,11.111111640930176,3.4482758045196533,0,0,3.5714287757873535,0,3.4482758045196533,3.4482758045196533,3.5714287757873535,3.4482758045196533,3.7037036418914795,16665841664,4294963200,872783872,288096256
999,1744972800591,18211.733932495117,2866.666666666667,2,1.4312500000000001,61233.11006164551,4300,0,1.4312500000000001,32741.03675842285,2150,2,1.4312500000000001,60063.1964263916,2150,2,1.4312500000000001,5860.304092407227,2133.333333333333,2,1.4312500000000001,63518.78709411621,2133.333333333333,2,1.4312500000000001,48835.50831604004,2133.333333333333,2,1.4312500000000001,16840.36964416504,3000,2,1.4312500000000001,57333.29063415527,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,0,0,0,3.4482758045196533,3.4482758045196533,11.111111640930176,3.4482758045196533,0,0,3.5714287757873535,0,3.4482758045196533,3.4482758045196533,3.5714287757873535,3.4482758045196533,3.7037036418914795,16665841664,4294963200,873558016,288096256
999,1744972801591,18217.030197143555,2200,2,1.44375,61234.02713012695,2200,2,1.44375,32741.303146362305,2200,2,1.44375,60067.77305603027,2200,2,1.44375,5862.195663452148,2100,2,1.44375,63532.2080078125,4200,0,1.44375,48839.96366882324,2100,2,1.44375,16844.283126831055,2100,2,1.44375,57382.386657714844,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,45,5,0,38,0,98,39.39393997192383,35,1.9801980257034302,1,13,6,0,0,2,0,16665841664,4294963200,1081864192,288096256
999,1744972802591,18218.722610473633,2200,2,1.41875,61234.39588928223,2200,2,1.41875,32741.586639404297,2200,2,1.41875,60071.32618713379,2200,2,1.41875,5869.870361328125,4150,0,1.41875,63538.18305969238,2075,2,1.41875,48840.54559326172,2075,2,1.41875,16846.508209228516,2075,2,1.41875,57418.68797302246,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,9,2.0202019214630127,0.9900990128517151,30.693069458007813,0,38.613861083984375,3.9603960514068604,21,2.0202019214630127,1,54.000003814697266,0,0,0,0.9900990128517151,1,16665841664,4294963200,1081856000,288096256
999,1744972803591,18222.593795776367,4275,0,1.4312500000000001,61234.4850769043,2137.5,2,1.4312500000000001,32741.70635986328,2137.5,2,1.4312500000000001,60071.594635009766,2137.5,2,1.4312500000000001,5881.190444946289,2200,2,1.4312500000000001,63538.21855163574,2200,2,1.4312500000000001,48840.74040222168,2200,2,1.4312500000000001,16848.11686706543,2200,2,1.4312500000000001,57449.57467651367,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,25.25252342224121,0,0.9900990128517151,0,0,0,0,10,0,0,74,0,0,0,1,0,16665841664,4294963200,1081700352,288096256
999,1744972804591,18237.758193969727,4350,0,1.4312500000000001,61234.614822387695,2150,2,1.4312500000000001,32741.832107543945,2150,2,1.4312500000000001,60071.688400268555,2150,2,1.4312500000000001,5881.414688110352,2200,2,1.475,63538.25811767578,2200,2,1.475,48840.79162597656,2200,2,1.475,16849.560607910156,2200,2,1.475,57480.65838623047,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,99.00990295410156,0,0,0,0,0,0,8,1,0.9900990128517151,1,0,0,0,0,0,16665841664,4294963200,1081507840,288096256
999,1744972805591,18252.976150512695,4225,0,1.4312500000000001,61234.728454589844,2112.5,2,1.4312500000000001,32741.962448120117,2112.5,2,1.4312500000000001,60071.787109375,2112.5,2,1.4312500000000001,5881.489547729492,2112.5,2,1.4312500000000001,63538.29627990723,2112.5,2,1.4312500000000001,48840.85467529297,2112.5,2,1.4312500000000001,16853.36878967285,4225,0,1.4312500000000001,57514.15394592285,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,16665841664,4294963200,1088974848,288096256
999,1744972806591,18267.96417236328,4275,0,1.4375,61234.828857421875,2137.5,2,1.4375,32742.05207824707,2137.5,2,1.4375,60071.868713378906,2137.5,2,1.4375,5881.556900024414,2200,2,1.4375,63538.3349609375,2200,2,1.4375,48840.90832519531,2200,2,1.4375,16854.371017456055,2200,2,1.4375,57544.22969055176,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,99,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16665841664,4294963200,1080975360,288096256
999,1744972807592,18283.025650024414,4350,0,1.4312500000000001,61234.93049621582,2150,2,1.4312500000000001,32742.172393798828,2150,2,1.4312500000000001,60071.94708251953,2150,2,1.4312500000000001,5881.607437133789,2200,2,1.4312500000000001,63538.37060546875,2200,2,1.4312500000000001,48840.98147583008,2200,2,1.4312500000000001,16854.41390991211,2200,2,1.4312500000000001,57573.673583984375,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1080975360,288096256
999,1744972808592,18298.063278198242,4350,0,1.4375,61235.030838012695,2137.5,2,1.4375,32742.253677368164,2137.5,2,1.4375,60072.033447265625,2137.5,2,1.4375,5881.7017822265625,2200,2,1.4375,63538.40657043457,2200,2,1.4375,48841.02911376953,2200,2,1.4375,16854.468139648438,2200,2,1.4375,57602.835220336914,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0.9900990128517151,1,0,0,0,0,0,0,1,0.9900990128517151,16665841664,4294963200,1080975360,288096256
999,1744972809592,18313.095504760742,4275,0,1.44375,61235.14225769043,2137.5,2,1.44375,32742.34814453125,2137.5,2,1.44375,60072.094482421875,2137.5,2,1.44375,5881.780456542969,2200,2,1.44375,63538.44157409668,2200,2,1.44375,48841.07273864746,2200,2,1.44375,16854.80305480957,2200,2,1.44375,57632.35057067871,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16665841664,4294963200,1080975360,288096256
1000,1744972810592,18327.79606628418,4300,0,1.45,61235.27865600586,2150,2,1.45,32742.484924316406,2150,2,1.45,60072.19860839844,2150,2,1.45,5882.880447387695,2200,2,1.45,63538.47946166992,2200,2,1.45,48841.12710571289,2200,2,1.45,16858.334243774414,2200,2,1.45,57666.25900268555,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,99.00990295410156,0,0,0,0,0,0,25,0.9900990128517151,0,8,0,0,0,0,0,16665841664,4294963200,1084846080,288096256
999,1744972811592,18342.741470336914,4275,0,1.425,61235.40476989746,2137.5,2,1.425,32742.578567504883,2137.5,2,1.425,60072.25401306152,2137.5,2,1.425,5882.914566040039,2000,2,1.425,63538.51550292969,2000,2,1.425,48841.176528930664,2000,2,1.425,16858.524795532227,3000,2,1.425,57695.60609436035,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0,1,0,0.9900990128517151,0,0,0,0,0.9900990128517151,0,16665841664,4294963200,1084846080,288096256
999,1744972812593,18357.52424621582,4275,0,1.4312500000000001,61235.562896728516,2137.5,2,1.4312500000000001,32742.697265625,2137.5,2,1.4312500000000001,60072.33103942871,2137.5,2,1.4312500000000001,5883.723114013672,3000,2,1.4312500000000001,63538.552642822266,2000,2,1.4312500000000001,48841.23335266113,2000,2,1.4312500000000001,16861.66278076172,2000,2,1.4312500000000001,57729.155532836914,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,99.00990295410156,0,0,0,6.93069314956665,0,0,22,0,0,0,0,0,0,0,0.9900990128517151,16665841664,4294963200,1084846080,288096256
999,1744972813592,18372.456939697266,4350,0,1.4375,61235.689376831055,2137.5,2,1.4375,32742.7755279541,2137.5,2,1.4375,60072.39227294922,2137.5,2,1.4375,5883.765655517578,3000,2,1.4375,63538.58724975586,2000,2,1.4375,48841.27816772461,2000,2,1.45,16861.695510864258,2000,2,1.45,57758.530532836914,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1084846080,288096256
999,1744972814592,18387.413528442383,4275,0,1.4375,61235.80262756348,2137.5,2,1.4375,32742.844604492188,2137.5,2,1.4375,60072.46643066406,2137.5,2,1.4375,5883.830474853516,2200,2,1.4375,63538.62449645996,2200,2,1.4375,48841.32148742676,2200,2,1.4375,16861.7283782959,2200,2,1.4375,57787.916107177734,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1084846080,288096256
999,1744972815592,18402.367965698242,4350,0,1.4312500000000001,61235.91523742676,2150,2,1.4312500000000001,32742.91404724121,2150,2,1.4312500000000001,60072.54917907715,2150,2,1.4312500000000001,5883.880340576172,2200,2,1.48125,63538.66065979004,2200,2,1.48125,48841.369232177734,2200,2,1.48125,16861.76136779785,2200,2,1.48125,57817.205337524414,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,99,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1084846080,288096256
999,1744972816592,18417.318939208984,4350,0,1.425,61236.070724487305,2150,2,1.4312500000000001,32743.004501342773,2150,2,1.4312500000000001,60072.65612792969,2150,2,1.4312500000000001,5883.988143920898,2200,2,1.4312500000000001,63538.74311828613,2200,2,1.4312500000000001,48841.5059967041,2200,2,1.4312500000000001,16861.83039855957,2200,2,1.4312500000000001,57846.8762512207,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,1,0,0,0,0,0.9900990128517151,0,0,0,0,0.9900990128517151,1,1,0,0,16665841664,4294963200,1082572800,288096256
999,1744972817592,18432.29443359375,4325,0,1.4375,61236.19470214844,2137.5,2,1.4375,32743.068115234375,2137.5,2,1.4375,60072.69223022461,2137.5,2,1.4375,5884.057998657227,2000,2,1.4375,63538.77850341797,2000,2,1.4375,48841.55303955078,2000,2,1.4375,16861.865020751953,3000,2,1.4375,57876.08219909668,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,16665841664,4294963200,1082531840,288096256
999,1744972818593,18447.237075805664,4325,0,1.425,61236.308837890625,2137.5,2,1.425,32743.13803100586,2137.5,2,1.425,60072.74006652832,2137.5,2,1.425,5884.118423461914,2000,2,1.425,63538.8233795166,2000,2,1.425,48841.59811401367,2000,2,1.4625000000000001,16861.897872924805,3000,2,1.4625000000000001,57905.27359008789,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1082531840,288096256
999,1744972819593,18462.19007873535,4350,0,1.44375,61236.40229797363,2137.5,2,1.44375,32743.222686767578,2137.5,2,1.44375,60072.79933166504,2137.5,2,1.44375,5884.154541015625,2200,2,1.44375,63538.870864868164,2200,2,1.44375,48841.656478881836,2200,2,1.44375,16861.931427001953,2200,2,1.44375,57934.53923034668,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1082531840,288096256
999,1744972820593,18477.15365600586,4350,0,1.4312500000000001,61236.484786987305,2137.5,2,1.4312500000000001,32743.318069458008,2137.5,2,1.4312500000000001,60072.861572265625,2137.5,2,1.4312500000000001,5884.188400268555,2200,2,1.4312500000000001,63538.91682434082,2200,2,1.4312500000000001,48841.701919555664,2200,2,1.4312500000000001,16861.962677001953,2200,2,1.4312500000000001,57963.662857055664,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,99.00990295410156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1082531840,288096256
999,1744972821593,18492.132263183594,4300,0,1.45,61236.56721496582,2150,2,1.45,32743.411209106445,2150,2,1.45,60072.923568725586,2150,2,1.45,5884.222427368164,2200,2,1.45,63538.9641418457,2200,2,1.45,48841.74639892578,2200,2,1.45,16861.993942260742,2200,2,1.45,57992.983139038086,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1082531840,288096256
999,1744972822593,18507.07894897461,4275,0,1.44375,61236.655029296875,2137.5,2,1.44375,32743.477157592773,2137.5,2,1.44375,60072.996490478516,2137.5,2,1.44375,5884.277526855469,2200,2,1.44375,63539.018310546875,2200,2,1.4375,48841.79913330078,2200,2,1.4375,16862.034149169922,2200,2,1.4375,58022.25509643555,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1082531840,288096256
999,1744972823593,18522.04719543457,4350,0,1.4312500000000001,61236.74180603027,2137.5,2,1.4312500000000001,32743.559768676758,2137.5,2,1.4312500000000001,60073.06198120117,2137.5,2,1.4312500000000001,5884.364730834961,2200,2,1.4312500000000001,63539.07305908203,2200,2,1.4312500000000001,48841.85041809082,2200,2,1.4312500000000001,16862.067657470703,2200,2,1.4312500000000001,58051.66081237793,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,99,1,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,1.9607844352722168,0,16665841664,4294963200,1082531840,288096256
999,1744972824593,18537.00831604004,4350,0,1.4375,61236.82278442383,2137.5,2,1.4375,32743.633041381836,2137.5,2,1.4375,60073.120849609375,2137.5,2,1.4375,5884.429885864258,2200,2,1.4375,63539.12910461426,2200,2,1.4375,48841.899002075195,2200,2,1.4375,16862.09945678711,2200,2,1.4312500000000001,58080.98490905762,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,16665841664,4294963200,1082531840,288096256
999,1744972825593,18551.97200012207,4350,0,1.425,61236.88439941406,2137.5,2,1.425,32743.694366455078,2137.5,2,1.425,60073.19091796875,2137.5,2,1.425,5884.514389038086,2200,2,1.425,63539.18571472168,2200,2,1.44375,48841.9443359375,2200,2,1.44375,16862.13067626953,2200,2,1.44375,58110.16015625,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,0,16665841664,4294963200,1082531840,288096256
999,1744972826593,18566.912887573242,4350,0,1.44375,61236.95783996582,2137.5,2,1.44375,32743.777587890625,2137.5,2,1.44375,60073.27632141113,2137.5,2,1.44375,5884.607818603516,2200,2,1.44375,63539.23941040039,2200,2,1.44375,48841.99072265625,2200,2,1.44375,16862.167907714844,2200,2,1.44375,58139.59605407715,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,100,0,16665841664,4294963200,1082531840,288096256
999,1744972827593,18581.872100830078,4275,0,1.4375,61237.032165527344,2137.5,2,1.4375,32743.866806030273,2137.5,2,1.4375,60073.36164855957,2137.5,2,1.4375,5884.666931152344,2200,2,1.4375,63539.295150756836,2200,2,1.4375,48842.03617858887,2200,2,1.4375,16862.202102661133,2200,2,1.4375,58168.869720458984,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,61,0.9900990128517151,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,39,0,16665841664,4294963200,1082531840,288096256
999,1744972828594,18596.833404541016,4350,0,1.44375,61237.103591918945,2137.5,2,1.44375,32743.950134277344,2137.5,2,1.44375,60073.43882751465,2137.5,2,1.44375,5884.746398925781,2200,2,1.44375,63539.350158691406,2200,2,1.44375,48842.08430480957,2200,2,1.44375,16862.233352661133,2200,2,1.44375,58198.220443725586,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,99,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,16665841664,4294963200,1082531840,288096256
999,1744972829593,18611.77912902832,4325,0,1.4312500000000001,61237.17709350586,2137.5,2,1.4312500000000001,32744.024475097656,2137.5,2,1.4312500000000001,60073.50964355469,2137.5,2,1.4312500000000001,5884.80891418457,2200,2,1.4312500000000001,63539.41033935547,2200,2,1.4312500000000001,48842.128829956055,2200,2,1.45625,16862.2646484375,2200,2,1.45625,58227.36030578613,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0.9900990128517151,0,16665841664,4294963200,1082531840,288096256
999,1744972830593,18626.718704223633,4350,0,1.45,61237.26332092285,2137.5,2,1.45,32744.100372314453,2137.5,2,1.45,60073.579818725586,2137.5,2,1.45,5884.90087890625,2200,2,1.45,63539.4651184082,2200,2,1.44375,48842.18974304199,2200,2,1.44375,16862.303451538086,2200,2,1.44375,58256.420806884766,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,99,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1082531840,288096256
999,1744972831594,18641.67202758789,4350,0,1.44375,61237.352310180664,2137.5,2,1.44375,32744.167846679688,2137.5,2,1.44375,60073.64100646973,2137.5,2,1.44375,5884.966247558594,2200,2,1.44375,63539.52688598633,2200,2,1.45,48842.241958618164,2200,2,1.45,16862.336639404297,2200,2,1.45,58285.45701599121,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,1082531840,288096256
999,1744972832594,18656.61880493164,4275,0,1.4625000000000001,61237.44064331055,2137.5,2,1.4625000000000001,32744.23223876953,2137.5,2,1.4625000000000001,60073.704193115234,2137.5,2,1.4625000000000001,5885.041152954102,2200,2,1.4625000000000001,63539.58497619629,2200,2,1.44375,48842.28579711914,2200,2,1.44375,16862.36866760254,2200,2,1.44375,58314.390884399414,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,99,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1082531840,288096256
999,1744972833594,18671.550903320313,4325,0,1.4312500000000001,61237.53205871582,2125,2,1.4312500000000001,32744.314727783203,2125,2,1.4312500000000001,60073.76837158203,2125,2,1.4312500000000001,5885.121612548828,2200,2,1.4312500000000001,63539.63934326172,2200,2,1.4312500000000001,48842.33236694336,2200,2,1.4312500000000001,16862.39991760254,2200,2,1.4312500000000001,58343.458267211914,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0.9900990128517151,0,16665841664,4294963200,1082531840,288096256
999,1744972834594,18686.495834350586,4350,0,1.4375,61237.61589050293,2137.5,2,1.4375,32744.388580322266,2137.5,2,1.4375,60073.8342590332,2137.5,2,1.4375,5885.191879272461,2200,2,1.4375,63539.690353393555,2200,2,1.4375,48842.378662109375,2200,2,1.4375,16862.437088012695,2200,2,1.4312500000000001,58372.392333984375,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,16665841664,4294963200,1082531840,288096256
999,1744972835594,18701.421981811523,4325,0,1.425,61237.71041870117,2833.333333333333,2,1.425,32744.478408813477,2125,2,1.425,60073.899169921875,2125,2,1.425,5885.265213012695,2200,2,1.425,63539.75198364258,2200,2,1.425,48842.43086242676,2200,2,1.4312500000000001,16862.47035217285,2200,2,1.4312500000000001,58401.49002075195,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1082531840,288096256
999,1744972836594,18716.35626220703,4275,0,1.4375,61237.80227661133,2137.5,2,1.4375,32744.57046508789,2137.5,2,1.4375,60073.97114562988,2137.5,2,1.4375,5885.338836669922,2200,2,1.4375,63539.80807495117,2200,2,1.4375,48842.47637939453,2200,2,1.4375,16862.502410888672,2200,2,1.4375,58430.61917114258,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1082531840,288096256
999,1744972837594,18731.288818359375,4350,0,1.4375,61237.891189575195,2850,2,1.4375,32744.63607788086,2137.5,2,1.4375,60074.03330993652,2137.5,2,1.4375,5885.433929443359,2200,2,1.4375,63539.86169433594,2200,2,1.44375,48842.51997375488,2200,2,1.44375,16862.534286499023,2200,2,1.44375,58459.634353637695,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0.9900990128517151,0,16665841664,4294963200,1082531840,288096256
999,1744972838594,18746.111328125,4325,0,1.4312500000000001,61237.98416137695,2850,2,1.4312500000000001,32744.744033813477,2137.5,2,1.4312500000000001,60074.11045837402,2137.5,2,1.4312500000000001,5885.510498046875,2200,2,1.4312500000000001,63539.9333190918,2200,2,1.4312500000000001,48842.568908691406,2200,2,1.4312500000000001,16862.57078552246,2200,2,1.4312500000000001,58488.613037109375,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,98.01980590820313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1082531840,288096256
999,1744972839594,18761.029342651367,4350,0,1.44375,61238.07368469238,2850,2,1.44375,32744.813201904297,2137.5,2,1.44375,60074.176986694336,2137.5,2,1.44375,5885.600845336914,2200,2,1.44375,63539.99368286133,2200,2,1.44375,48842.620864868164,2200,2,1.44375,16862.603713989258,2200,2,1.44375,58517.65884399414,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1082531840,288096256
999,1744972840594,18775.968368530273,4350,0,1.4375,61238.15563964844,2137.5,2,1.4375,32744.876724243164,2137.5,2,1.4375,60074.23857116699,2137.5,2,1.4375,5885.666564941406,2200,2,1.4375,63540.049057006836,2200,2,1.4375,48842.663833618164,2200,2,1.4375,16862.634735107422,2200,2,1.4312500000000001,58546.57020568848,2164,4336,2085,2109,2194,2195,2195,2191,2031,2170,2136,2179,2191,2195,1949,4319,99.00990295410156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1082531840,288096256
